"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035082","BP","GO:0035082","axoneme assembly","50/1703","95/20772",1.8123440319213e-29,1.05097830411116e-25,1.01281415426002e-25,"HOATZ/DNAAF6/DAW1/DNAI3/RSPH4A/DNAAF1/SPEF1/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/FOXJ1/SPAG17/ODAD2/CFAP43/SPAG6/CFAP206/DNAAF3/DNAH5/ZMYND10/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/DNAAF11/SPAG1/CFAP58/CFAP74/LRRC43/TTC12/DNAAF8/PIERCE2/CFAP46/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/ODAD3/SPAG16/IFT56/CC2D2A/DNAL1",50
"GO:0001578","BP","GO:0001578","microtubule bundle formation","54/1703","124/20772",1.83600848842066e-26,5.32350661217572e-23,5.13019424475016e-23,"HOATZ/DNAAF6/DAW1/DNAI3/RSPH4A/DNAAF1/SPEF1/GAS2L2/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/FOXJ1/SPAG17/ODAD2/CFAP43/SPAG6/CFAP206/DNAAF3/DNAH5/ZMYND10/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/DNAAF11/SPAG1/TPPP3/CFAP58/CFAP74/LRRC43/TTC12/DNAAF8/PIERCE2/CFAP46/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/ODAD3/SPAG16/IFT56/CC2D2A/DNAL1/KIF20A/PLK1",54
"GO:0003341","BP","GO:0003341","cilium movement","61/1703","202/20772",6.98745192480928e-20,1.35067445706563e-16,1.30162744802851e-16,"HOATZ/TEKT1/DNAAF6/ROPN1L/DAW1/DNAI3/CFAP52/RSPH4A/TTC29/DNAAF1/TEKT4/SPEF1/GAS2L2/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/SPAG17/ODAD2/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/ZMYND10/CFAP54/CFAP61/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/CFAP221/CFAP58/PLTP/AQP4/NEK10/TTC12/CFAP53/PIERCE2/CFAP46/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/CFAP251/SPA17/ENKUR/ODAD3/SPAG16/LZTFL1/CCSAP/TAC4",61
"GO:0044782","BP","GO:0044782","cilium organization","92/1703","410/20772",2.49978179740423e-19,3.62405866078679e-16,3.49245830589975e-16,"HOATZ/TEKT1/DNAAF6/CFAP161/DAW1/DNAI3/RSPH4A/CIBAR2/TTC29/DNAAF1/TEKT4/SPEF1/CFAP126/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CATIP/CFAP65/PIFO/CFAP100/DRC1/FOXJ1/MAK/SPAG17/ODAD2/CFAP43/SPAG6/IQUB/LCA5L/CFAP206/DNAAF3/DNAH5/DCDC2/ZMYND10/CFAP54/CFAP61/SAXO1/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/SPAG1/CCDC13/CFAP221/CFAP58/ADAMTS16/CFAP74/LRRC43/TTC12/CCDC96/DNAAF8/PIERCE2/CFAP46/GSN/JHY/ARMC2/CFAP91/BBOF1/CFAP69/CCDC40/DNAAF4/IFT70A/TMEM231/IFT70B/RPGR/CCDC113/ODAD3/BBS12/SPAG16/IFT56/TMEM67/DYNC2H1/FAM161B/LCA5/CC2D2A/DNAL1/PARVA/CYLD/TMEM138/ENTR1/CCDC28B/ATAT1/FHDC1/CENPJ/POC1A/GFY",92
"GO:0007018","BP","GO:0007018","microtubule-based movement","94/1703","437/20772",2.05156745352111e-18,2.37940793259379e-15,2.29300454963023e-15,"HOATZ/TEKT1/DNAAF6/ROPN1L/DAW1/DNAI3/CFAP52/RSPH4A/DYNLT5/TTC29/DNAAF1/TEKT4/SPEF1/GAS2L2/DYNLRB2/DNAI1/DNAH6/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/MAK/DNAH3/SPAG17/ODAD2/CFAP43/SPAG6/SLC22A16/LCA5L/CFAP206/DNAH12/DNAH5/ZMYND10/CFAP54/CFAP61/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/CFAP221/CFAP58/PLTP/AQP4/AGBL4/NEK10/TTC12/CFAP53/PIERCE2/CFAP46/KIF16B/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/IFT70A/CFAP251/SPA17/ENKUR/IFT70B/RPGR/ODAD3/KIF13B/BBS12/SPAG16/LZTFL1/IFT56/DYNLT3/DYNC2H1/LCA5/RAB21/PURA/ARL8B/TMEM201/CCSAP/KIF4A/MAP2/KIF20A/DLGAP5/KIF11/KIF22/KIF15/TMEM108/KIF2C/KIFC1/KIF18B/TAC4",94
"GO:0060271","BP","GO:0060271","cilium assembly","82/1703","381/20772",3.09844652431676e-16,2.99464856575215e-13,2.88590396449082e-13,"HOATZ/TEKT1/DNAAF6/CFAP161/DAW1/DNAI3/RSPH4A/CIBAR2/DNAAF1/TEKT4/SPEF1/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/FOXJ1/MAK/SPAG17/ODAD2/CFAP43/SPAG6/IQUB/CFAP206/DNAAF3/DNAH5/DCDC2/ZMYND10/CFAP54/SAXO1/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/SPAG1/CCDC13/CFAP221/CFAP58/ADAMTS16/CFAP74/LRRC43/TTC12/CCDC96/DNAAF8/PIERCE2/CFAP46/GSN/JHY/ARMC2/CFAP91/BBOF1/CFAP69/CCDC40/DNAAF4/TMEM231/IFT70B/RPGR/CCDC113/ODAD3/SPAG16/IFT56/TMEM67/DYNC2H1/CC2D2A/DNAL1/PARVA/CYLD/TMEM138/ENTR1/CCDC28B/ATAT1/FHDC1/CENPJ/POC1A/GFY",82
"GO:0070286","BP","GO:0070286","axonemal dynein complex assembly","23/1703","40/20772",2.03564024540204e-15,1.68638254044092e-12,1.62514497185555e-12,"DNAAF6/DAW1/DNAI3/DNAAF1/DNAI1/CFAP73/CFAP100/DRC1/ODAD2/DNAAF3/DNAH5/ZMYND10/DNAH7/CCDC65/DNAI4/DNAAF11/SPAG1/TTC12/DNAAF8/CCDC40/DNAAF4/ODAD3/DNAL1",23
"GO:0051306","BP","GO:0051306","mitotic sister chromatid separation","26/1703","62/20772",5.46001191614975e-13,3.95782613771905e-10,3.81410569247882e-10,"PPP2R1A/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",26
"GO:0003351","BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","21/1703","41/20772",7.42188030874552e-13,4.78216487893503e-10,4.60851024083391e-10,"ROPN1L/DAW1/DNAAF1/DNAI1/SPAG17/CFAP43/SPAG6/DNAH5/CFAP54/SPEF2/NME5/DNAAF11/CFAP221/AQP4/NEK10/CFAP53/JHY/CCDC40/SPA17/ODAD3/SPAG16",21
"GO:0044458","BP","GO:0044458","motile cilium assembly","26/1703","64/20772",1.33217714840127e-12,7.72529528357896e-10,7.44476682196036e-10,"DNAAF1/DRC7/CFAP47/CFAP65/FOXJ1/SPAG17/CFAP43/SPAG6/CFAP206/DNAAF3/ZMYND10/CFAP54/MEIG1/SPEF2/DNAAF11/CFAP221/CFAP58/TTC12/JHY/ARMC2/BBOF1/CFAP69/CCDC40/SPAG16/CC2D2A/CENPJ",26
