"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","BP","GO:0007059","chromosome segregation","79/592","499/20772",2.69559455990207e-36,1.03915170284225e-32,9.47998044698192e-33,"UBE2I/BAG6/MACROH2A1/TOP3A/SMARCD1/CEP85/TUBG1/PPP2R1A/SMARCB1/SAC3D1/TNKS/RACGAP1/GPSM2/PSMC3IP/KNTC1/STIL/CHAMP1/MAD2L1BP/NCAPH2/EHMT2/FBXO5/ECT2/BRIP1/CCSAP/KIF4A/TRIP13/TUBB/PRC1/HAUS8/BUB1/NUF2/NDC80/ZWINT/OIP5/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/KNL1/FANCD2/BCL7A/SKA3/SPAG5/SPC25/DPF1/EME1/NCAPG/HJURP/ESPL1/CENPJ/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/PTTG1/CDCA8/SGO1/NEK2/CCNB2/SKA1/UBE2C/CDT1/HASPIN/KIF2C/MND1/CDC20/SPC24/CENPH/PLK1/MYBL2/BIRC5/PTTG3P/KIFC1/AURKB/KIF18B",79
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","65/592","384/20772",1.12814012038745e-31,2.1744900820468e-28,1.98374533800761e-28,"BAG6/MACROH2A1/SMARCD1/TUBG1/PPP2R1A/SMARCB1/TNKS/RACGAP1/PSMC3IP/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/EHMT2/FBXO5/ECT2/BRIP1/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/KNL1/FANCD2/BCL7A/SPAG5/SPC25/DPF1/EME1/NCAPG/ESPL1/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/PTTG1/CDCA8/SGO1/NEK2/CCNB2/UBE2C/CDT1/HASPIN/KIF2C/MND1/CDC20/SPC24/PLK1/MYBL2/BIRC5/PTTG3P/KIFC1/AURKB/KIF18B",65
"GO:0000819","BP","GO:0000819","sister chromatid segregation","53/592","272/20772",4.64558768291218e-29,5.96958017254215e-26,5.44593278898582e-26,"MACROH2A1/SMARCD1/TUBG1/PPP2R1A/SMARCB1/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/BCL7A/SPAG5/SPC25/DPF1/NCAPG/ESPL1/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/UBE2C/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/KIFC1/AURKB/KIF18B",53
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","47/592","217/20772",5.22122752992067e-28,5.03195803196105e-25,4.59055820459605e-25,"MACROH2A1/TUBG1/PPP2R1A/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/SPAG5/SPC25/NCAPG/ESPL1/TTK/CCNB1/CDCA5/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/KIFC1/AURKB/KIF18B",47
"GO:0140014","BP","GO:0140014","mitotic nuclear division","55/592","315/20772",1.32726633499341e-27,1.02332234427992e-24,9.33557226360628e-25,"UBE2I/MACROH2A1/CEP85/TUBG1/PPP2R1A/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/FBXO43/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/SPAG5/SPC25/NCAPG/ESPL1/TTK/CCNB1/CDCA5/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/UBE2C/PKMYT1/CDT1/PDXP/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/CDC25C/KIFC1/AURKB/UBE2S/KIF18B",55
"GO:0051304","BP","GO:0051304","chromosome separation","29/592","82/20772",2.41848327232462e-24,1.55387550246857e-21,1.41757063383097e-21,"TOP3A/PPP2R1A/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/NCAPG/ESPL1/TTK/CCNB1/NCAPH/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",29
"GO:0051306","BP","GO:0051306","mitotic sister chromatid separation","26/592","62/20772",3.13502913347642e-24,1.72650532993594e-21,1.57505749397665e-21,"PPP2R1A/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",26
"GO:0007091","BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","30/592","98/20772",5.02278104054477e-23,2.32942398331912e-20,2.12508854618587e-20,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/TACC3/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",30
"GO:1905818","BP","GO:1905818","regulation of chromosome separation","27/592","75/20772",5.43834392992791e-23,2.32942398331912e-20,2.12508854618587e-20,"KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/NCAPG/ESPL1/TTK/CCNB1/NCAPH/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",27
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","34/592","136/20772",9.82742035184666e-23,3.78847054563689e-20,3.45614856794944e-20,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/NCAPG/ESPL1/TTK/CCNB1/TACC3/NCAPH/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/BIRC5/AURKB",34
"GO:0044784","BP","GO:0044784","metaphase/anaphase transition of cell cycle","30/592","102/20772",1.86530632915858e-22,6.53705081718756e-20,5.96362530690795e-20,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/TACC3/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",30
"GO:0030071","BP","GO:0030071","regulation of mitotic metaphase/anaphase transition","29/592","94/20772",2.08354144681305e-22,6.69337689788691e-20,6.10623857351086e-20,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",29
