"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","gene_symbol","classification"
"ENSG00000000005.6",32.0823156896062,2.69133406425223,0.334106252367757,4.57387352666961,4.78788920802614e-06,0.000578196035813434,"ENSG00000000005","TNMD","Upregulated"
"ENSG00000003989.18",620.810505016881,0.787545754883202,0.273053330167891,2.88464228543867,0.00391858636657917,0.0468309335200782,"ENSG00000003989","SLC7A2","Upregulated"
"ENSG00000004487.17",4407.19960053401,-0.411022176759267,0.105654834797071,-3.89022754065601,0.000100150268460911,0.0044311430550807,"ENSG00000004487","KDM1A","Downregulated"
"ENSG00000004777.18",2283.16686596673,-0.697883625135321,0.207954457012528,-3.35598668448836,0.000790823762299819,0.0170034244848874,"ENSG00000004777","ARHGAP33","Downregulated"
"ENSG00000004809.14",7.31938973313955,1.1350615344805,0.301152288418294,3.77152317187592,0.000162254087270511,0.00599899976178332,"ENSG00000004809","SLC22A16","Upregulated"
"ENSG00000004838.14",571.639803445326,1.08349729655502,0.289960021238531,3.73887086929362,0.000184848640973922,0.00655163888841967,"ENSG00000004838","ZMYND10","Upregulated"
"ENSG00000004975.12",1869.21865106771,-0.330011809643613,0.0939756528638596,-3.51165817476671,0.000445320372550002,0.011591086259472,"ENSG00000004975","DVL2","Downregulated"
"ENSG00000005156.12",1094.69302003394,-0.301851357824889,0.0972606145024018,-3.10350327347308,0.00191244119269746,0.0302289328708889,"ENSG00000005156","LIG3","Downregulated"
"ENSG00000005189.20",293.30841768488,-0.691595866189268,0.196457202564014,-3.52032616734415,0.000431016415007499,0.011427079755968,"ENSG00000005189","REXO5","Downregulated"
"ENSG00000005243.10",1108.90998515447,0.739820978111449,0.214687432904886,3.44611557439749,0.000568707077299965,0.0136421453702716,"ENSG00000005243","COPZ2","Upregulated"
"ENSG00000005469.12",1952.91800997336,0.556611080304097,0.163290256512531,3.40869604011964,0.000652741659496857,0.0150210734152059,"ENSG00000005469","CROT","Upregulated"
"ENSG00000005513.10",6982.28700434028,-0.850111359719094,0.267613417414656,-3.17724286725598,0.00148682468997023,0.0255965380604353,"ENSG00000005513","SOX8","Downregulated"
"ENSG00000005893.16",13893.5350992849,0.491562712984579,0.12710445165064,3.86739091715187,0.000110006009381184,0.00471892731229585,"ENSG00000005893","LAMP2","Upregulated"
"ENSG00000006016.11",374.846155390577,1.54338965796597,0.331524950136854,4.68331193785113,2.82276436771863e-06,0.000390280126514073,"ENSG00000006016","CRLF1","Upregulated"
"ENSG00000006453.14",43.6252188031728,0.864543275134438,0.26689175911506,3.23988606195882,0.00119577470560984,0.0223397536122811,"ENSG00000006453","BAIAP2L1","Upregulated"
"ENSG00000006747.15",1729.99930882255,0.792305523144392,0.260135281703023,3.04612258092778,0.00231813306258546,0.0339566291556546,"ENSG00000006747","SCIN","Upregulated"
"ENSG00000007171.18",2373.2513390342,-1.16062183204941,0.345731703348436,-3.3794090425454,0.0007264184005274,0.0161345598072697,"ENSG00000007171","NOS2","Downregulated"
"ENSG00000007376.8",1123.667202511,-0.347008462800937,0.0996227376533584,-3.48321466295792,0.000495430936242196,0.0124716439565875,"ENSG00000007376","RPUSD1","Downregulated"
"ENSG00000007968.7",333.864859374066,-0.91323374339419,0.222377978272469,-4.10671006075094,4.01334481645688e-05,0.0024262125871262,"ENSG00000007968","E2F2","Downregulated"
"ENSG00000008226.20",223.968327970157,1.05752854351649,0.257132745978137,4.11288023934567,3.90753122080106e-05,0.00239605978846053,"ENSG00000008226","DLEC1","Upregulated"
"ENSG00000008282.9",5351.16330819516,0.486968757534911,0.14996404831392,3.24723905601017,0.00116530466513572,0.0218932709173524,"ENSG00000008282","SYPL1","Upregulated"
"ENSG00000008283.16",1409.51666417606,0.571668567321808,0.142727972155666,4.0052756907284,6.19451916347544e-05,0.00326437007235169,"ENSG00000008283","CYB561","Upregulated"
"ENSG00000008513.16",1012.09869187076,0.596533820176887,0.204671451371024,2.91462286338678,0.0035611860208272,0.0443631752532213,"ENSG00000008513","ST3GAL1","Upregulated"
"ENSG00000008952.17",6859.00252363668,0.313867799451857,0.0908521393845998,3.45471158295554,0.000550881781802388,0.0133750528156637,"ENSG00000008952","SEC62","Upregulated"
"ENSG00000010626.15",996.805647482732,0.713387747561696,0.188379999539412,3.78695450737651,0.000152505008241576,0.00579540061369824,"ENSG00000010626","LRRC23","Upregulated"
"ENSG00000010932.17",30.9394316122716,2.35573013981256,0.27796072025669,3.01741955712714,0.0025493669427259,0.0357376193443834,"ENSG00000010932","FMO1","Upregulated"
"ENSG00000011332.19",1063.69698528547,-0.695078426432933,0.199423736686979,-3.48545289677371,0.000491304713547121,0.0124076269374868,"ENSG00000011332","DPF1","Downregulated"
"ENSG00000011485.15",3909.56759085204,-0.436026063721587,0.133288743098558,-3.27129059272569,0.00107057841613703,0.0208449959791357,"ENSG00000011485","PPP5C","Downregulated"
"ENSG00000012232.9",6607.00223636421,-0.476238123356065,0.16274146390017,-2.92634823563034,0.00342966795877117,0.0433392331501058,"ENSG00000012232","EXTL3","Downregulated"
"ENSG00000012660.14",6873.13544350256,0.33856031607598,0.10927060850082,3.09836552098669,0.00194591261666282,0.0306471275754106,"ENSG00000012660","ELOVL5","Upregulated"
"ENSG00000012779.11",1095.65821480874,0.597255072063628,0.206505898261266,2.89223106392359,0.00382516510348373,0.046081790127746,"ENSG00000012779","ALOX5","Upregulated"
"ENSG00000013583.10",1338.59694499113,0.531003810015212,0.128466825868627,4.13339311589851,3.57446564462784e-05,0.00227559134509906,"ENSG00000013583","HEBP1","Upregulated"
"ENSG00000013810.20",1951.83773801602,-0.733827652758845,0.150820661515765,-4.86556309868438,1.14131390448268e-06,0.000218816175877592,"ENSG00000013810","TACC3","Downregulated"
"ENSG00000014138.9",249.973265764672,-0.432447880198651,0.124038459272843,-3.48656823741459,0.000489260548260821,0.012385762137372,"ENSG00000014138","POLA2","Downregulated"
"ENSG00000018510.17",1899.60599485399,0.237603149500077,0.0830552121098161,2.86078403798193,0.00422594812892675,0.048868127514797,"ENSG00000018510","AGPS","Upregulated"
"ENSG00000019169.10",348.77244170395,1.04244356009521,0.344808535497434,3.03854268719121,0.00237725422525088,0.0345191128058826,"ENSG00000019169","MARCO","Upregulated"
"ENSG00000019991.18",498.834364251172,1.03678382979582,0.261077444302894,3.97186557885163,7.1311958093002e-05,0.00361763184412851,"ENSG00000019991","HGF","Upregulated"
"ENSG00000022556.16",55.5189669241683,1.14591412798323,0.300088125787498,3.81941086072368,0.000133770789191533,0.00532838965045133,"ENSG00000022556","NLRP2","Upregulated"
"ENSG00000023909.10",1097.43581987638,0.520942237227118,0.158676889558565,3.28302277819543,0.00102700366963665,0.0202730118723207,"ENSG00000023909","GCLM","Upregulated"
"ENSG00000025423.11",313.824111720323,0.935916609226003,0.263952242835576,3.54644150852603,0.000390471413248125,0.0107317005740101,"ENSG00000025423","HSD17B6","Upregulated"
"ENSG00000025770.19",2439.06614758686,-0.461823144830079,0.132720213622269,-3.47968040279444,0.000502012255632339,0.0125859845193442,"ENSG00000025770","NCAPH2","Downregulated"
"ENSG00000029993.15",1951.09008381763,-0.419739585902997,0.145089742202328,-2.8929718408149,0.00381615508860221,0.0460102172624597,"ENSG00000029993","HMGB3","Downregulated"
"ENSG00000030304.14",8.45726128893686,0.884397433664362,0.292212732915121,3.02642705961556,0.0024746251794078,0.0351633094779669,"ENSG00000030304","MUSK","Upregulated"
"ENSG00000031698.13",8062.87995578384,-0.300008417788684,0.0881758101117378,-3.4023901106584,0.000667992125209934,0.0152396011722849,"ENSG00000031698","SARS1","Downregulated"
"ENSG00000034677.13",5055.86843336911,0.496560794024515,0.169512447300384,2.92935149237633,0.00339670080778991,0.0431202682987217,"ENSG00000034677","RNF19A","Upregulated"
"ENSG00000035499.13",336.07339964485,-0.764045955537163,0.193924628605205,-3.93989260087706,8.15180950769138e-05,0.0039046646659445,"ENSG00000035499","DEPDC1B","Downregulated"
"ENSG00000036530.9",566.078301069457,0.526238675734897,0.175364193462919,3.00083757412974,0.00269238138039515,0.0370666004091592,"ENSG00000036530","CYP46A1","Upregulated"
"ENSG00000036565.15",40.4400672836605,-1.67727975231357,0.303876898101144,-5.53050286060658,3.19314090593076e-08,2.0814419579203e-05,"ENSG00000036565","SLC18A1","Downregulated"
"ENSG00000037637.11",1645.7988120172,-0.252645552022508,0.0816317768622052,-3.09492494379951,0.00196862707287731,0.0307764769448519,"ENSG00000037637","FBXO42","Downregulated"
"ENSG00000038210.14",698.51965246594,0.365220332239416,0.109411176327115,3.33802992562051,0.000843746616825594,0.0177791583313531,"ENSG00000038210","PI4K2B","Upregulated"
"ENSG00000038295.8",24.9760550164177,0.954247704296135,0.305117053628614,3.13453272736022,0.00172128052274279,0.0282056293116556,"ENSG00000038295","TLL1","Upregulated"
"ENSG00000039139.9",142.389090654854,1.09137125472112,0.2179628602461,5.00640223973453,5.54568069178743e-07,0.000136301012740366,"ENSG00000039139","DNAH5","Upregulated"
"ENSG00000039987.7",4.89692290217876,-0.630541108205096,0.219578614759544,-2.86590976824138,0.00415812745540771,0.0484680536187356,"ENSG00000039987","BEST2","Downregulated"
"ENSG00000041515.16",349.069285302869,-0.67338389966959,0.235113582466446,-2.86395460737595,0.00418387963655247,0.0485313852619056,"ENSG00000041515","MYO16","Downregulated"
"ENSG00000041988.15",888.47928822987,-0.54290108328171,0.142142558683,-3.81941504932516,0.000133768517844262,0.00532838965045133,"ENSG00000041988","THAP3","Downregulated"
"ENSG00000042445.14",3054.23164124078,0.53044390955039,0.117551243259611,4.51244125548224,6.40856876768156e-06,0.000699146218139317,"ENSG00000042445","RETSAT","Upregulated"
"ENSG00000042781.14",16.7419028515872,0.638972653934699,0.213812622852613,2.98665949178607,0.00282043675095414,0.0381465024706179,"ENSG00000042781","USH2A","Upregulated"
"ENSG00000048342.17",1303.39594087342,0.364763422067107,0.117262514291193,3.11063689476803,0.00186684341308083,0.0297435173970396,"ENSG00000048342","CC2D2A","Upregulated"
"ENSG00000048462.11",2.82089574823962,1.0152567081225,0.318369798861512,3.18368538608587,0.0014541296544869,0.0252035131154853,"ENSG00000048462","TNFRSF17","Upregulated"
"ENSG00000049323.16",2878.90667078798,0.906877527759714,0.239281497753238,3.7903186466564,0.000150454149074208,0.00575456303497157,"ENSG00000049323","LTBP1","Upregulated"
"ENSG00000050327.15",28.3563822293863,1.19665827656943,0.279116069054,4.28675340797337,1.81303358312596e-05,0.00142313643952963,"ENSG00000050327","ARHGEF5","Upregulated"
"ENSG00000050730.16",4.93563940204819,1.29748036221055,0.328401423159095,3.95278563776419,7.72466336162845e-05,0.00379888992501873,"ENSG00000050730","TNIP3","Upregulated"
"ENSG00000051180.17",345.924292612904,-0.665802411642445,0.184332618856835,-3.6120263272424,0.000303813712811151,0.00903755374865313,"ENSG00000051180","RAD51","Downregulated"
"ENSG00000051341.14",167.306100191638,-0.731446953944059,0.182923128043102,-3.99825157759815,6.38121072435233e-05,0.00334511544702281,"ENSG00000051341","POLQ","Downregulated"
"ENSG00000052126.14",779.084465971126,0.771219230604504,0.22755302810414,3.38930124482388,0.000700709854205442,0.01573841571412,"ENSG00000052126","PLEKHA5","Upregulated"
"ENSG00000052850.8",52.696275831849,1.00515783441649,0.297008112153557,3.38529754186523,0.000711011379841383,0.0158727985481581,"ENSG00000052850","ALX4","Upregulated"
"ENSG00000054179.12",1127.54243969827,0.907764538066559,0.314608874249472,2.88841210797305,0.00387192219965621,0.0464027126925226,"ENSG00000054179","ENTPD2","Upregulated"
"ENSG00000054983.17",2385.96658755564,0.44449805429513,0.121115713382269,3.67002409113801,0.000242527610282495,0.00780007599469217,"ENSG00000054983","GALC","Upregulated"
"ENSG00000055957.11",19.2343589517377,-0.226292637720863,0.32181520081442,-2.94587839359854,0.00322038982070892,0.0416633066322554,"ENSG00000055957","ITIH1","Downregulated"
"ENSG00000056487.16",397.051616041185,-0.795828367038586,0.217482220163953,-3.65908089710233,0.000253121434019004,0.00804009131256339,"ENSG00000056487","PHF21B","Downregulated"
"ENSG00000056998.20",1653.07879049929,0.760873783505703,0.232188453591342,3.27710877315296,0.00104875958465891,0.0205536314679722,"ENSG00000056998","GYG2","Upregulated"
