"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","BP","GO:0007059","chromosome segregation","79/592","499/20772",2.69559455990207e-36,1.05236011618577e-32,9.59915410120916e-33,"UBE2I/BAG6/MACROH2A1/TOP3A/SMARCD1/CEP85/TUBG1/PPP2R1A/SMARCB1/SAC3D1/TNKS/RACGAP1/GPSM2/PSMC3IP/KNTC1/STIL/CHAMP1/MAD2L1BP/NCAPH2/EHMT2/FBXO5/ECT2/BRIP1/CCSAP/KIF4A/TRIP13/TUBB/PRC1/HAUS8/BUB1/NUF2/NDC80/ZWINT/OIP5/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/KNL1/FANCD2/BCL7A/SKA3/SPAG5/SPC25/DPF1/EME1/NCAPG/HJURP/ESPL1/CENPJ/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/PTTG1/CDCA8/SGO1/NEK2/CCNB2/SKA1/UBE2C/CDT1/HASPIN/KIF2C/MND1/CDC20/SPC24/CENPH/PLK1/MYBL2/BIRC5/PTTG3P/KIFC1/AURKB/KIF18B",79
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","65/592","384/20772",1.12814012038745e-31,2.20212951499629e-28,2.00868317224775e-28,"BAG6/MACROH2A1/SMARCD1/TUBG1/PPP2R1A/SMARCB1/TNKS/RACGAP1/PSMC3IP/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/EHMT2/FBXO5/ECT2/BRIP1/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/KNL1/FANCD2/BCL7A/SPAG5/SPC25/DPF1/EME1/NCAPG/ESPL1/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/PTTG1/CDCA8/SGO1/NEK2/CCNB2/UBE2C/CDT1/HASPIN/KIF2C/MND1/CDC20/SPC24/PLK1/MYBL2/BIRC5/PTTG3P/KIFC1/AURKB/KIF18B",65
"GO:0000819","BP","GO:0000819","sister chromatid segregation","53/592","272/20772",4.64558768291218e-29,6.04545810469638e-26,5.51439408115505e-26,"MACROH2A1/SMARCD1/TUBG1/PPP2R1A/SMARCB1/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/BCL7A/SPAG5/SPC25/DPF1/NCAPG/ESPL1/TTK/CCNB1/CDCA5/TACC3/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/UBE2C/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/KIFC1/AURKB/KIF18B",53
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","47/592","217/20772",5.22122752992067e-28,5.09591806920258e-25,4.64826650887411e-25,"MACROH2A1/TUBG1/PPP2R1A/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/SPAG5/SPC25/NCAPG/ESPL1/TTK/CCNB1/CDCA5/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/KIFC1/AURKB/KIF18B",47
"GO:0140014","BP","GO:0140014","mitotic nuclear division","55/592","315/20772",1.32726633499341e-27,1.03632955436285e-24,9.45293055006885e-25,"UBE2I/MACROH2A1/CEP85/TUBG1/PPP2R1A/TNKS/RACGAP1/KNTC1/CHAMP1/MAD2L1BP/NCAPH2/FBXO5/CCSAP/KIF4A/TRIP13/PRC1/FBXO43/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/KIF11/KIF22/KIF15/SPAG5/SPC25/NCAPG/ESPL1/TTK/CCNB1/CDCA5/NCAPH/MAD2L2/CDCA8/SGO1/NEK2/UBE2C/PKMYT1/CDT1/PDXP/HASPIN/KIF2C/CDC20/SPC24/PLK1/MYBL2/BIRC5/CDC25C/KIFC1/AURKB/UBE2S/KIF18B",55
"GO:0051304","BP","GO:0051304","chromosome separation","29/592","82/20772",2.41848327232462e-24,1.57362644919255e-21,1.43539103689021e-21,"TOP3A/PPP2R1A/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/NCAPG/ESPL1/TTK/CCNB1/NCAPH/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",29
"GO:0051306","BP","GO:0051306","mitotic sister chromatid separation","26/592","62/20772",3.13502913347642e-24,1.74845053387028e-21,1.59485767797755e-21,"PPP2R1A/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/ESPL1/TTK/CCNB1/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",26
"GO:0007091","BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","30/592","98/20772",5.02278104054477e-23,2.3590327447154e-20,2.15180321812235e-20,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/ESPL1/TTK/CCNB1/TACC3/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",30
"GO:1905818","BP","GO:1905818","regulation of chromosome separation","27/592","75/20772",5.43834392992791e-23,2.3590327447154e-20,2.15180321812235e-20,"KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/SPC25/NCAPG/ESPL1/TTK/CCNB1/NCAPH/MAD2L2/CDCA8/CDT1/HASPIN/CDC20/SPC24/PLK1/BIRC5/AURKB",27
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","34/592","136/20772",9.82742035184666e-23,3.83662490536094e-20,3.4995961105576e-20,"SMARCD1/SMARCB1/KNTC1/MAD2L1BP/NCAPH2/FBXO5/TRIP13/BUB1/NUF2/NDC80/ZWINT/BUB1B/DLGAP5/CENPF/BCL7A/SPC25/DPF1/NCAPG/ESPL1/TTK/CCNB1/TACC3/NCAPH/MAD2L2/CDCA8/UBE2C/CDT1/HASPIN/KIF2C/CDC20/SPC24/PLK1/BIRC5/AURKB",34
