"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035082","BP","GO:0035082","axoneme assembly","50/1111","95/20772",2.49687558617702e-38,1.28838780246734e-34,1.2329308815533e-34,"HOATZ/DNAAF6/DAW1/DNAI3/RSPH4A/DNAAF1/SPEF1/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/FOXJ1/SPAG17/ODAD2/CFAP43/SPAG6/CFAP206/DNAAF3/DNAH5/ZMYND10/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/DNAAF11/SPAG1/CFAP58/CFAP74/LRRC43/TTC12/DNAAF8/PIERCE2/CFAP46/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/ODAD3/SPAG16/IFT56/CC2D2A/DNAL1",50
"GO:0001578","BP","GO:0001578","microtubule bundle formation","52/1111","124/20772",1.75134813427819e-33,4.51847818643772e-30,4.32398636731525e-30,"HOATZ/DNAAF6/DAW1/DNAI3/RSPH4A/DNAAF1/SPEF1/GAS2L2/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/FOXJ1/SPAG17/ODAD2/CFAP43/SPAG6/CFAP206/DNAAF3/DNAH5/ZMYND10/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/DNAAF11/SPAG1/TPPP3/CFAP58/CFAP74/LRRC43/TTC12/DNAAF8/PIERCE2/CFAP46/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/ODAD3/SPAG16/IFT56/CC2D2A/DNAL1",52
"GO:0003341","BP","GO:0003341","cilium movement","59/1111","202/20772",8.11277484341445e-28,1.19268810080143e-24,1.14135044489178e-24,"HOATZ/TEKT1/DNAAF6/ROPN1L/DAW1/DNAI3/CFAP52/RSPH4A/TTC29/DNAAF1/TEKT4/SPEF1/GAS2L2/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/SPAG17/ODAD2/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/ZMYND10/CFAP54/CFAP61/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/CFAP221/CFAP58/PLTP/AQP4/NEK10/TTC12/CFAP53/PIERCE2/CFAP46/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/CFAP251/SPA17/ENKUR/ODAD3/SPAG16/LZTFL1",59
"GO:0044782","BP","GO:0044782","cilium organization","85/1111","410/20772",9.24564419225917e-28,1.19268810080143e-24,1.14135044489178e-24,"HOATZ/TEKT1/DNAAF6/CFAP161/DAW1/DNAI3/RSPH4A/CIBAR2/TTC29/DNAAF1/TEKT4/SPEF1/CFAP126/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CATIP/CFAP65/PIFO/CFAP100/DRC1/FOXJ1/MAK/SPAG17/ODAD2/CFAP43/SPAG6/IQUB/LCA5L/CFAP206/DNAAF3/DNAH5/DCDC2/ZMYND10/CFAP54/CFAP61/SAXO1/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/SPAG1/CCDC13/CFAP221/CFAP58/ADAMTS16/CFAP74/LRRC43/TTC12/CCDC96/DNAAF8/PIERCE2/CFAP46/GSN/JHY/ARMC2/CFAP91/BBOF1/CFAP69/CCDC40/DNAAF4/IFT70A/TMEM231/IFT70B/RPGR/CCDC113/ODAD3/BBS12/SPAG16/IFT56/TMEM67/DYNC2H1/FAM161B/LCA5/CC2D2A/DNAL1/PARVA/CYLD/TMEM138",85
"GO:0060271","BP","GO:0060271","cilium assembly","75/1111","381/20772",3.77431004026358e-23,3.89508796155202e-20,3.72742913660557e-20,"HOATZ/TEKT1/DNAAF6/CFAP161/DAW1/DNAI3/RSPH4A/CIBAR2/DNAAF1/TEKT4/SPEF1/RSPH1/DNAI1/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/FOXJ1/MAK/SPAG17/ODAD2/CFAP43/SPAG6/IQUB/CFAP206/DNAAF3/DNAH5/DCDC2/ZMYND10/CFAP54/SAXO1/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/SPAG1/CCDC13/CFAP221/CFAP58/ADAMTS16/CFAP74/LRRC43/TTC12/CCDC96/DNAAF8/PIERCE2/CFAP46/GSN/JHY/ARMC2/CFAP91/BBOF1/CFAP69/CCDC40/DNAAF4/TMEM231/IFT70B/RPGR/CCDC113/ODAD3/SPAG16/IFT56/TMEM67/DYNC2H1/CC2D2A/DNAL1/PARVA/CYLD/TMEM138",75
"GO:0007018","BP","GO:0007018","microtubule-based movement","80/1111","437/20772",1.63486235111988e-22,1.4059816219631e-19,1.34546303317603e-19,"HOATZ/TEKT1/DNAAF6/ROPN1L/DAW1/DNAI3/CFAP52/RSPH4A/DYNLT5/TTC29/DNAAF1/TEKT4/SPEF1/GAS2L2/DYNLRB2/DNAI1/DNAH6/CFAP73/DRC7/CFAP47/CFAP65/CFAP100/DRC1/MAK/DNAH3/SPAG17/ODAD2/CFAP43/SPAG6/SLC22A16/LCA5L/CFAP206/DNAH12/DNAH5/ZMYND10/CFAP54/CFAP61/MEIG1/HYDIN/DNAH7/CCDC65/SPEF2/DNAI4/NME5/DNAAF11/CFAP221/CFAP58/PLTP/AQP4/AGBL4/NEK10/TTC12/CFAP53/PIERCE2/CFAP46/KIF16B/JHY/ARMC2/CFAP91/CFAP69/CCDC40/DNAAF4/IFT70A/CFAP251/SPA17/ENKUR/IFT70B/RPGR/ODAD3/KIF13B/BBS12/SPAG16/LZTFL1/IFT56/DYNLT3/DYNC2H1/LCA5/RAB21/PURA/ARL8B",80
"GO:0070286","BP","GO:0070286","axonemal dynein complex assembly","23/1111","40/20772",1.67000989482934e-19,1.23103586533134e-16,1.17804758145029e-16,"DNAAF6/DAW1/DNAI3/DNAAF1/DNAI1/CFAP73/CFAP100/DRC1/ODAD2/DNAAF3/DNAH5/ZMYND10/DNAH7/CCDC65/DNAI4/DNAAF11/SPAG1/TTC12/DNAAF8/CCDC40/DNAAF4/ODAD3/DNAL1",23
"GO:0003351","BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","21/1111","41/20772",1.57828178640856e-16,1.01799175223352e-13,9.74173665795075e-14,"ROPN1L/DAW1/DNAAF1/DNAI1/SPAG17/CFAP43/SPAG6/DNAH5/CFAP54/SPEF2/NME5/DNAAF11/CFAP221/AQP4/NEK10/CFAP53/JHY/CCDC40/SPA17/ODAD3/SPAG16",21
"GO:0044458","BP","GO:0044458","motile cilium assembly","25/1111","64/20772",6.65478607594676e-16,3.81541068354281e-13,3.65118145991418e-13,"DNAAF1/DRC7/CFAP47/CFAP65/FOXJ1/SPAG17/CFAP43/SPAG6/CFAP206/DNAAF3/ZMYND10/CFAP54/MEIG1/SPEF2/DNAAF11/CFAP221/CFAP58/TTC12/JHY/ARMC2/BBOF1/CFAP69/CCDC40/SPAG16/CC2D2A",25
"GO:0006858","BP","GO:0006858","extracellular transport","21/1111","44/20772",1.01172543587413e-15,5.2205032491105e-13,4.99579370493214e-13,"ROPN1L/DAW1/DNAAF1/DNAI1/SPAG17/CFAP43/SPAG6/DNAH5/CFAP54/SPEF2/NME5/DNAAF11/CFAP221/AQP4/NEK10/CFAP53/JHY/CCDC40/SPA17/ODAD3/SPAG16",21
"GO:0001539","BP","GO:0001539","cilium or flagellum-dependent cell motility","39/1111","164/20772",1.76292368964254e-15,7.58057186546292e-13,7.25427634045013e-13,"HOATZ/TEKT1/DNAAF6/ROPN1L/DNAI3/CFAP52/RSPH4A/TEKT4/GAS2L2/DNAI1/DRC7/CFAP47/CFAP65/DRC1/DNAH3/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/DNAH7/CCDC65/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/CFAP46/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1",39
"GO:0060285","BP","GO:0060285","cilium-dependent cell motility","39/1111","164/20772",1.76292368964254e-15,7.58057186546292e-13,7.25427634045013e-13,"HOATZ/TEKT1/DNAAF6/ROPN1L/DNAI3/CFAP52/RSPH4A/TEKT4/GAS2L2/DNAI1/DRC7/CFAP47/CFAP65/DRC1/DNAH3/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/DNAH7/CCDC65/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/CFAP46/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1",39
"GO:0060294","BP","GO:0060294","cilium movement involved in cell motility","35/1111","154/20772",2.08862088152641e-13,8.29021826821251e-11,7.93337696780598e-11,"HOATZ/TEKT1/DNAAF6/ROPN1L/DNAI3/CFAP52/RSPH4A/TEKT4/GAS2L2/DNAI1/DRC7/CFAP47/CFAP65/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/CFAP46/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1",35
"GO:0030317","BP","GO:0030317","flagellated sperm motility","29/1111","137/20772",1.49513935726755e-10,5.14327938900038e-08,4.92189384206462e-08,"HOATZ/DNAAF6/ROPN1L/CFAP52/DNAI1/DRC7/CFAP47/CFAP65/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1",29
"GO:0097722","BP","GO:0097722","sperm motility","29/1111","137/20772",1.49513935726755e-10,5.14327938900038e-08,4.92189384206462e-08,"HOATZ/DNAAF6/ROPN1L/CFAP52/DNAI1/DRC7/CFAP47/CFAP65/CFAP43/SPAG6/SLC22A16/CFAP206/DNAH5/CFAP54/MEIG1/SPEF2/DNAAF11/CFAP221/CFAP58/PLTP/TTC12/ARMC2/CFAP69/CCDC40/CFAP251/ENKUR/ODAD3/SPAG16/LZTFL1",29
"GO:0120316","BP","GO:0120316","sperm flagellum assembly","15/1111","38/20772",3.69722493301104e-10,1.19235504089606e-07,1.14103172110229e-07,"DRC7/CFAP47/CFAP65/CFAP43/SPAG6/CFAP206/CFAP54/MEIG1/SPEF2/CFAP221/CFAP58/TTC12/ARMC2/CFAP69/SPAG16",15
"GO:0007288","BP","GO:0007288","sperm axoneme assembly","13/1111","28/20772",4.82957447749339e-10,1.4659179002274e-07,1.40281943491774e-07,"DRC7/CFAP47/CFAP65/CFAP43/SPAG6/CFAP206/MEIG1/SPEF2/CFAP58/TTC12/ARMC2/CFAP69/SPAG16",13
"GO:0036158","BP","GO:0036158","outer dynein arm assembly","12/1111","24/20772",7.68503667901803e-10,2.20304384798517e-07,2.10821678720898e-07,"DNAAF6/DAW1/DNAAF1/DNAI1/ODAD2/DNAH5/ZMYND10/DNAAF11/DNAAF8/DNAAF4/ODAD3/DNAL1",12
"GO:0036159","BP","GO:0036159","inner dynein arm assembly","10/1111","17/20772",2.53805772735643e-09,6.89283045955747e-07,6.59613783879724e-07,"DNAAF6/DNAI3/DNAAF1/CFAP73/CFAP100/ZMYND10/DNAH7/DNAAF11/CCDC40/DNAAF4",10
"GO:0090660","BP","GO:0090660","cerebrospinal fluid circulation","9/1111","15/20772",1.29652408145363e-08,3.34503213015038e-06,3.20104971899947e-06,"DAW1/CFAP43/CFAP54/DNAAF11/CFAP221/AQP4/JHY/ODAD3/SPAG16",9
"GO:0099111","BP","GO:0099111","microtubule-based transport","34/1111","217/20772",1.66867853308513e-08,4.10018153843775e-06,3.92369473619165e-06,"ROPN1L/DAW1/DNAAF1/DNAI1/MAK/SPAG17/CFAP43/SPAG6/LCA5L/DNAH5/CFAP54/SPEF2/NME5/DNAAF11/CFAP221/AQP4/AGBL4/NEK10/CFAP53/JHY/CCDC40/IFT70A/SPA17/IFT70B/RPGR/ODAD3/BBS12/SPAG16/IFT56/DYNC2H1/LCA5/RAB21/PURA/ARL8B",34
"GO:0009855","BP","GO:0009855","determination of bilateral symmetry","26/1111","145/20772",5.04007719453658e-08,1.18212719653676e-05,1.13124412055364e-05,"DAW1/CFAP52/DNAAF1/DNAI1/DRC1/FOXJ1/ODAD2/DNAAF3/DNAH5/SOSTDC1/DNAAF11/GREM1/NBL1/BICC1/CFAP53/ALDH1A2/MICAL2/PIERCE2/CCDC40/DNAAF4/ENKUR/TGFBR2/ODAD3/ACVR1/DYNC2H1/CC2D2A",26
"GO:0002377","BP","GO:0002377","immunoglobulin production","41/1111","306/20772",5.82201673244554e-08,1.25236875918137e-05,1.1984622295634e-05,"IGLV3-9/IGLV1-47/IGLV1-40/IGKV1-27/IGLV2-23/IGLV1-44/IGLV3-21/IGKV1-17/IGKV1-5/IGKV3-20/IGLV9-49/IGLV6-57/IGKV3-15/IGLV3-25/IGKV1-9/IGLV4-69/IGLV3-19/MZB1/IGKV3D-20/IGLV7-46/IGLV3-10/IGKV1-16/IGLV2-14/IGLV2-11/IGKV4-1/IGLV1-36/IGLV5-45/IGKV1-12/IGLV3-27/IGKV1-6/IGKV2D-29/IGKV1D-39/IGKV6-21/IGKV3D-11/IGLV8-61/IGKV3D-15/IGLV2-18/IL10/TNFSF4/IGKV2-30/APLF",41
