"","correlation","pvalue","tumor","stage","process"
"coated vesicle","0.0753787855295555","0.348099684710835","BRCA","IIIA","coated vesicle"
"endocytic vesicle","0.370313633798275","1.80815147676761e-06","BRCA","IIIA","endocytic vesicle"
"phagocytic vesicle","0.268446219587073","0.000675443245083063","BRCA","IIIA","phagocytic vesicle"
"secretory vesicle","0.34639882410583","8.82773535004766e-06","BRCA","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking","-0.0287771568913228","0.720515853293576","BRCA","IIIA","vesicle cytoskeletal trafficking"
"exocytosis","0.250931846513561","0.00152482240175678","BRCA","IIIA","exocytosis"
"endocytosis","0.378332785492344","1.03193171563376e-06","BRCA","IIIA","endocytosis"
"secretion","0.318604680009179","4.76843895829138e-05","BRCA","IIIA","secretion"
"intracellular transport","-0.144071843660653","0.0718301562039252","BRCA","IIIA","intracellular transport"
"intracellular protein transport","-0.163155316021558","0.041181751479217","BRCA","IIIA","intracellular protein transport"
"transport along microtubule","-0.128145175794938","0.109726235468431","BRCA","IIIA","transport along microtubule"
"vesicle lumen","0.298535093866868","0.000146035467874395","BRCA","IIIA","vesicle lumen"
"vesicle membrane","0.243762365184602","0.00209467079966341","BRCA","IIIA","vesicle membrane"
"vesicle organization","0.0308982318173643","0.700866015114427","BRCA","IIIA","vesicle organization"
"vesicle targeting","-0.315829296882268","5.59355966625041e-05","BRCA","IIIA","vesicle targeting"
"vesicle docking","0.129404176408933","0.106251865912159","BRCA","IIIA","vesicle docking"
"clathrin coated vesicle","0.225020001364434","0.00460568352938151","BRCA","IIIA","clathrin coated vesicle"
"copi coated vesicle","-0.159579878317281","0.045894320990008","BRCA","IIIA","copi coated vesicle"
"vesicle tethering","-0.114159725624694","0.154549186377197","BRCA","IIIA","vesicle tethering"
"intercellular transport","0.256439198953107","0.00118742505675806","BRCA","IIIA","intercellular transport"
"regulation of vesicle fusion","0.188357035208603","0.0181554119277014","BRCA","IIIA","regulation of vesicle fusion"
"coated vesicle1","-0.0176397628026539","0.736614238236188","BRCA","IIA","coated vesicle"
"endocytic vesicle1","0.327393405296983","1.36490818647417e-10","BRCA","IIA","endocytic vesicle"
"phagocytic vesicle1","0.304744008111361","2.64361577073657e-09","BRCA","IIA","phagocytic vesicle"
"secretory vesicle1","0.322153818477088","2.7702107274763e-10","BRCA","IIA","secretory vesicle"
"vesicle cytoskeletal trafficking1","-0.118261760280398","0.023654978368048","BRCA","IIA","vesicle cytoskeletal trafficking"
"exocytosis1","0.102091906322835","0.0509911811318453","BRCA","IIA","exocytosis"
"endocytosis1","0.259388918838049","4.85873040245721e-07","BRCA","IIA","endocytosis"
"secretion1","0.139228674175509","0.007641926074057","BRCA","IIA","secretion"
"intracellular transport1","-0.172179059397853","0.000941510026187142","BRCA","IIA","intracellular transport"
"intracellular protein transport1","-0.166775972601516","0.00136404516339406","BRCA","IIA","intracellular protein transport"
"transport along microtubule1","-0.297421754675383","6.53817266993428e-09","BRCA","IIA","transport along microtubule"
"vesicle lumen1","0.33742246448067","3.38915562281272e-11","BRCA","IIA","vesicle lumen"
"vesicle membrane1","0.179052422179947","0.000578262835359222","BRCA","IIA","vesicle membrane"
"vesicle organization1","-0.087137043208173","0.0960136016901212","BRCA","IIA","vesicle organization"
"vesicle targeting1","-0.391701764294469","7.105427357601e-15","BRCA","IIA","vesicle targeting"
"vesicle docking1","-0.0147136516973219","0.779062446456516","BRCA","IIA","vesicle docking"
"clathrin coated vesicle1","0.080393158700836","0.12472575008567","BRCA","IIA","clathrin coated vesicle"
"copi coated vesicle1","-0.170888927098714","0.00102967447570368","BRCA","IIA","copi coated vesicle"
"vesicle tethering1","-0.198763225477604","0.000129284757868442","BRCA","IIA","vesicle tethering"
"intercellular transport1","0.371424585329916","2.04281036531029e-13","BRCA","IIA","intercellular transport"
"regulation of vesicle fusion1","-0.0651609820033765","0.21362441823925","BRCA","IIA","regulation of vesicle fusion"
"coated vesicle2","0.260683760683761","0.18908157612909","BRCA","IIIB","coated vesicle"
"endocytic vesicle2","0.288156288156288","0.144956714383113","BRCA","IIIB","endocytic vesicle"
"phagocytic vesicle2","0.272283272283272","0.169441065265165","BRCA","IIIB","phagocytic vesicle"
"secretory vesicle2","0.27045177045177","0.172442593870111","BRCA","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking2","0.0708180708180708","0.72558064462498","BRCA","IIIB","vesicle cytoskeletal trafficking"
"exocytosis2","0.218559218559219","0.273412886709374","BRCA","IIIB","exocytosis"
"endocytosis2","0.296703296703297","0.132880127993138","BRCA","IIIB","endocytosis"
"secretion2","0.304029304029304","0.123125041988934","BRCA","IIIB","secretion"
"intracellular transport2","0.150793650793651","0.452785481080508","BRCA","IIIB","intracellular transport"
"intracellular protein transport2","0.137973137973138","0.492524642119829","BRCA","IIIB","intracellular protein transport"
"transport along microtubule2","-0.072039072039072","0.721033518204895","BRCA","IIIB","transport along microtubule"
"vesicle lumen2","0.288766788766789","0.144068827404171","BRCA","IIIB","vesicle lumen"
"vesicle membrane2","0.248473748473748","0.211399874124144","BRCA","IIIB","vesicle membrane"
"vesicle organization2","0.231990231990232","0.244267450937384","BRCA","IIIB","vesicle organization"
"vesicle targeting2","-0.18986568986569","0.342847214129101","BRCA","IIIB","vesicle targeting"
"vesicle docking2","0.205738705738706","0.303230586856891","BRCA","IIIB","vesicle docking"
"clathrin coated vesicle2","0.236263736263736","0.235440814046862","BRCA","IIIB","clathrin coated vesicle"
"copi coated vesicle2","0.364468864468864","0.0616090352539982","BRCA","IIIB","copi coated vesicle"
"vesicle tethering2","-0.0384615384615385","0.848944442852982","BRCA","IIIB","vesicle tethering"
"intercellular transport2","0.206349206349206","0.301766422875772","BRCA","IIIB","intercellular transport"
