"","x"
"1","CROT"
"2","SYPL1"
"3","HEBP1"
"4","PLEKHA5"
"5","GALC"
"6","MAOB"
"7","WIPI1"
"8","CYBRD1"
"9","GPC4"
"10","SLC25A43"
"11","RNF13"
"12","CD59"
"13","PLTP"
"14","CST3"
"15","CPQ"
"16","PCOLCE"
"17","ECM2"
"18","ALDH2"
"19","LOX"
"20","SPARC"
"21","FGF1"
"22","PLSCR4"
"23","CTBS"
"24","C1orf198"
"25","NPC2"
"26","TSHZ3"
"27","CAT"
"28","BHLHE41"
"29","SSPN"
"30","OPTN"
"31","TMX4"
"32","DSTN"
"33","PLA2G5"
"34","TWSG1"
"35","BBOX1"
"36","REEP5"
"37","MOSPD2"
"38","SNX9"
"39","IL13RA1"
"40","MATN2"
"41","SERINC3"
"42","MRO"
"43","RDH5"
"44","CD164"
"45","ITM2B"
"46","USP53"
"47","LIX1"
"48","AK3"
"49","STOM"
"50","GSN"
"51","HSD17B12"
"52","SLC7A11"
"53","GJA1"
"54","CAST"
"55","RPGR"
"56","FBXO32"
"57","DYNLT3"
"58","AXL"
"59","SPRYD3"
"60","LMBRD1"
"61","TMEM150A"
"62","SDC2"
"63","BCL2L1"
"64","PRNP"
"65","PTTG1IP"
"66","PIGP"
"67","ZNF267"
"68","SLC22A5"
"69","SLC2A10"
"70","SIRPA"
"71","TMEM231"
"72","NFS1"
"73","CHURC1"
