"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048193","BP","GO:0048193","Golgi vesicle transport","36/754","294/18614",3.40490985425484e-09,1.67691810322051e-05,1.54152813506843e-05,"AP2A1/ARFRP1/BCAP29/CCDC22/COG6/DNM2/ERGIC3/GOLGA7/KDELR1/KDELR2/LAMP1/LYPLA1/NAPA/OPTN/P4HB/PEF1/RAB10/RAB13/RAB31/RAB34/RAB8A/RER1/RNF139/SEC22C/SEC23B/SNX3/TMED1/TMED10/TMED7/TMED9/TMEM115/VAMP3/VAMP5/VAPB/VTI1B/WIPI1",36
"GO:0072659","BP","GO:0072659","protein localization to plasma membrane","33/754","285/18614",6.01836873802996e-08,0.000148202330173988,0.000136236862854036,"ARF6/ARFRP1/ATP6AP1/BCL2L1/EGFR/EHD2/FLOT1/GOLGA7/GORASP1/LGALS3/LRP1/LYPLA1/OPTN/PGRMC1/PRNP/RAB10/RAB13/RAB31/RAB34/RAB8A/RAMP1/RAMP2/RER1/SQSTM1/STX4/STX7/TMBIM1/TMEM150A/TNFRSF1A/TSPAN5/VAMP3/VAMP5/VTI1B",33
"GO:1990778","BP","GO:1990778","protein localization to cell periphery","36/754","345/18614",2.13781298842829e-07,0.000350957632266978,0.000322622233797547,"ARF6/ARFRP1/ARL13B/ATP6AP1/BCL2L1/EGFR/EHD2/FLOT1/GOLGA7/GORASP1/GPC4/LGALS3/LRP1/LYPLA1/MYADM/OPTN/PGRMC1/PRNP/RAB10/RAB13/RAB31/RAB34/RAB8A/RAMP1/RAMP2/RER1/SQSTM1/STX4/STX7/TMBIM1/TMEM150A/TNFRSF1A/TSPAN5/VAMP3/VAMP5/VTI1B",36
"GO:0098876","BP","GO:0098876","vesicle-mediated transport to the plasma membrane","20/754","149/18614",2.53007181732944e-06,0.00257877195610166,0.00237056867393925,"ARF6/ARFRP1/ATP6AP1/CCDC22/DNM2/EHD2/GOLGA7/LYPLA1/NDRG4/OPTN/RAB10/RAB13/RAB31/RAB34/RAB8A/SNX17/SNX3/SNX7/VAMP3/VAMP5",20
"GO:0008652","BP","GO:0008652","amino acid biosynthetic process","14/754","78/18614",2.61804259502707e-06,0.00257877195610166,0.00237056867393925,"ASNS/BCAT1/ENOPH1/GLUD1/GLUL/ILVBL/MTHFD1/PHGDH/PLOD3/PYCR1/PYCR2/SDSL/SERINC3/SLC1A3",14
"GO:1901607","BP","GO:1901607","alpha-amino acid biosynthetic process","13/754","70/18614",4.00186451255864e-06,0.0031333426889441,0.00288036482076379,"ASNS/BCAT1/ENOPH1/GLUD1/GLUL/ILVBL/MTHFD1/PHGDH/PLOD3/PYCR1/PYCR2/SDSL/SERINC3",13
"GO:0006898","BP","GO:0006898","receptor-mediated endocytosis","27/754","256/18614",5.71101300789644e-06,0.0031333426889441,0.00288036482076379,"ANXA2/AP2A1/ARC/ARF6/B2M/CANX/CAP1/CLTB/CLU/CXCL16/DNM2/EFNB2/FLOT1/LDLR/LMBRD1/LPAR1/LRP1/LRPAP1/M6PR/PI4KB/RAB31/RAB5A/RAMP1/RAMP2/SFRP4/SNX17/SNX9",27
"GO:0090150","BP","GO:0090150","establishment of protein localization to membrane","28/754","271/18614",5.72053345694397e-06,0.0031333426889441,0.00288036482076379,"ADORA1/ARFRP1/ATP13A1/ATP6AP1/EGFR/GOLGA7/GORASP1/HSPA5/LYPLA1/OPTN/PEX3/PRNP/RAB10/RAB31/RAB34/RAB8A/REEP2/SGTA/SRPRB/SSR3/STOM/TOMM40/TRAM1/UBL4A/VAMP3/VAMP5/VPS37C/ZDHHC24",28
"GO:0061951","BP","GO:0061951","establishment of protein localization to plasma membrane","12/754","62/18614",5.99207222799807e-06,0.0031333426889441,0.00288036482076379,"ARFRP1/ATP6AP1/GOLGA7/GORASP1/LYPLA1/OPTN/RAB10/RAB31/RAB34/RAB8A/VAMP3/VAMP5",12
"GO:0019318","BP","GO:0019318","hexose metabolic process","25/754","228/18614",6.36211713491188e-06,0.0031333426889441,0.00288036482076379,"ADIPOR1/ALDOA/ARPP19/ATF3/DLAT/FUCA2/FUT8/GALE/GALK1/GPI/IGFBP3/IRS2/KHK/NLN/OMA1/PDK2/PFKL/PFKP/PGAM2/PGK1/POFUT2/RGN/SLC25A11/SLC35A2/STK11",25
