"","x"
"1","AAGAB"
"2","ABCB7"
"3","ABCC3"
"4","ABHD12"
"5","ACAA1"
"6","ACAD9"
"7","ACO2"
"8","ACTN1"
"9","ACTN4"
"10","ACTR10"
"11","ACTR1B"
"12","ADCK2"
"13","ADCY2"
"14","ADIPOR1"
"15","ADORA1"
"16","AEBP1"
"17","AGGF1"
"18","AHCY"
"19","AIDA"
"20","AIF1L"
"21","AK3"
"22","AKAP12"
"23","AKIRIN1"
"24","AKT1S1"
"25","ALDH1L1"
"26","ALDH2"
"27","ALDH6A1"
"28","ALDOA"
"29","ALG3"
"30","ALG8"
"31","AMD1"
"32","AMDHD2"
"33","ANKRD35"
"34","ANXA2"
"35","ANXA5"
"36","AP1M1"
"37","AP2A1"
"38","APBA3"
"39","ARAF"
"40","ARC"
"41","ARF6"
"42","ARFRP1"
"43","ARID5B"
"44","ARL13B"
"45","ARMC6"
"46","ARMCX2"
"47","ARPP19"
"48","ARRDC1"
"49","ASAH1"
"50","ASNA1"
"51","ASNS"
"52","ATF3"
"53","ATP13A1"
"54","ATP1A1"
"55","ATP1A2"
"56","ATP5S"
"57","ATP6AP1"
"58","ATP6AP2"
"59","AXL"
"60","B2M"
"61","B3GALT6"
"62","B4GALT4"
"63","B4GALT7"
"64","BATF3"
"65","BBOX1"
"66","BCAM"
"67","BCAP29"
"68","BCAT1"
"69","BCL2L1"
"70","BFAR"
"71","BHLHE41"
"72","BLVRB"
"73","BRF2"
"74","BRMS1"
"75","C14orf79"
"76","C16orf45"
"77","C16orf58"
"78","C19orf48"
"79","C19orf66"
"80","C1D"
"81","C1R"
"82","C1orf198"
"83","C20orf24"
"84","C21orf2"
"85","C21orf62"
"86","C2orf72"
"87","C3orf18"
"88","C6orf1"
"89","C6orf120"
"90","C6orf136"
"91","CALM1"
"92","CALR"
"93","CALU"
"94","CAMK2B"
"95","CAMK2D"
"96","CANX"
"97","CAP1"
"98","CAPN2"
"99","CARD16"
"100","CASC4"
"101","CAST"
"102","CAT"
"103","CBR1"
"104","CCDC106"
"105","CCDC159"
"106","CCDC22"
"107","CCDC51"
"108","CCDC97"
"109","CD151"
"110","CD164"
"111","CD276"
"112","CD44"
"113","CD58"
"114","CD59"
"115","CDC42EP1"
"116","CDC42EP4"
"117","CDIPT"
"118","CEBPD"
"119","CEND1"
"120","CHDH"
"121","CHI3L1"
"122","CHL1"
"123","CHPF"
"124","CHPT1"
"125","CHURC1"
"126","CITED2"
"127","CLDN10"
"128","CLDN12"
"129","CLDND1"
"130","CLIC1"
"131","CLN8"
"132","CLPP"
"133","CLPTM1"
"134","CLTB"
"135","CLU"
"136","CNEP1R1"
"137","CNGA3"
"138","CNN3"
"139","COG6"
"140","COL4A1"
"141","COL4A2"
"142","COMT"
"143","COPS7A"
"144","COQ6"
"145","COQ7"
"146","CPQ"
"147","CRAT"
"148","CRISPLD1"
"149","CROT"
"150","CSRP2"
"151","CST3"
"152","CTBS"
"153","CTNNA1"
"154","CTSF"
"155","CUL4A"
"156","CX3CL1"
"157","CXCL16"
"158","CYB561D2"
"159","CYBRD1"
"160","CYFIP1"
"161","CYR61"
"162","DAPK3"
"163","DCK"
"164","DCLK1"
"165","DDOST"
"166","DDRGK1"
"167","DEDD2"
"168","DHCR7"
"169","DHRS3"
"170","DIRAS3"
"171","DIS3L"
"172","DLAT"
"173","DLC1"
"174","DNAJB9"
"175","DNAL1"
"176","DNASE2"
"177","DNM2"
"178","DNTTIP1"
"179","DOK1"
"180","DOLK"
"181","DPF3"
"182","DPH2"
"183","DPM2"
"184","DPP7"
