"","x"
"1","BAALC"
"2","DKK3"
"3","GPRC5B"
"4","GLUL"
"5","PSAP"
"6","GNS"
"7","APLP2"
"8","GPM6B"
"9","ITM2C"
"10","HLA-A"
"11","TIMP3"
"12","CLU"
"13","LANCL2"
"14","GNAI2"
"15","WLS"
"16","TNFRSF21"
"17","CNR1"
"18","TPST1"
"19","SCARA3"
"20","LGALS3BP"
"21","IGFBP7"
"22","GDI1"
"23","CAPN5"
"24","FAM3C"
"25","SYT11"
"26","BCAT1"
"27","TMOD1"
"28","CSF1"
"29","HLA-C"
"30","NDRG2"
"31","THBS2"
"32","PSRC1"
"33","ARID5A"
"34","BCL6"
"35","TRIM9"
"36","HLA-E"
"37","ABHD12"
"38","TBK1"
"39","SPTBN1"
"40","PAM"
"41","CLIC4"
"42","TNFRSF1A"
"43","PCNP"
"44","XPOT"
"45","SPARCL1"
"46","PNMA1"
"47","GFAP"
"48","SERPINE2"
"49","NDRG4"
"50","COMT"
"51","MLC1"
"52","FEZ1"
"53","SMOX"
"54","SORT1"
"55","SLC3A2"
"56","RAB10"
"57","SEPT2"
"58","GAP43"
"59","EIF4H"
"60","QKI"
"61","MAGED2"
"62","SNX3"
"63","ATP6AP1"
"64","LRP1"
"65","PRUNE2"
"66","CTSB"
"67","TPP1"
"68","TAPBP"
"69","LAMP2"
"70","CTSD"
"71","DAG1"
"72","PIGT"
"73","CNDP2"
"74","HNRNPK"
"75","SLC1A3"
"76","HIGD1A"
"77","SERPINA3"
"78","LPL"
"79","NPTX2"
"80","MAP4"
"81","SEMA6A"
"82","ABHD4"
"83","GATM"
"84","DPYSL2"
"85","ELOVL2"
"86","NDST1"
"87","GRIA1"
"88","CTSA"
"89","PTTG1IP"
"90","PLD3"
"91","NR2E1"
"92","SEC61A1"
"93","SUMF2"
"94","SLC44A2"
"95","NUCB1"
"96","VWA5A"
"97","PLTP"
"98","CHPF"
"99","ATP6AP2"
"100","B2M"
"101","PVRL2"
"102","TSPAN3"
"103","TUBB2A"
"104","ADAM9"
"105","NCL"
"106","SERINC1"
"107","LAPTM4A"
"108","SPARC"
"109","TAGLN2"
"110","GNL1"
"111","ALDH6A1"
"112","HTRA1"
"113","CNN3"
"114","PMP2"
"115","NRSN2"
"116","IL1RAP"
"117","TSPAN7"
"118","ELN"
"119","DPY19L1"
"120","FHL1"
"121","HLA-B"
"122","ADORA1"
"123","PTPRZ1"
"124","SEMA5A"
"125","ZFYVE21"
"126","CD44"
"127","F3"
"128","GOLM1"
"129","TMBIM4"
"130","SURF4"
"131","CRIP2"
"132","STARD7"
"133","FIBIN"
"134","ITM2B"
"135","CHID1"
"136","MAF1"
"137","MAT2A"
"138","MATN2"
"139","CDK16"
"140","CANX"
"141","TMEM176B"
"142","SLC20A2"
"143","UBE2H"
"144","CRKL"
"145","PTP4A1"
"146","STAT3"
"147","PDPN"
"148","LMO2"
"149","CBR1"
"150","ABHD2"
"151","LMNA"
"152","ARL6IP1"
"153","CNP"
"154","NDFIP1"
"155","TMBIM1"
"156","SHISA5"
"157","PPP1R15A"
"158","PPP2R1A"
"159","PPP5C"
"160","HEY1"
"161","YIPF3"
"162","ACHE"
"163","KEAP1"
"164","P4HB"
"165","SLC25A18"
"166","FGF1"
"167","P4HTM"
"168","GNB1"
"169","SEPW1"
"170","PYGB"
"171","SEZ6L2"
"172","ANXA5"
"173","STAT1"
"174","CALR"
"175","LLPH"
"176","SQSTM1"
"177","MAPK1"
"178","ZYX"
"179","PALM2"
"180","TMEM30A"
"181","ADCK3"
"182","SEC23B"
"183","TTYH1"
"184","ACTB"
"185","CLPTM1"
"186","POR"
"187","RNF180"
"188","LRP10"
"189","CDC42EP1"
"190","PCMTD2"
"191","NRCAM"
"192","MTCH1"
"193","FTO"
"194","KLC1"
"195","CASC4"
"196","PMP22"
"197","AK3"
"198","FJX1"
"199","DNAJB9"
"200","PINK1"
"201","CAPRIN1"
"202","CD59"
"203","ASCC2"
"204","RNH1"
"205","SDF4"
"206","AP1S2"
"207","SIRT2"
"208","CCND3"
"209","CAPN2"
"210","CD81"
"211","TAP1"
"212","YTHDF1"
"213","NCSTN"
"214","NEDD9"
"215","ACAA1"
"216","SDHA"
"217","CUX1"
"218","STK40"
"219","AGPAT5"
"220","SLC1A2"
"221","PDLIM5"
"222","CDS2"
"223","GMFB"
"224","EFNA1"
"225","RBM42"
"226","MLEC"
"227","LRIG1"
"228","C21orf62"
"229","SEPP1"
"230","USP11"
"231","ARNT2"
"232","PTPRF"
"233","RNF141"
"234","SLC6A9"
"235","SCARB2"
"236","PRKACB"
"237","VTA1"
"238","MEST"
"239","PCMT1"
"240","TMED9"
"241","BSG"
"242","RAB5C"
"243","GEM"
"244","PTDSS2"
"245","RUVBL2"
"246","ELOVL5"
"247","RALY"
"248","NLGN3"
"249","EGFR"
"250","DYNC1LI2"
"251","IL6ST"
"252","SLC44A1"
"253","NAMPT"
"254","TRO"
"255","ZHX1"
"256","RAMP1"
"257","ECHDC1"
"258","HSP90AB1"
"259","C6orf1"
"260","CD99L2"
"261","LRPAP1"
"262","CLSTN1"
"263","PLSCR1"
"264","RHBDD2"
"265","MOXD1"
"266","RAB8A"
"267","PTPRA"
"268","TMEM59L"
"269","PRMT1"
"270","BGN"
"271","STK17A"
"272","APEX1"
"273","FILIP1L"
"274","GLIPR2"
"275","IDS"
"276","RNF185"
"277","RAB31"
"278","GLG1"
"279","C1R"
"280","USP5"
"281","AAMP"
"282","MTHFD1"
"283","CYP51A1"
"284","TRPC4AP"
"285","ARC"
"286","MAOB"
"287","ACTN1"
"288","SLC2A8"
"289","MAFF"
"290","TMX1"
"291","BST2"
"292","PEPD"
"293","NOSIP"
"294","RGS6"
"295","PPP2CB"
"296","JUNB"
"297","SGTA"
"298","TMEM5"
"299","WDR13"
"300","ACLY"
"301","UBA1"
"302","RSPRY1"
"303","CARKD"
"304","FNTA"
"305","EPDR1"
"306","EIF4G2"
"307","ADAR"
"308","AP2M1"
"309","SGCE"
"310","HEPACAM"
"311","SDC2"
"312","ENDOD1"
"313","SAFB2"
"314","TECR"
"315","CAP2"
"316","MCC"
"317","RPN2"
"318","RDH11"
"319","MANBAL"
"320","HERPUD2"
"321","ENOPH1"
"322","HOPX"
"323","SAE1"
"324","DYNC1H1"
"325","PLS3"
"326","POLR2E"
"327","PEX10"
"328","GNA12"
"329","ACER3"
"330","CHPT1"
"331","CHL1"
"332","SUPT5H"
"333","ATF3"
"334","GNG12"
"335","DEGS1"
"336","ATXN10"
"337","ERP29"
"338","SERPINB6"
"339","CRAT"
"340","DNAJB1"
"341","DDAH1"
"342","AZIN1"
"343","SARS"
"344","PDIA6"
"345","TMEM176A"
"346","SFRP4"
"347","ARID5B"
"348","PCSK5"
"349","MID1"
"350","SEPT8"
"351","GNAO1"
"352","SLC6A1"
"353","RAB6A"
"354","KCTD5"
"355","VAT1"
"356","PRKAR1A"
"357","CHST10"
"358","CPNE2"
"359","CALM1"
"360","CSRP1"
"361","RHOJ"
"362","KDELR1"
"363","SGK1"
"364","MED16"
"365","ASPH"
"366","DST"
"367","MAPK8IP1"
"368","SV2A"
"369","CST3"
"370","MAGED1"
"371","HNRNPC"
"372","POLDIP2"
"373","PSMF1"
"374","RHOB"
"375","SYNE1"
"376","NAPA"
"377","KLHDC3"
"378","STAU1"
"379","EEF2"
"380","MCCC1"
"381","VAPB"
"382","SLC12A4"
"383","CD276"
"384","HGS"
"385","LMBRD1"
"386","G3BP1"
"387","TMED10"
"388","CASP3"
"389","ATP6V1B2"
"390","SYPL1"
"391","RGL1"
"392","TXNDC15"
"393","SLC25A23"
"394","ERGIC3"
"395","CLIC1"
"396","DUSP1"
"397","MBOAT7"
"398","RAB1B"
"399","AARS"
"400","MBOAT2"
"401","TM7SF2"
"402","GIPC1"
"403","PON2"
"404","SSR1"
"405","AKIRIN2"
"406","PJA2"
"407","HRH1"
"408","LMAN2"
"409","C16orf45"
"410","GCC1"
"411","RNF187"
"412","SCRN1"
"413","SSFA2"
"414","EZR"
"415","SCAMP4"
"416","PLEKHB1"
"417","TNIK"
"418","CHMP1A"
"419","FARSA"
"420","SLC39A3"
"421","EFEMP2"
"422","LRRC8A"
"423","PEBP1"
