"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048193","BP","GO:0048193","Golgi vesicle transport","111/2324","294/18870",2.61755198119582e-29,1.57183996470809e-25,1.29031536083579e-25,"SPTBN1/SORT1/RAB10/SNX3/TAPBP/P4HB/SEC23B/TMED9/RAB8A/RAB31/RAB6A/KDELR1/NAPA/VAPB/TMED10/ERGIC3/RAB1B/LMAN2/KDELR2/VTI1B/COPG1/TBC1D20/COPE/COPA/GOLPH3/NRBP1/RAB34/ERGIC1/ATP9A/SYS1/SORL1/TEX261/AP3D1/TMED7/YKT6/GOLGA7/PRKD1/ARFRP1/VAMP5/TMEM115/TRAPPC11/BCAP29/YIPF4/PITPNB/MYO5A/BCAP31/COPB2/VPS52/LMAN1/RAB6B/ARCN1/NSF/YIF1B/LMAN2L/EXOC4/SCAP/TRAPPC3/VAMP3/SCYL1/TMED5/VAPA/TMED4/ARFGAP2/COG1/ATP2C1/UVRAG/CSNK1D/RNF139/ARFGAP3/EXOC1/TRAPPC5/SCFD1/STX17/RAB8B/COG6/CCDC22/AP2A1/GOLGA5/TRAPPC6B/GABARAPL2/PEF1/VCP/ERGIC2/RER1/LYPLA1/SAR1B/SCAMP1/EXOC5/BBS2/TRIP11/GCC2/RAB1A/YIPF6/COPZ1/USE1/YIPF5/COG8/CLN3/TMED2/RABEP1/ARF3/VAMP2/PREB/SEC23A/NAPG/BLZF1/TMED1/SLC10A7/WIPI1/SEC13/RAB14",111
"GO:0007033","BP","GO:0007033","vacuole organization","83/2324","232/18870",1.78188917722782e-20,4.19266451517375e-17,3.44173678505783e-17,"FEZ1/ATP6AP1/TPP1/CTSD/ATP6AP2/PINK1/SCARB2/RAB1B/CHMP1A/ARL8B/VPS4A/TOM1/TFE3/RAB34/ATP6V0A1/LAMTOR1/STX12/TMEM165/SRPX/ATP2A2/LAPTM4B/ATG9A/RAB5A/SPNS1/MAP1LC3A/NSFL1C/PSEN1/HEXA/PI4KB/GRN/MOAP1/UBQLN2/VPS35/RAB7A/CHMP7/RAB3GAP2/MTM1/PPT1/SNX7/ABCA1/FLCN/BECN1/TMEM9/ATG2B/WDR45/TMEM175/SCFD1/CHMP5/ATG4B/ARFIP2/ATF2/CCDC115/STX17/NDP/MAP1LC3B/SNX18/VPS11/GABARAPL2/DNAJC16/CLN8/NUPR1/CREG1/CHMP2A/ATP6V1A/CHMP4A/GAA/AKTIP/PLA2G5/RAB1A/GABARAPL1/TMEM106B/RB1CC1/CLN3/ATG4C/MCOLN1/CHMP6/ATP6V1D/MFSD8/RALB/ATG3/WIPI1/ATG7/RAB14",83
"GO:0016236","BP","GO:0016236","macroautophagy","104/2324","331/18870",2.09458676861303e-20,4.19266451517375e-17,3.44173678505783e-17,"TBK1/FEZ1/LAMP2/CTSD/CALR/SQSTM1/PINK1/VTA1/SUPT5H/CALM1/POLDIP2/HGS/CASP3/ATP6V1B2/RAB1B/CHMP1A/ARL8B/VPS4A/NBR1/TOM1/VTI1B/DDRGK1/ATP6V0A1/STX12/CDC37/ATP2A2/HSPB8/ATG9A/RAB5A/VPS39/MAP1LC3A/MTMR14/NSFL1C/PSEN1/HDAC6/EXOC7/HIF1A/MOAP1/SNX5/ATP6V0D1/TSG101/CAPN1/SLC25A4/UBQLN2/VPS35/CRY1/RAB7A/CHMP7/EXOC4/RAB3GAP2/MTM1/RHEB/PAFAH1B2/SNX7/UVRAG/BECN1/ATG2B/NEDD4/WDR45/RIPK2/EXOC1/SCFD1/CHMP5/ATG4B/ARFIP2/TEX264/STX17/MAP1LC3B/SNX6/VPS13D/PIM2/SNX18/GABARAPL2/PRKACA/DNAJC16/VCP/NUPR1/CHMP2A/ATP6V1A/BNIP3L/SPTLC2/CHMP4A/GAA/PEX2/RAB1A/GABARAPL1/QSOX1/RB1CC1/HUWE1/CLN3/ATG4C/MCOLN1/CHMP6/SESN1/ATP6V1D/MAPK3/MFSD8/WDR24/RALB/UBA5/ATG3/GNAI3/WIPI1/ATG7",104
"GO:0006888","BP","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","53/2324","132/18870",5.0974376564617e-16,6.28349864663091e-13,5.15809179406154e-13,"P4HB/SEC23B/TMED9/KDELR1/VAPB/TMED10/ERGIC3/RAB1B/LMAN2/KDELR2/COPG1/TBC1D20/COPE/COPA/NRBP1/ERGIC1/SORL1/TEX261/TMED7/YKT6/TRAPPC11/BCAP29/YIPF4/BCAP31/COPB2/LMAN1/ARCN1/YIF1B/LMAN2L/SCAP/TRAPPC3/TMED5/VAPA/TMED4/CSNK1D/RNF139/TRAPPC5/SCFD1/STX17/TRAPPC6B/PEF1/VCP/ERGIC2/SAR1B/TRIP11/RAB1A/YIPF6/YIPF5/TMED2/PREB/SEC23A/TMED1/SEC13",53
"GO:0016050","BP","GO:0016050","vesicle organization","102/2324","366/18870",5.23188896472183e-16,6.28349864663091e-13,5.15809179406154e-13,"SYT11/SERPINE2/SORT1/SNX3/ATP6AP1/ATP6AP2/SQSTM1/SEC23B/AP1S2/SCARB2/VTA1/TMED9/RAB8A/AP2M1/VAPB/HGS/TMED10/ATP6V1B2/CHMP1A/ARL8B/VPS4A/TOM1/VTI1B/TBC1D20/GOLPH3/RAB34/ATP6V0A1/LAMTOR1/STX12/SRPX/CLCN3/AP1M1/LAPTM4B/WASL/LYST/AP3D1/VPS39/TRAPPC11/UBAP1/ATP6V0D1/TSG101/YIPF4/SNAP47/RAB7A/CHMP7/SDC4/APOE/AKT2/SCAP/TRAPPC3/VAMP3/CAV1/STX7/VAPA/ARFGAP2/SDCBP/ABCA1/UVRAG/CSNK1D/TMEM9/ARFGAP3/F2R/TMEM175/TRAPPC5/SNX19/CHMP5/STX17/PLEKHF2/RAB8B/PLEKHA3/AGFG1/PAFAH1B1/TRAPPC6B/STX10/IST1/VPS11/PEF1/VPS13B/STX16/CHMP2A/RAB22A/ANXA1/SAR1B/ATP6V1A/PI4K2B/CHMP4A/AKTIP/PLA2G5/RAB1A/VAV3/YIPF5/CLN3/CHMP6/TMED2/ATP6V1D/VAMP2/PREB/STX3/SEC23A/USP8/SEC13/RAB14",102
"GO:0022411","BP","GO:0022411","cellular component disassembly","124/2324","497/18870",3.98877554627412e-15,3.99209952589601e-12,3.27709401459679e-12,"TMOD1/SPTBN1/LRP1/LAMP2/MAP4/SEMA5A/PDPN/SQSTM1/KLC1/PINK1/ASCC2/NEDD9/VTA1/PEX10/MID1/CALM1/ASPH/CST3/NAPA/CHMP1A/MAPRE2/ARF6/FLOT1/CX3CL1/VPS4A/HSPA8/TOM1/AKAP8L/PBXIP1/DDRGK1/GSN/BLCAP/HSF1/DNASE2/SPTAN1/GSPT1/CDC37/ATP2A2/FIS1/STMN3/NEK6/ATG9A/MAP1LC3A/LAMC1/DSTN/WDR1/FZD5/CAPZA2/HDAC6/HIF1A/PLIN3/ADD1/TSG101/PRKCA/SLC25A4/GRWD1/EPS8/SH3GL1/TWF2/WNK1/NSF/CHMP7/DFFA/SHARPIN/RDX/SNX7/UVRAG/BECN1/PNPLA2/SWAP70/CAPZA1/TSPO/ATG2B/WDR45/DUSP3/APEH/KAT5/CHMP5/ATG4B/ARFIP2/TEX264/STX17/MAP1LC3B/VPS13D/HMGA1/PAFAH1B1/IST1/GABARAPL2/PPP1CA/VCP/CAPG/ADAM10/MAP1S/EIF5A/CHMP2A/ADAM15/MUL1/BNIP3L/OGFOD1/CHMP4A/PEX2/NES/CKAP5/GABARAPL1/RB1CC1/HUWE1/KIF5B/CLN3/MCOLN1/CHMP6/TWF1/DICER1/PEX12/UPF1/SLC25A46/TTBK2/MFSD8/SPTBN4/UBA5/MYC/CDK5RAP3/ATG3/WIPI1/ATG7",124
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","98/2324","364/18870",2.15758429085547e-14,1.85089909522673e-11,1.51939356903401e-11,"TIMP3/CLU/GFAP/SERPINE2/SNX3/LRP1/CTSA/ADAM9/NDFIP1/KEAP1/RNF180/PINK1/SIRT2/CD81/EGFR/HSP90AB1/RNF185/USP5/CYP51A1/SGTA/GNA12/AZIN1/CST3/PSMF1/HGS/GIPC1/EZR/RGMA/DDRGK1/MSN/PSMD3/PSMC4/LAPTM4B/OAZ2/SORL1/TIMP2/HSPBP1/PSME3/PSEN1/PSMD2/VGLL4/FZR1/BCAP31/RNF19A/RNF14/UBQLN2/VPS35/PIN1/PSMD1/RAB7A/NSF/ARAF/PKD1/APOE/CAV1/TNFSF12/RDX/FAF1/ZDHHC2/MTM1/RELA/CSNK1D/ARIH2/TMEM9/NEDD4/ALAD/PSMC6/TRIB2/USP9X/FMN2/ANKIB1/PSME1/FOXO1/VPS11/GABARAPL2/PRKACA/VCP/NUPR1/CSNK1A1/NUB1/CSNK2A1/RAD23A/GPX1/CUL4A/PITHD1/USP19/TRIB1/BAG5/PSMC2/NFE2L2/CHMP6/CAMLG/MFSD8/OAZ1/FLNA/CDK5RAP3/USP8/ATG7",98
"GO:0006605","BP","GO:0006605","protein targeting","93/2324","339/18870",2.93993348938467e-14,2.20678757546937e-11,1.81154059615637e-11,"CLU/GDI1/SORT1/LAMP2/SEC61A1/ADORA1/ARL6IP1/SQSTM1/MTCH1/PINK1/SCARB2/SGTA/SAE1/PEX10/HGS/GIPC1/SSR1/VPS4A/TOMM40/SPCS2/HSPA8/SSR3/ZDHHC7/HOMER3/ZDHHC9/CDC37/FIS1/HSPA5/SEC63/PEX16/YWHAB/SORL1/AP3D1/GOLGA7/FZD5/TRAM1/M6PR/NLGN1/PEX3/UBL4A/BCAP31/VPS52/LMAN1/RAB7A/YIF1B/ZDHHC24/AKT2/VPS53/YWHAE/ZDHHC2/YWHAQ/SDCBP/SRP9/BECN1/ARIH2/GNPTG/TSPO/NEDD4/ICMT/KIF13B/USP9X/AIP/ITGB1BP1/RAB8B/NDP/SRPRB/UBE2J2/BID/NCOA4/VPS13D/VPS11/MON1A/LONP2/SGTB/LEPROT/SNX16/BNIP3L/PMPCB/CHMP4A/PEX2/GCC2/SRP54/SYNJ2BP/HUWE1/CHCHD4/PEX12/SIL1/SEC61G/AGK/ATG3/PMPCA/MTCH2/HRAS",93
"GO:0072659","BP","GO:0072659","protein localization to plasma membrane","83/2324","290/18870",5.68197742512821e-14,3.79114160421054e-11,3.11212868793864e-11,"SPTBN1/TNFRSF1A/RAB10/ATP6AP1/LRP1/TMBIM1/SQSTM1/ACTB/CD81/BSG/EGFR/RAMP1/RAB8A/RAB31/AP2M1/EZR/TNIK/ARF6/FLOT1/VPS4A/CDH2/VTI1B/GOLPH3/RAB34/ZDHHC7/SYS1/SORBS1/PGRMC1/SORL1/TMEM59/PIP5K1A/GOLGA7/BCL2L1/ARFRP1/VAMP5/LGALS3/ANK2/GBP1/MYO5A/EHD2/VPS35/RAMP2/WNK1/RAB7A/NSF/AKT2/GORASP2/PTPN9/VAMP3/ARL6IP5/STX7/RDX/ZDHHC2/IKBKB/CLTC/ATP2C1/GORASP1/NUMB/ITGB1BP1/EHD1/RAB8B/PPP2R5A/APPL1/RER1/EFR3B/LYPLA1/MYL12A/EXOC5/BBS2/STAC/DPP6/ATP2B4/KIF5B/CLN3/ATP1B3/TMED2/VAMP2/STX3/SEC23A/FLNA/SPTBN4/BLZF1/RHOG",83
"GO:0043161","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","113/2324","458/18870",1.52522801062271e-13,9.15899420378938e-11,7.51857134078543e-11,"CLU/TRIM9/PCNP/CANX/UBE2H/KEAP1/CALR/RNF180/DNAJB9/ASCC2/SIRT2/HSP90AB1/RHBDD2/RNF185/USP5/TRPC4AP/PPP2CB/SGTA/PEX10/GNA12/KCTD5/PSMF1/KLHDC3/GIPC1/AKIRIN2/PJA2/RNF187/CTNNB1/TRIM2/DDRGK1/RHOBTB3/MAEA/FEM1A/PSMD13/PSMD3/TMEM129/PSMC4/HSPA5/RNF4/MAN1B1/HSPBP1/NSFL1C/APPBP2/JKAMP/PSEN1/PSMD2/TNFAIP1/ADRM1/SEL1L/FZR1/BCAP31/FBXO17/RNF19A/RNF14/UBXN4/UBQLN2/PSMD1/RNF10/UBE2G1/ARAF/KLHDC2/DCAF13/FBXW11/CAV1/PSMB5/SHARPIN/FAF1/FOXRED2/PSMD4/MTM1/DCAF12/UBE2W/CSNK1D/ARIH2/RBCK1/CUL1/PSMC6/UBE2A/TRIB2/SH3BGRL/USP9X/ERLEC1/KAT5/CCDC47/RNF216/RFFL/UBE2J2/UBE2J1/ANKIB1/PSMD8/PPP2R5C/VCP/SPOP/CSNK1A1/NUB1/RAD23A/FEM1C/FAM8A1/CUL4A/USP19/TRIB1/BAG5/PSMC2/TRIP12/FAF2/NFE2L2/PEX12/CAMLG/ANAPC13/ANAPC5/WWTR1/CRBN/ANKRD9",113
