"","gene1","gene2","correlation","pvalue"
"1","PRNP","1/2-SBSRNA4",0.0204470237203661,0.499887082286052
"2","PRNP","A1BG",-0.0202352470069105,0.50433900759082
"3","PRNP","A1BG-AS1",0.0467566950409288,0.122718978350149
"4","PRNP","A1CF",-0.00976180069585825,0.747397277047691
"5","PRNP","A2LD1",0.0398884055833892,0.187993130759493
"6","PRNP","A2M",0.026518608981308,0.381537392059369
"7","PRNP","A2ML1",0.0426060723658117,0.159630236134687
"8","PRNP","A2MP1",-0.0252156757012078,0.405375874790567
"9","PRNP","A4GALT",-0.00840063494975132,0.781655555494918
"10","PRNP","A4GNT",0.00984364052752096,0.745352546704347
"11","PRNP","AA06",NA,NA
"12","PRNP","AAA1",0.0332533449244687,0.272461334979323
"13","PRNP","AAAS",0.0232238398116616,0.443489402478348
"14","PRNP","AACS",0.00125225991541654,0.967044689167081
"15","PRNP","AACSP1",-0.0272923073729102,0.367797223531035
"16","PRNP","AADAC",-0.0365443036406513,0.227783535282877
"17","PRNP","AADACL2",-0.0254779105509653,0.400507881910762
"18","PRNP","AADACL3",-0.0262779551382606,0.385874508857286
"19","PRNP","AADACL4",-0.0262779551382606,0.385874508857286
"20","PRNP","AADAT",0.017177192082927,0.570877904832211
"21","PRNP","AAGAB",0.0893536877630179,0.00313780431565215
"22","PRNP","AAK1",-0.025723775179963,0.395975791601375
"23","PRNP","AAMP",0.182704102124342,1.20866902734178e-09
"24","PRNP","AANAT",0.00569164931107461,0.851046892395819
"25","PRNP","AARS",0.165497711407462,3.83847051470636e-08
"26","PRNP","AARS2",0.0626903088526449,0.0384203326319318
"27","PRNP","AARSD1",0.0453431392470092,0.134458326957202
"28","PRNP","AASDH",-0.0231897762764547,0.444158500173731
"29","PRNP","AASDHPPT",0.047254223374566,0.11878283822456
"30","PRNP","AASS",0.124015366768235,4.00080373021065e-05
"31","PRNP","AATF",0.122510728162899,4.96607345029752e-05
"32","PRNP","AATK",0.0313190653560407,0.301348709013057
"33","PRNP","AATK-AS1",NA,NA
"34","PRNP","ABAT",0.10755484417854,0.000372520421556303
"35","PRNP","ABCA1",0.0989347942313545,0.00106740724804427
"36","PRNP","ABCA10",0.0283698685703696,0.34918093382129
"37","PRNP","ABCA11P",0.00784455955748454,0.795777963884248
"38","PRNP","ABCA12",-0.00454751357407766,0.880737572366666
"39","PRNP","ABCA13",-0.0356173954847959,0.239803844807021
"40","PRNP","ABCA17P",-0.0125916711650121,0.677815264548725
"41","PRNP","ABCA2",0.118555538602295,8.66268816731932e-05
"42","PRNP","ABCA3",0.15849917854664,1.42054093907296e-07
"43","PRNP","ABCA4",-0.0213423716329231,0.481297766049415
"44","PRNP","ABCA5",-0.069156238597954,0.0223499508876996
"45","PRNP","ABCA6",0.00322610948826342,0.915235278908731
"46","PRNP","ABCA7",0.010444528280651,0.730395319252735
"47","PRNP","ABCA8",-0.0697169585328636,0.0212825539025489
"48","PRNP","ABCA9",-0.00484675058234176,0.872954338372776
