"","gene1","gene2","correlation","pvalue","status"
"1","PRNP","OS9",0.421223069568486,3.70627173996131e-48,"Positive correlation"
"2","PRNP","BAALC",0.388175594015146,1.48372042667623e-40,"Positive correlation"
"3","PRNP","CTDSP2",0.376307448163346,4.98241489933051e-38,"Positive correlation"
"4","PRNP","DKK3",0.372509067359051,3.04825002763841e-37,"Positive correlation"
"5","PRNP","CPE",0.345597798663375,5.80362321940053e-32,"Positive correlation"
"6","PRNP","GPRC5B",0.340768811352307,4.55132972671674e-31,"Positive correlation"
"7","PRNP","GLUL",0.339618951885792,7.39268235920627e-31,"Positive correlation"
"8","PRNP","PSAP",0.338603053366787,1.13288400865432e-30,"Positive correlation"
"9","PRNP","GNS",0.337440695284863,1.84267337562718e-30,"Positive correlation"
"10","PRNP","APLP2",0.332394083254088,1.48684029797877e-29,"Positive correlation"
"11","PRNP","GPM6B",0.327903894316722,9.22486370951378e-29,"Positive correlation"
"12","PRNP","ITM2C",0.324816655699306,3.17925203539287e-28,"Positive correlation"
"13","PRNP","HLA-A",0.322720802954344,7.30463971783616e-28,"Positive correlation"
"14","PRNP","TIMP3",0.322179509541917,9.04570638307309e-28,"Positive correlation"
"15","PRNP","CLU",0.321995297575688,9.72737590804892e-28,"Positive correlation"
"16","PRNP","SRGAP1",0.318601502313963,3.67619459062812e-27,"Positive correlation"
"17","PRNP","LANCL2",0.31438615823987,1.87196137285386e-26,"Positive correlation"
"18","PRNP","BASP1",0.313323192286236,2.81038077123511e-26,"Positive correlation"
"19","PRNP","GNAI2",0.307843112912843,2.22433414441268e-25,"Positive correlation"
"20","PRNP","WLS",0.307674020451946,2.36930638112336e-25,"Positive correlation"
"21","PRNP","TNFRSF21",0.302984075273316,1.34291472899911e-24,"Positive correlation"
"22","PRNP","MEG3",0.30238420546743,1.67273493791189e-24,"Positive correlation"
"23","PRNP","KLHDC8A",0.3013641596978,2.42717216462181e-24,"Positive correlation"
"24","PRNP","CNR1",0.298221210294954,7.5717874687335e-24,"Positive correlation"
"25","PRNP","TPST1",0.298150144418976,7.76783677249736e-24,"Positive correlation"
"26","PRNP","SCARA3",0.296598003982246,1.35517491557819e-23,"Positive correlation"
"27","PRNP","LGALS3BP",0.293903242467491,3.53269371298045e-23,"Positive correlation"
"28","PRNP","IFI16",0.292934984903553,4.97204146125905e-23,"Positive correlation"
"29","PRNP","DYRK2",0.2889767083055,1.98327959047332e-22,"Positive correlation"
"30","PRNP","IGFBP7",0.288967327099626,1.98974159182272e-22,"Positive correlation"
"31","PRNP","TSPAN31",0.288333265220068,2.47832343237618e-22,"Positive correlation"
"32","PRNP","GDI1",0.287385240788723,3.43783668130996e-22,"Positive correlation"
"33","PRNP","CAPN5",0.286495471491061,4.66858806669735e-22,"Positive correlation"
"34","PRNP","SLC22A17",0.286137808001798,5.27805000382789e-22,"Positive correlation"
"35","PRNP","SNN",0.285098714749842,7.53095981328881e-22,"Positive correlation"
"36","PRNP","FAM3C",0.283600613476323,1.25394880233598e-21,"Positive correlation"
