"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"A2M","PRNP_positive_cells",0.581081691322653,1.77083029607542,1.18974860475277,0.0473920774499349,1,"A2M"
"AAMP","PRNP_positive_cells",0.302390259278886,1.44896303642086,1.14657277714198,1.15772690288877e-17,1.25960687034299e-14,"AAMP"
"AARS2","PRNP_positive_cells",0.278362571713403,0.447105269116684,0.16874269740328,7.8299755512979e-07,0.000851901339981212,"AARS2"
"AATF","PRNP_positive_cells",0.309666927758966,0.640650318710217,0.330983390951251,2.85435328812861e-12,3.10553637748392e-09,"AATF"
"ABCA3","PRNP_positive_cells",0.335283174206242,0.699343805611034,0.364060631404792,1.48537938584266e-11,1.61609277179681e-08,"ABCA3"
"ABCB7","PRNP_positive_cells",0.269323684733825,0.619279818961583,0.349956134227757,4.06186912209662e-14,4.41931360484112e-11,"ABCB7"
"ABHD12","PRNP_positive_cells",0.559108624652483,1.07775213753521,0.518643512882724,2.26405297375418e-21,2.46328963544455e-18,"ABHD12"
"ABHD2","PRNP_positive_cells",0.514084096823283,1.22018763670745,0.706103539884164,4.09212706840141e-20,4.45223425042073e-17,"ABHD2"
"ABHD4","PRNP_positive_cells",0.899086839779581,1.37431218415562,0.475225344376034,3.18597843811953e-24,3.46634454067405e-21,"ABHD4"
"ABL1","PRNP_positive_cells",0.303586527069746,0.641339905422056,0.33775337835231,6.51105799172989e-12,7.08403109500212e-09,"ABL1"
"ACAA1","PRNP_positive_cells",0.367828150873261,1.46340346387247,1.09557531299921,4.60703425544619e-20,5.01245326992545e-17,"ACAA1"
"ACAD9","PRNP_positive_cells",0.274875639372252,0.94490765032988,0.670032010957628,1.49972280155488e-12,1.63169840809171e-09,"ACAD9"
"ACER3","PRNP_positive_cells",0.333787499745319,0.687075393991421,0.353287894246103,1.85117847253971e-15,2.01408217812321e-12,"ACER3"
"ACHE","PRNP_positive_cells",0.465301351811558,0.854380864600278,0.38907951278872,8.56972159405806e-20,9.32385709433517e-17,"ACHE"
"ACLY","PRNP_positive_cells",0.315606523602858,1.13887193012002,0.823265406517165,7.69306746687136e-16,8.37005740395604e-13,"ACLY"
"ACTB","PRNP_positive_cells",0.419096196424797,6.98605177386335,6.56695557743856,4.03587622793763e-19,4.39103333599614e-16,"ACTB"
"ACTN1","PRNP_positive_cells",0.711109949738819,2.21792837555671,1.50681842581789,2.4864216790637e-27,2.7052267868213e-24,"ACTN1"
"ACTN4","PRNP_positive_cells",0.327747694465587,1.13691671475664,0.809169020291054,9.7053738084832e-22,1.05594467036297e-18,"ACTN4"
"ADAM9","PRNP_positive_cells",0.612856507819689,1.4453258612003,0.832469353380612,1.5440541961752e-27,1.67993096543861e-24,"ADAM9"
"ADCK2","PRNP_positive_cells",0.343088409512761,0.586924194520932,0.243835785008171,2.79361376891911e-09,3.039451780584e-06,"ADCK2"
"ADCK3","PRNP_positive_cells",0.470362103586954,0.742050978936479,0.271688875349525,4.78665759528454e-13,5.20788346366958e-10,"ADCK3"
"ADCK4","PRNP_positive_cells",0.327451353232313,0.590689500421437,0.263238147189124,3.38192239113357e-14,3.67953156155332e-11,"ADCK4"
"ADCYAP1R1","PRNP_positive_cells",0.526419645629503,1.61948600115578,1.09306635552628,1.09164439204801e-10,1.18770909854824e-07,"ADCYAP1R1"
"ADD1","PRNP_positive_cells",0.258920252349183,1.39726253918418,1.138342286835,4.56690087603789e-15,4.96878815312922e-12,"ADD1"
"ADIPOR1","PRNP_positive_cells",0.278865133355229,1.64410419451245,1.36523906115722,2.78806584791783e-14,3.0334156425346e-11,"ADIPOR1"
"ADORA1","PRNP_positive_cells",0.404029197501638,0.685551975943185,0.281522778441547,2.37694051716802e-23,2.5861112826788e-20,"ADORA1"
"AGAP2","PRNP_positive_cells",0.273046077216212,0.417712658191298,0.144666580975085,5.23262043389969e-09,5.69309103208286e-06,"AGAP2"
"AGFG2","PRNP_positive_cells",0.368816237409449,0.593495750039264,0.224679512629815,2.49235967772639e-18,2.71168732936631e-15,"AGFG2"
"AGPAT5","PRNP_positive_cells",0.336551599833756,1.23622605116881,0.899674451335059,6.10003438581823e-22,6.63683741177024e-19,"AGPAT5"
"AGPAT6","PRNP_positive_cells",0.532165649131071,0.844980364541326,0.312814715410255,2.17591429087472e-12,2.3673947484717e-09,"AGPAT6"
"AHCYL2","PRNP_positive_cells",0.348603012900312,0.927719858970853,0.579116846070541,7.84481690429781e-17,8.53516079187602e-14,"AHCYL2"
"AIF1L","PRNP_positive_cells",0.278603343654856,1.45023965425472,1.17163631059986,0.000142464801273698,0.155001703785783,"AIF1L"
"AKAP1","PRNP_positive_cells",0.357315892717982,0.493407160454084,0.136091267736102,3.42140966670506e-09,3.7224937173751e-06,"AKAP1"
"AKAP12","PRNP_positive_cells",0.585223078199297,1.87918814390985,1.29396506571055,1.15811017976574e-07,0.000126002387558513,"AKAP12"
"AKAP8L","PRNP_positive_cells",0.330199485936326,0.863843305044233,0.533643819107906,4.85847725653412e-17,5.28602325510912e-14,"AKAP8L"
"AKIRIN2","PRNP_positive_cells",0.302705876124807,1.09736672953035,0.794660853405539,4.20382023234542e-22,4.57375641279182e-19,"AKIRIN2"
"ALDH4A1","PRNP_positive_cells",0.397585573973546,0.810675384178751,0.413089810205204,4.807165359365e-09,5.23019591098912e-06,"ALDH4A1"
"ALDH6A1","PRNP_positive_cells",0.632633428042971,1.18572888490098,0.553095456858009,1.01224178469209e-21,1.101319061745e-18,"ALDH6A1"
"ALDOA","PRNP_positive_cells",0.308233740573947,4.61925657856769,4.31102283799374,1.99316624137894e-09,2.16856487062029e-06,"ALDOA"
"ALG3","PRNP_positive_cells",0.267333767219671,0.987365638426233,0.720031871206562,2.77815278682793e-12,3.02263023206879e-09,"ALG3"
"ALKBH4","PRNP_positive_cells",0.392929458058384,0.724293918005302,0.331364459946918,4.05063382120295e-19,4.40708959746881e-16,"ALKBH4"
"ANGPTL4","PRNP_positive_cells",0.394450769759361,1.11816773029634,0.723716960536979,0.000275025431161809,0.299227669104048,"ANGPTL4"
"ANXA5","PRNP_positive_cells",0.382268503184331,3.6409167766903,3.25864827350597,1.8895271932271e-19,2.05580558623109e-16,"ANXA5"
"AP1M1","PRNP_positive_cells",0.29984027965346,1.31261865276423,1.01277837311077,9.08513971102707e-15,9.88463200559746e-12,"AP1M1"
"AP1S2","PRNP_positive_cells",0.4640385584311,1.29466655255975,0.830627994128647,1.26413740102817e-27,1.37538149231864e-24,"AP1S2"
"AP2M1","PRNP_positive_cells",0.267220616030805,2.37806165989302,2.11084104386222,6.27056984299058e-14,6.82237998917375e-11,"AP2M1"
"AP3D1","PRNP_positive_cells",0.473881162888919,1.32813504269919,0.854253879810272,2.59838054873848e-23,2.82703803702747e-20,"AP3D1"
"APBA2","PRNP_positive_cells",0.55256811925273,1.25728506343222,0.704716944179486,3.70743846743763e-18,4.03369305257214e-15,"APBA2"
"APBB1","PRNP_positive_cells",0.272346448543592,0.806172250098558,0.533825801554966,6.34574672406501e-12,6.90417243578273e-09,"APBB1"
"APEH","PRNP_positive_cells",0.309483135515492,1.06178237782437,0.752299242308876,8.37578355222648e-13,9.11285250482241e-10,"APEH"
"APLP1","PRNP_positive_cells",0.620654514762372,1.19579129908669,0.57513678432432,7.61777935043505e-26,8.28814393327333e-23,"APLP1"
"APLP2","PRNP_positive_cells",0.629112892103584,2.44270122274841,1.81358833064483,8.29525504181827e-37,9.02523748549828e-34,"APLP2"
"APOD","PRNP_positive_cells",0.335410099574315,0.429649740914428,0.0942396413401129,1.04597950254047e-07,0.000113802569876403,"APOD"
"APOL4","PRNP_positive_cells",0.505765995744834,0.835955359034043,0.330189363289208,1.27391334823258e-11,1.38601772287705e-08,"APOL4"
"AQP1","PRNP_positive_cells",0.536604317890533,1.02180302753159,0.485198709641057,5.9726685656749e-05,0.0649826339945429,"AQP1"
"ARF6","PRNP_positive_cells",0.276933454242331,0.746266498195363,0.469333043953032,3.12403724675394e-18,3.39895252446829e-15,"ARF6"
"ARFRP1","PRNP_positive_cells",0.32363110076731,0.777182687180577,0.453551586413267,2.5580751410964e-14,2.78318575351288e-11,"ARFRP1"
"ARHGAP26","PRNP_positive_cells",0.260173752771041,0.64264550799419,0.382471755223149,3.33551377673079e-09,3.62903898908309e-06,"ARHGAP26"
"ARHGAP31","PRNP_positive_cells",0.261247596907571,0.65318469516006,0.391937098252488,6.48128941983798e-09,7.05164288878372e-06,"ARHGAP31"
"ARHGEF10","PRNP_positive_cells",0.348998349365678,0.719356307952208,0.37035795858653,6.94422049876993e-12,7.55531190266169e-09,"ARHGEF10"
"ARID5A","PRNP_positive_cells",0.900390478669146,1.33970713529759,0.439316656628446,2.6108198774601e-18,2.84057202667659e-15,"ARID5A"
"ARID5B","PRNP_positive_cells",0.435623363917483,1.64879069146179,1.2131673275443,1.00603927481706e-17,1.09457073100096e-14,"ARID5B"
"ARL6IP1","PRNP_positive_cells",0.337916734117075,3.02972343930312,2.69180670518605,4.2503615282298e-15,4.62439334271402e-12,"ARL6IP1"
"ARMC10","PRNP_positive_cells",0.268441165163316,0.908685417102888,0.640244251939573,9.23910436686108e-14,1.00521455511449e-10,"ARMC10"
"ARMC6","PRNP_positive_cells",0.275840334067265,0.525497422259201,0.249657088191936,8.9529425766948e-12,9.74080152344395e-09,"ARMC6"
"ARNT2","PRNP_positive_cells",0.540944500760724,1.46234193696394,0.921397436203213,1.61084922266558e-22,1.75260395426015e-19,"ARNT2"
"ARPC1B","PRNP_positive_cells",0.305499632170919,1.12556582772323,0.820066195552308,2.47962693248413e-14,2.69783410254274e-11,"ARPC1B"
"ARPC4","PRNP_positive_cells",0.292414175565951,0.81654275487524,0.524128579309288,3.91091128663233e-16,4.25507147985598e-13,"ARPC4"
"ARPC5L","PRNP_positive_cells",0.254056614936689,0.936687580608949,0.68263096567226,2.062483353118e-13,2.24398188819238e-10,"ARPC5L"
"ARRDC4","PRNP_positive_cells",0.483069262232135,1.02924179076526,0.546172528533126,7.95783445209171e-27,8.65812388387578e-24,"ARRDC4"
"ASCC2","PRNP_positive_cells",0.412913475894235,0.822261805186525,0.40934832929229,6.14863168406894e-13,6.68971127226701e-10,"ASCC2"
"ASPH","PRNP_positive_cells",0.383788101588229,1.31306320469418,0.929275103105948,1.2603625929158e-19,1.37127450109239e-16,"ASPH"
"ASRGL1","PRNP_positive_cells",0.39382411203763,0.864739536456934,0.470915424419304,1.86319178739357e-17,2.02715266468421e-14,"ASRGL1"
"ASTN2","PRNP_positive_cells",0.268390585220702,0.48348158195848,0.215090996737777,2.74685060215185e-09,2.98857345514121e-06,"ASTN2"
"ATCAY","PRNP_positive_cells",0.362056019753011,0.493529650803797,0.131473631050786,4.52978258790502e-09,4.92840345564066e-06,"ATCAY"
"ATF3","PRNP_positive_cells",0.454135262757482,2.56246450502354,2.10832924226606,3.49671863952084e-23,3.80442987979867e-20,"ATF3"
"ATF7IP","PRNP_positive_cells",0.385830413176785,1.63235362346222,1.24652321028543,1.85103697982201e-15,2.01392823404634e-12,"ATF7IP"
"ATG9A","PRNP_positive_cells",0.453983751379451,0.856272513901487,0.402288762522036,2.4917212840744e-17,2.71099275707295e-14,"ATG9A"
"ATP11A","PRNP_positive_cells",0.43868764223905,0.729777748252323,0.291090106013273,6.19464046645882e-19,6.7397688275072e-16,"ATP11A"
"ATP13A1","PRNP_positive_cells",0.274226613350841,0.886119989672935,0.611893376322093,7.14477168435574e-15,7.77351159257905e-12,"ATP13A1"
"ATP1A1","PRNP_positive_cells",0.453537382789157,2.01426142625724,1.56072404346809,9.38342350412743e-18,1.02091647724906e-14,"ATP1A1"
"ATP1A2","PRNP_positive_cells",0.327661204452695,1.85493060377376,1.52726939932107,0.28614660215364,1,"ATP1A2"
"ATP6AP1","PRNP_positive_cells",0.390103967685431,1.81952708131035,1.42942311362492,1.24665911709182e-20,1.3563651193959e-17,"ATP6AP1"
"ATP6AP2","PRNP_positive_cells",0.376402539147988,1.9242791506275,1.54787661147952,5.66278881342209e-20,6.16111422900323e-17,"ATP6AP2"
"ATP6V0A1","PRNP_positive_cells",0.25556788346638,0.943324984763586,0.687757101297206,1.87489540170154e-11,2.03988619705128e-08,"ATP6V0A1"
"ATP6V0E2","PRNP_positive_cells",0.498827276454411,2.27292062323164,1.77409334677723,2.31695518973137e-25,2.52084724642773e-22,"ATP6V0E2"
"ATP6V1B2","PRNP_positive_cells",0.294502489521426,1.26072662906072,0.966224139539292,2.81939869790111e-17,3.06750578331641e-14,"ATP6V1B2"
"ATP9A","PRNP_positive_cells",0.326987672300906,0.818398168928214,0.491410496627308,3.73492259642753e-15,4.06359578491315e-12,"ATP9A"
"ATRN","PRNP_positive_cells",0.323615660368084,0.986349120973114,0.66273346060503,1.11770830502885e-15,1.21606663587139e-12,"ATRN"
"AVIL","PRNP_positive_cells",0.686155643362115,1.13753283453851,0.451377191176397,3.61516024476288e-15,3.93329434630201e-12,"AVIL"
"AZGP1","PRNP_positive_cells",0.375208704310872,0.736234445816342,0.361025741505471,8.78525317746263e-11,9.55835545707934e-08,"AZGP1"
"B2M","PRNP_positive_cells",0.284139733935643,4.80953009970334,4.52539036576769,1.65991349992156e-12,1.80598588791466e-09,"B2M"
"B3GALT6","PRNP_positive_cells",0.411962255863515,0.782489302282699,0.370527046419184,3.16658519857827e-15,3.44524469605315e-12,"B3GALT6"
"B3GAT3","PRNP_positive_cells",0.259520177896144,0.892439460742935,0.632919282846791,1.96631788019945e-20,2.139353853657e-17,"B3GAT3"
"B3GNT1","PRNP_positive_cells",0.367683839741458,1.17114912836112,0.803465288619664,2.12751304003799e-19,2.31473418756133e-16,"B3GNT1"
"B3GNT9","PRNP_positive_cells",0.29613443039544,0.468263481500268,0.172129051104827,1.56647776682816e-12,1.70432781030904e-09,"B3GNT9"
"BAALC","PRNP_positive_cells",1.06361915038942,3.27894243158333,2.21532328119391,6.16455188127231e-46,6.70703244682427e-43,"BAALC"
"BASP1","PRNP_positive_cells",0.424658280225334,0.489879528390105,0.0652212481647715,1.12419444572232e-12,1.22312355694588e-09,"BASP1"
"BCAT1","PRNP_positive_cells",0.609744341625744,0.924066052398275,0.314321710772531,1.97656800557647e-15,2.1505059900672e-12,"BCAT1"
"BCL6","PRNP_positive_cells",0.712898789884119,3.62527937707516,2.91238058719104,3.41691138915245e-24,3.71759959139787e-21,"BCL6"
"BGN","PRNP_positive_cells",0.522155791008111,1.36821878038005,0.846062989371939,1.52952164174229e-18,1.66411954621561e-15,"BGN"
"BHLHE40","PRNP_positive_cells",0.296683052283052,1.18152230962558,0.884839257342532,1.45528335679708e-16,1.58334829219522e-13,"BHLHE40"
"BICD1","PRNP_positive_cells",0.265726118017396,0.754731976262897,0.489005858245501,1.20556543349859e-18,1.31165519164647e-15,"BICD1"
"BLCAP","PRNP_positive_cells",0.35574312002886,1.24175885327059,0.886015733241733,9.99120611156113e-18,1.08704322493785e-14,"BLCAP"
"BMP7","PRNP_positive_cells",0.307061583023662,0.979526868907058,0.672465285883396,1.53639038025417e-09,1.67159273371653e-06,"BMP7"
"BOP1","PRNP_positive_cells",0.288861978649533,0.504328874988823,0.21546689633929,2.9725332018331e-14,3.23411612359441e-11,"BOP1"
"BRAT1","PRNP_positive_cells",0.355259892941648,1.20119569389275,0.845935800951101,1.42600040458961e-13,1.5514884401935e-10,"BRAT1"
"BRP44L","PRNP_positive_cells",0.286169520098117,1.28466330187723,0.998493781779111,7.48592595041635e-15,8.14468743405299e-12,"BRP44L"
"BSG","PRNP_positive_cells",0.382996971475352,2.72009235429797,2.33709538282261,2.26672412335624e-14,2.46619584621159e-11,"BSG"
"BST2","PRNP_positive_cells",0.604529331247187,1.42522849482237,0.820699163575178,7.91914673317613e-26,8.61603164569563e-23,"BST2"
"C11orf2","PRNP_positive_cells",0.480325798062969,1.06327871359182,0.582952915528851,9.10453736086229e-20,9.90573664861818e-17,"C11orf2"
"C11orf96","PRNP_positive_cells",0.382912289954632,1.73895554439508,1.35604325444045,1.37284824248975e-17,1.49365888782885e-14,"C11orf96"
"C12orf66","PRNP_positive_cells",0.277150604084328,0.566636322980097,0.289485718895769,5.15318842161666e-09,5.60666900271893e-06,"C12orf66"
"C14orf132","PRNP_positive_cells",0.643332372184857,1.21968253037537,0.576350158190515,9.71799943767023e-20,1.05731833881852e-16,"C14orf132"
"C15orf24","PRNP_positive_cells",0.402880336195011,1.10688126863321,0.704000932438203,1.07825806209554e-27,1.17314477155995e-24,"C15orf24"
"C16orf42","PRNP_positive_cells",0.291122274748895,1.2395973083174,0.948475033568502,7.83262470328252e-19,8.52189567717138e-16,"C16orf42"
"C19orf48","PRNP_positive_cells",0.287396096358036,1.16427872991108,0.876882633553043,3.8620419772886e-11,4.20190167128999e-08,"C19orf48"
"C19orf6","PRNP_positive_cells",0.404464466588472,0.953194421900809,0.548729955312337,1.00010657779967e-22,1.08811595664604e-19,"C19orf6"
"C1R","PRNP_positive_cells",0.278393898632175,2.35385488812096,2.07546098948879,2.58014268661451e-26,2.80719524303658e-23,"C1R"
"C1S","PRNP_positive_cells",0.692692674896377,1.98979709493617,1.29710442003979,1.59894497358577e-19,1.73965213126132e-16,"C1S"
"C1orf216","PRNP_positive_cells",0.320139363444534,0.526377503226784,0.206238139782251,3.16243081042252e-09,3.44072472173971e-06,"C1orf216"
"C20orf194","PRNP_positive_cells",0.348032175274778,0.960823674440995,0.612791499166217,1.22377769668914e-11,1.33147013399778e-08,"C20orf194"
"C21orf62","PRNP_positive_cells",0.397224440503484,1.2686881132449,0.87146367274142,2.25044463905518e-22,2.44848376729204e-19,"C21orf62"
"C2orf18","PRNP_positive_cells",0.37367682378391,1.25467331753607,0.880996493752163,1.87336988521994e-19,2.03822643511929e-16,"C2orf18"
"C3","PRNP_positive_cells",0.729721112342681,2.89815379835855,2.16843268601587,1.07168107055706e-11,1.16598900476609e-08,"C3"
"C6orf1","PRNP_positive_cells",0.437986267225405,1.13159085896046,0.693604591735059,2.09729040367492e-26,2.28185195919831e-23,"C6orf1"
"C6orf120","PRNP_positive_cells",0.259535992009333,0.678626483146683,0.41909049113735,5.27640377775739e-14,5.74072731020004e-11,"C6orf120"
"C6orf89","PRNP_positive_cells",0.32375851763404,1.10866078840416,0.784902270770116,3.73530393359128e-21,4.06401067974731e-18,"C6orf89"
"C7orf42","PRNP_positive_cells",0.360335402005568,1.68787930718523,1.32754390517966,1.72319513733495e-23,1.87483630942042e-20,"C7orf42"
"C7orf49","PRNP_positive_cells",0.272631575544603,1.06053704572715,0.787905470182543,2.40556976577146e-14,2.61725990515935e-11,"C7orf49"
"C7orf50","PRNP_positive_cells",0.416924069061741,1.71736651485125,1.30044244578951,2.40235830561669e-22,2.61376583651096e-19,"C7orf50"
"C8orf33","PRNP_positive_cells",0.269592943143282,1.65271363286327,1.38312068971999,2.23487937111641e-20,2.43154875577465e-17,"C8orf33"
"C8orf46","PRNP_positive_cells",0.340497325791169,1.35802496039995,1.01752763460878,2.14766521762852e-07,0.000233665975677983,"C8orf46"
"C9orf7","PRNP_positive_cells",0.277629600686925,0.569224685637841,0.291595084950916,2.71294811411131e-13,2.9516875481531e-10,"C9orf7"
"CA12","PRNP_positive_cells",0.442622499561971,2.06983234773456,1.62720984817259,1.07739719807756e-07,0.000117220815150839,"CA12"
"CA9","PRNP_positive_cells",0.340766138128162,0.710284869194892,0.36951873106673,0.00172942024598136,1,"CA9"
"CALR","PRNP_positive_cells",0.59527884415352,2.02410482729666,1.42882598314314,1.42633175524432e-20,1.55184894970582e-17,"CALR"
"CAMK1","PRNP_positive_cells",0.349862197064695,0.769711037707946,0.41984884064325,2.0678163908311e-16,2.24978423322423e-13,"CAMK1"
"CAMK2B","PRNP_positive_cells",0.331774246784633,0.467440444897224,0.135666198112591,9.79836351735302e-10,1.06606195068801e-06,"CAMK2B"
"CANX","PRNP_positive_cells",0.367914298658857,2.58453933922463,2.21662504056577,2.02714168763769e-18,2.20553015614981e-15,"CANX"
"CAPN2","PRNP_positive_cells",0.587158455378616,2.40879481352669,1.82163635814807,2.17404119710408e-28,2.36535682244923e-25,"CAPN2"
"CAPN5","PRNP_positive_cells",0.78806860325323,1.10813841993202,0.320069816678786,6.81835039399488e-25,7.41836522866643e-22,"CAPN5"
"CAPZA1","PRNP_positive_cells",0.298295721657234,1.31158617138421,1.01329044972697,7.1535906482382e-12,7.78310662528316e-09,"CAPZA1"
"CARKD","PRNP_positive_cells",0.629931228776847,1.07329687223838,0.443365643461537,1.89342497198353e-20,2.06004636951808e-17,"CARKD"
"CARS","PRNP_positive_cells",0.371113937203994,1.0303448724153,0.659230935211302,1.63748249809047e-12,1.78158095792243e-09,"CARS"
"CAV1","PRNP_positive_cells",0.644044895672278,2.02171074197002,1.37766584629774,9.03088261583352e-15,9.82560028602687e-12,"CAV1"
"CBR1","PRNP_positive_cells",0.391442830607119,2.20633500372196,1.81489217311484,5.25038284963165e-19,5.71241654039924e-16,"CBR1"
"CCDC22","PRNP_positive_cells",0.287493590892006,0.415317430398512,0.127823839506506,4.20032730284272e-08,4.56995610549288e-05,"CCDC22"
"CCHCR1","PRNP_positive_cells",0.294331493871064,0.385144487006288,0.0908129931352239,6.31171743189648e-08,6.86714856590337e-05,"CCHCR1"
