"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0008380","RNA splicing","198/3146","478/18870",1.29327205109753e-38,7.82041609298676e-35,6.8121403617811e-35,"ACIN1/ALYREF/AQR/ATXN7/BCAS2/C1QBP/CASC3/CCNL1/CCNL2/CDC40/CDC5L/CDK13/CELF2/CIRBP/CLK1/CLK3/CLK4/CLNS1A/CRNKL1/CWC15/CWC22/CWC25/CWC27/CWF19L2/DAZAP1/DBR1/DDX1/DDX17/DDX20/DDX23/DDX39A/DDX46/DDX47/DDX5/DHX35/DNAJC17/DYRK1A/ECD/EIF4A3/ENY2/FMR1/FXR1/FXR2/GCFC2/GEMIN2/GEMIN6/GEMIN7/GEMIN8/GRSF1/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3/HNRNPL/HSPA1A/HSPA8/HTATSF1/IK/ILDR2/ISY1/IWS1/KAT2A/KDM1A/KHDRBS1/LARP7/LSM1/LSM10/LSM4/LSM6/LUC7L2/MAGOH/MAGOHB/MBNL2/METTL14/METTL4/MFAP1/MPHOSPH10/NCBP1/NCBP2/NOVA1/NPM1/NUP98/PABPC1/PDCD7/PLRG1/PNN/POLR2A/PPIE/PPIH/PPIL1/PPIL2/PPIL3/PPP1R8/PPP2CA/PPP4R2/PPWD1/PRPF18/PRPF19/PRPF3/PRPF38A/PRPF38B/PRPF39/PRPF40A/PRPF4B/PRPF8/PTBP2/PUS1/PUS7/RBM12/RBM12B/RBM15B/RBM17/RBM22/RBM25/RBM3/RBM41/RBM48/RBM5/RBM7/RBMX/RBMX2/RBMXL1/REST/RNPS1/RNU4ATAC/RPS26/RRAGC/RRP1B/SAP18/SART3/SCAF11/SCNM1/SETX/SF1/SF3A1/SF3A2/SF3B1/SF3B4/SF3B5/SFSWAP/SLC38A2/SLU7/SMU1/SNIP1/SNRNP25/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNW1/SON/SREK1/SRRM2/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF7/SRSF9/SUPT7L/TADA1/TAF12/TAF9/TCERG1/TGS1/THOC3/THOC7/TIA1/TRA2A/TRA2B/TRRAP/TSEN2/TSEN34/TTF2/TXNL4A/U2AF1/U2AF2/UBL5/USP22/WBP11/WBP4/XAB2/ZBTB8OS/ZC3H13/ZCCHC8/ZCRB1/ZMAT2/ZNF638/ZNF830/ZRANB2",198
"2","Upregulated","BP","GO:0000375","RNA splicing, via transesterification reactions","143/3146","336/18870",1.31840402412782e-29,3.98619456695046e-26,3.47225986143979e-26,"ALYREF/AQR/BCAS2/C1QBP/CASC3/CDC40/CDC5L/CDK13/CELF2/CIRBP/CLNS1A/CRNKL1/CWC15/CWC22/CWC25/CWC27/CWF19L2/DAZAP1/DBR1/DDX1/DDX17/DDX20/DDX23/DDX39A/DDX46/DDX5/DHX35/DNAJC17/DYRK1A/EIF4A3/FMR1/FXR1/FXR2/GCFC2/GEMIN2/GEMIN6/GEMIN7/GEMIN8/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HSPA8/HTATSF1/IK/ISY1/KDM1A/KHDRBS1/LARP7/LSM1/LSM4/LSM6/LUC7L2/MAGOH/MAGOHB/METTL14/MFAP1/MPHOSPH10/NCBP1/NCBP2/NOVA1/NPM1/NUP98/PABPC1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PPWD1/PRPF18/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF40A/PRPF4B/PRPF8/PTBP2/RBM15B/RBM17/RBM22/RBM25/RBM3/RBM41/RBM5/RBM7/RBMX/RBMX2/RBMXL1/REST/RNPS1/RNU4ATAC/SAP18/SART3/SCAF11/SCNM1/SETX/SF1/SF3A1/SF3A2/SF3B1/SF3B4/SF3B5/SFSWAP/SLU7/SMU1/SNIP1/SNRNP25/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNW1/SON/SRRM2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF3/SRSF4/SRSF7/SRSF9/TGS1/TIA1/TRA2A/TRA2B/TXNL4A/U2AF1/U2AF2/UBL5/WBP4/XAB2/ZCCHC8/ZCRB1/ZMAT2",143
"3","Upregulated","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","141/3146","332/18870",4.3018083256015e-29,6.50325873622807e-26,5.66480233192367e-26,"ALYREF/AQR/BCAS2/C1QBP/CASC3/CDC40/CDC5L/CDK13/CELF2/CIRBP/CLNS1A/CRNKL1/CWC15/CWC22/CWC25/CWC27/CWF19L2/DAZAP1/DBR1/DDX1/DDX17/DDX20/DDX23/DDX39A/DDX46/DDX5/DHX35/DNAJC17/DYRK1A/EIF4A3/FMR1/FXR1/FXR2/GCFC2/GEMIN2/GEMIN6/GEMIN7/GEMIN8/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HSPA8/HTATSF1/IK/ISY1/KDM1A/KHDRBS1/LARP7/LSM4/LSM6/LUC7L2/MAGOH/MAGOHB/METTL14/MFAP1/NCBP1/NCBP2/NOVA1/NPM1/NUP98/PABPC1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PPWD1/PRPF18/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF40A/PRPF4B/PRPF8/PTBP2/RBM15B/RBM17/RBM22/RBM25/RBM3/RBM41/RBM5/RBM7/RBMX/RBMX2/RBMXL1/REST/RNPS1/RNU4ATAC/SAP18/SART3/SCAF11/SCNM1/SETX/SF1/SF3A1/SF3A2/SF3B1/SF3B4/SF3B5/SFSWAP/SLU7/SMU1/SNIP1/SNRNP25/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNW1/SON/SRRM2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF3/SRSF4/SRSF7/SRSF9/TGS1/TIA1/TRA2A/TRA2B/TXNL4A/U2AF1/U2AF2/UBL5/WBP4/XAB2/ZCCHC8/ZCRB1/ZMAT2",141
"4","Upregulated","BP","GO:0000398","mRNA splicing, via spliceosome","141/3146","332/18870",4.3018083256015e-29,6.50325873622807e-26,5.66480233192367e-26,"ALYREF/AQR/BCAS2/C1QBP/CASC3/CDC40/CDC5L/CDK13/CELF2/CIRBP/CLNS1A/CRNKL1/CWC15/CWC22/CWC25/CWC27/CWF19L2/DAZAP1/DBR1/DDX1/DDX17/DDX20/DDX23/DDX39A/DDX46/DDX5/DHX35/DNAJC17/DYRK1A/EIF4A3/FMR1/FXR1/FXR2/GCFC2/GEMIN2/GEMIN6/GEMIN7/GEMIN8/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HSPA8/HTATSF1/IK/ISY1/KDM1A/KHDRBS1/LARP7/LSM4/LSM6/LUC7L2/MAGOH/MAGOHB/METTL14/MFAP1/NCBP1/NCBP2/NOVA1/NPM1/NUP98/PABPC1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PPWD1/PRPF18/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF40A/PRPF4B/PRPF8/PTBP2/RBM15B/RBM17/RBM22/RBM25/RBM3/RBM41/RBM5/RBM7/RBMX/RBMX2/RBMXL1/REST/RNPS1/RNU4ATAC/SAP18/SART3/SCAF11/SCNM1/SETX/SF1/SF3A1/SF3A2/SF3B1/SF3B4/SF3B5/SFSWAP/SLU7/SMU1/SNIP1/SNRNP25/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNW1/SON/SRRM2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF3/SRSF4/SRSF7/SRSF9/TGS1/TIA1/TRA2A/TRA2B/TXNL4A/U2AF1/U2AF2/UBL5/WBP4/XAB2/ZCCHC8/ZCRB1/ZMAT2",141
"5","Upregulated","BP","GO:0042254","ribosome biogenesis","138/3146","325/18870",1.73630547761496e-28,2.09988784462753e-25,1.82915212841795e-25,"ABCE1/ABT1/BMS1/BRIX1/C1QBP/CUL4B/DDX10/DDX17/DDX27/DDX28/DDX3X/DDX47/DDX52/DIMT1/DNTTIP2/DROSHA/EBNA1BP2/EIF2A/EIF4A3/EIF5B/EIF6/EMG1/ERAL1/ERI3/ESF1/EXOSC10/EXOSC2/EXOSC3/EXOSC7/EXOSC8/EXOSC9/FASTKD2/FCF1/GNL2/GNL3L/GTF2H5/GTF3A/GTPBP10/GTPBP4/IMP3/IMP4/ISG20/ISG20L2/KRR1/LSG1/LSM6/LTV1/LYAR/MALSU1/MDN1/METTL15/METTL5/MPHOSPH10/MPHOSPH6/MRPL20/MRPL44/MYBBP1A/NGDN/NGRN/NHP2/NIP7/NMD3/NOA1/NOL11/NOL9/NOM1/NOP56/NOP58/NPM1/NSA2/NSUN4/NSUN5P1/NUP88/NVL/PA2G4/PAK1IP1/PIN4/POP5/PRKDC/PWP1/RAN/RBFA/RCL1/RIOK2/RIOK3/RPF1/RPF2/RPL10/RPL23A/RPL24/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPLP0/RPS14/RPS15/RPS19/RPS19BP1/RPS23/RPS25/RPS27/RPS27L/RPS28/RPS3A/RPS8/RPS9/RPSA/RRN3/RRP12/RRP15/RRP1B/RSL1D1/SDAD1/SERBP1/SHQ1/SIRT7/SRFBP1/TRMT112/TSR1/TSR2/URB1/USP36/UTP18/UTP23/UTP6/WBP11/WDR43/XPO1/YBEY/YTHDF2/ZCCHC4/ZNF622/ZNHIT3",138
"6","Upregulated","BP","GO:0043484","regulation of RNA splicing","84/3146","181/18870",7.79102084571014e-21,7.85205050900153e-18,6.83969619507606e-18,"ATXN7/C1QBP/CCNL1/CCNL2/CELF2/CIRBP/CLK1/CLK3/CLK4/CLNS1A/CWC22/DAZAP1/DDX17/DDX5/DYRK1A/ENY2/FMR1/FXR1/FXR2/GRSF1/HNRNPA1/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3/HNRNPL/HSPA1A/HSPA8/ILDR2/KAT2A/KHDRBS1/LARP7/MAGOH/MBNL2/METTL4/NCBP1/NOVA1/NPM1/NUP98/POLR2A/PRPF19/PTBP2/RBM12/RBM12B/RBM15B/RBM22/RBM25/RBM3/RBM5/RBM7/RBMX/RBMXL1/REST/RNPS1/RPS26/RRP1B/SAP18/SETX/SF1/SF3B4/SF3B5/SFSWAP/SLC38A2/SMU1/SNW1/SON/SRSF1/SRSF10/SRSF12/SRSF3/SRSF4/SRSF7/SRSF9/SUPT7L/TADA1/TAF12/TAF9/TIA1/TRA2A/TRA2B/TRRAP/U2AF2/USP22/ZNF638",84
"7","Upregulated","BP","GO:0032543","mitochondrial translation","67/3146","130/18870",5.66445948636217e-20,4.89328378771886e-17,4.26239928868516e-17,"C1QBP/CDK5RAP1/DAP3/FASTKD2/GADD45GIP1/GATC/GFM1/LRPPRC/MALSU1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL20/MRPL21/MRPL23/MRPL24/MRPL27/MRPL32/MRPL33/MRPL36/MRPL37/MRPL38/MRPL39/MRPL40/MRPL42/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL50/MRPL53/MRPL54/MRPL55/MRPL9/MRPS10/MRPS11/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18C/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS35/MRPS5/MTG1/NDUFA7/NGRN/PTCD3/RMND1/RPUSD3/SHMT2/TRUB2/TUFM",67
"8","Upregulated","BP","GO:0072594","establishment of protein localization to organelle","154/3146","459/18870",3.23045108780113e-19,2.24643795133047e-16,1.95680772692117e-16,"ABLIM3/AGK/AIFM1/AKT1/AP3M1/AP4M1/APPL1/ARIH2/ATF2/ATG14/BAG3/BAG6/BCAP31/BCL3/BECN1/BNIP3L/CCT3/CCT4/CCT5/CD68/CHCHD4/CHMP4B/CRY2/CSE1L/DDIT3/DMAP1/E2F3/EIF4ENIF1/ELAVL1/EP300/FAM53C/FBXO7/FZD5/GDAP1/GET4/GLI3/GNPTG/GRPEL2/GSK3A/HACL1/HAX1/HK2/HPS4/HSPA4/HSPA8/HSPD1/IL33/IMMP2L/IPO5/IPO8/KPNA3/KPNB1/LEPROT/LONP2/MAPT/MAVS/MDFIC/MED1/MTCH2/MTX1/MTX2/NAGPA/NF1/NFKBIA/NIPBL/NPEPPS/NUP107/NUP133/NUP214/NUP35/NUP50/NUP54/NUP85/NUP88/NUP98/PDCD5/PEX13/PEX14/PEX19/PEX2/PEX6/PHB2/PIK3C3/PITRM1/PKIG/PMPCA/PMPCB/PPP3CA/PRKAA1/PTPN23/PXK/RAB11A/RAB3GAP1/RAB7A/RAB8B/RALA/RAN/RANBP2/RANGRF/RBM22/ROMO1/RPL23/SAMM50/SEC13/SEC61B/SH3GLB1/SMAD3/SPG11/SRP19/SRP72/STK3/STK4/TCP1/TERF1/TIMM10/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM44/TIMM9/TNFAIP3/TOMM20/TOMM22/TOMM34/TOMM5/TOMM6/TOMM7/TP53/TRIM28/TRIM37/TSG101/UBE2D3/UBE2L3/UBL5/UFM1/USP36/USP9X/VPS13C/VPS13D/VPS25/VPS28/VPS37A/VPS37B/VPS41/VPS8/WASH3P/WRAP53/ZC3H12A/ZDHHC15/ZFAND2A/ZFYVE16/ZNF827",154
"9","Upregulated","BP","GO:0002181","cytoplasmic translation","74/3146","156/18870",3.34346643988329e-19,2.24643795133047e-16,1.95680772692117e-16,"CSDE1/DENR/DRG1/EIF2AK4/EIF3A/EIF3D/EIF3E/EIF3F/EIF3H/EIF3L/ETF1/FMR1/FTSJ1/IMPACT/MCTS1/NCBP1/NCBP2/NCK1/NEMF/PABPC1/PAIP1/RPL10/RPL12/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26L1/RPL27/RPL27A/RPL3/RPL30/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL37A/RPL38/RPL39/RPL41/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP1/RPLP2/RPS14/RPS15/RPS19/RPS23/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3A/RPS8/RPS9/RPSA/RWDD1/SH3BGRL/SLBP/UNK/YTHDF2/ZC3H15/ZNF385A",74
"10","Upregulated","BP","GO:0006913","nucleocytoplasmic transport","120/3146","330/18870",2.70995256632324e-18,1.48973483350515e-15,1.29766532458196e-15,"AAAS/ABCE1/AHCTF1/AKT1/ALYREF/ANP32A/ANP32B/APPL1/ATF2/BACH2/BAG3/BARD1/BCL3/CASC3/CDK5/CDKN1B/CRY2/CSE1L/CTDSPL2/DDX19B/DDX39A/DMAP1/E2F3/EIF4A3/EIF4E/EIF4ENIF1/EIF6/ELAVL1/ENY2/EP300/FAM53C/FMR1/FYTTD1/GAS6/GLE1/GLI3/GSK3B/HNRNPA1/IL33/IPO5/IPO8/IWS1/KHDRBS1/KPNA3/KPNB1/LSG1/LTV1/MAGOH/MAGOHB/MAVS/MDFIC/MDN1/MED1/NCBP1/NCBP2/NEMF/NF1/NFKBIA/NMD3/NPM1/NUP107/NUP133/NUP160/NUP205/NUP214/NUP35/NUP37/NUP50/NUP54/NUP85/NUP88/NUP98/NXF1/NXT1/NXT2/PABPN1/PARK7/PCID2/PHAX/PHB2/PKIG/PPP1CC/PPP3CA/PTPN11/RAE1/RAN/RANBP1/RANBP2/RANBP3L/RANGRF/RBM15B/RBM22/RIOK2/RPL23/RPS15/SARNP/SDAD1/SEC13/SETD2/SIRT7/SMAD3/SMG1/SMG7/SPG11/SRSF3/STK3/STK4/STRADA/STRADB/THOC3/THOC7/TP53/TRIM28/TXN/UFM1/UPF2/XPO1/YWHAE/ZC3H11A/ZC3H12A",120
"11","Upregulated","BP","GO:0051169","nuclear transport","120/3146","330/18870",2.70995256632324e-18,1.48973483350515e-15,1.29766532458196e-15,"AAAS/ABCE1/AHCTF1/AKT1/ALYREF/ANP32A/ANP32B/APPL1/ATF2/BACH2/BAG3/BARD1/BCL3/CASC3/CDK5/CDKN1B/CRY2/CSE1L/CTDSPL2/DDX19B/DDX39A/DMAP1/E2F3/EIF4A3/EIF4E/EIF4ENIF1/EIF6/ELAVL1/ENY2/EP300/FAM53C/FMR1/FYTTD1/GAS6/GLE1/GLI3/GSK3B/HNRNPA1/IL33/IPO5/IPO8/IWS1/KHDRBS1/KPNA3/KPNB1/LSG1/LTV1/MAGOH/MAGOHB/MAVS/MDFIC/MDN1/MED1/NCBP1/NCBP2/NEMF/NF1/NFKBIA/NMD3/NPM1/NUP107/NUP133/NUP160/NUP205/NUP214/NUP35/NUP37/NUP50/NUP54/NUP85/NUP88/NUP98/NXF1/NXT1/NXT2/PABPN1/PARK7/PCID2/PHAX/PHB2/PKIG/PPP1CC/PPP3CA/PTPN11/RAE1/RAN/RANBP1/RANBP2/RANBP3L/RANGRF/RBM15B/RBM22/RIOK2/RPL23/RPS15/SARNP/SDAD1/SEC13/SETD2/SIRT7/SMAD3/SMG1/SMG7/SPG11/SRSF3/STK3/STK4/STRADA/STRADB/THOC3/THOC7/TP53/TRIM28/TXN/UFM1/UPF2/XPO1/YWHAE/ZC3H11A/ZC3H12A",120
"12","Upregulated","BP","GO:0140053","mitochondrial gene expression","74/3146","163/18870",7.53494942801309e-18,3.79698659926626e-15,3.30744622261206e-15,"C1QBP/CDK5RAP1/DAP3/FASTKD2/FASTKD5/GADD45GIP1/GATC/GFM1/LRPPRC/MALSU1/METTL4/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL20/MRPL21/MRPL23/MRPL24/MRPL27/MRPL32/MRPL33/MRPL36/MRPL37/MRPL38/MRPL39/MRPL40/MRPL42/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL50/MRPL53/MRPL54/MRPL55/MRPL9/MRPS10/MRPS11/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18C/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS35/MRPS5/MTG1/NDUFA7/NGRN/PRKAA1/PTCD3/PUS1/RMND1/RPUSD3/SHMT2/TEFM/THAP11/TRNT1/TRUB2/TUFM",74
"13","Upregulated","BP","GO:0006364","rRNA processing","91/3146","225/18870",1.46505969398376e-17,6.81478151501523e-15,5.93616089772853e-15,"ABT1/BMS1/BRIX1/DDX10/DDX17/DDX27/DDX47/DDX52/DIMT1/DROSHA/EBNA1BP2/EIF4A3/EIF6/EMG1/ERI3/ESF1/EXOSC10/EXOSC2/EXOSC3/EXOSC7/EXOSC8/EXOSC9/FCF1/GTF2H5/GTPBP4/IMP3/IMP4/ISG20/KRR1/LSM6/LYAR/METTL15/METTL5/MPHOSPH10/MPHOSPH6/MRPL44/NGDN/NHP2/NOL11/NOL9/NOP56/NOP58/NSA2/NSUN4/NSUN5P1/NVL/PA2G4/PIN4/POP5/PRKDC/PWP1/RBFA/RCL1/RIOK2/RIOK3/RPF1/RPF2/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPS14/RPS15/RPS19/RPS25/RPS27/RPS28/RPS8/RRP12/RRP15/RRP1B/RSL1D1/SHQ1/SIRT7/SRFBP1/TRMT112/TSR1/TSR2/URB1/USP36/UTP18/UTP23/UTP6/WBP11/WDR43/YBEY/YTHDF2/ZCCHC4/ZNHIT3",91
