"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050840","MF","GO:0050840","extracellular matrix binding",22,0.759092083370673,1.77985212489649,0.000100361300682457,0.00823747082508228,0.00719619070078759,630,"tags=55%, list=12%, signal=48%","SPP1/THBS1/SPARC/LGALS3/ADAM9/BGN/SPARCL1/ACHE/ELN/DAG1/ITGAV/GPC1"
"GO:0050771","BP","GO:0050771","negative regulation of axonogenesis",20,0.760723079600952,1.76367135302976,0.000100573267625465,0.00823747082508228,0.00719619070078759,917,"tags=65%, list=17%, signal=54%","MBP/SPP1/GDI1/SEMA6A/SEMA4B/NRP1/LRP4/THY1/SEMA5A/SEMA5B/SEMA3A/HDAC6/PSEN1"
"GO:0002367","BP","GO:0002367","cytokine production involved in immune response",28,0.727435432554454,1.74083915420679,0.000100120144173008,0.00823747082508228,0.00719619070078759,532,"tags=36%, list=10%, signal=32%","HLA-E/ARID5A/HLA-A/GPRC5B/BCL6/BST2/CD81/HK1/TRIL/SPHK2"
"GO:0002718","BP","GO:0002718","regulation of cytokine production involved in immune response",28,0.727435432554454,1.74083915420679,0.000100120144173008,0.00823747082508228,0.00719619070078759,532,"tags=36%, list=10%, signal=32%","HLA-E/ARID5A/HLA-A/GPRC5B/BCL6/BST2/CD81/HK1/TRIL/SPHK2"
"GO:0006959","BP","GO:0006959","humoral immune response",31,0.710241467840612,1.71494893622269,0.000100060036021613,0.00823747082508228,0.00719619070078759,320,"tags=39%, list=6%, signal=37%","HLA-E/CLU/HLA-A/CXCL14/C3/C1S/SERPING1/TNFRSF21/A2M/NOTCH2/CD81/CD59"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix",118,0.649392592774184,1.70315922552887,9.99900009999e-05,0.00823747082508228,0.00719619070078759,771,"tags=48%, list=15%, signal=42%","IGFBP7/PSAP/THBS1/SERPINA3/COL1A2/CTSB/CLU/SERPINE2/TIMP3/CTSD/SRPX/SPARC/F3/LGALS3BP/THBS2/LGALS3/ICAM1/SERPING1/LTBP1/APLP1/MATN2/CALR/FBLN1/A2M/LTBP3/BGN/SDC2/SPARCL1/NPNT/PLOD3/ACHE/LAMB2/HTRA1/ELN/PCOLCE/COL4A2/DAG1/LAMC1/EFEMP2/SDC3/SERPINB6/ANGPTL4/SERPINH1/POSTN/ANXA5/AZGP1/DST/MMP2/NCAM1/GPC1/LOX/COL8A1/PTPRZ1/CRELD1/F12/BMP7/COL16A1"
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding",57,0.667406735070005,1.68411472881756,9.99900009999e-05,0.00823747082508228,0.00719619070078759,921,"tags=51%, list=17%, signal=42%","PRNP/GNS/LPL/THBS1/CD44/SERPINE2/FGF1/NCAN/THBS2/PTPRF/APLP2/APLP1/BGN/FGFR1/LRPAP1/PCOLCE/EFEMP2/HK1/POSTN/NRP1/HBEGF/HYAL2/SEMA5A/BMP7/AAMP/ZNF146/SULF2/FGFRL1/NAV2"
"GO:0030312","CC","GO:0030312","external encapsulating structure",138,0.634675493907034,1.67563707245084,9.99900009999e-05,0.00823747082508228,0.00719619070078759,1363,"tags=61%, list=26%, signal=46%","IGFBP7/PSAP/THBS1/SERPINA3/COL1A2/CTSB/LRIG1/CLU/SERPINE2/TIMP3/CTSD/SRPX/CHI3L1/SPARC/F3/FGF1/LGALS3BP/THBS2/LGALS3/ICAM1/SERPING1/LTBP1/APLP1/MATN2/CALR/FBLN1/A2M/LTBP3/BGN/SDC2/SPARCL1/NPNT/PLOD3/ACHE/LAMB2/HTRA1/ELN/PCOLCE/COL4A2/DAG1/LAMC1/EFEMP2/SDC3/TRIL/SERPINB6/ANGPTL4/SERPINH1/POSTN/ANXA5/AZGP1/DST/MMP2/NCAM1/GPC1/LOX/COL8A1/PTPRZ1/CRELD1/F12/BMP7/COL16A1/TNC/NAV2/LRRN2/COL28A1/SULF1/LAMB1/FN1/EMILIN1/EFEMP1/ABI3BP/COLQ/LMAN1/COLEC12/NDP/CDH13/ANXA2/SPOCK2/CD151/LAMA5/GPC4/TGFB1I1/GLG1/PLSCR1"
"GO:0031012","CC","GO:0031012","extracellular matrix",138,0.634675493907034,1.67563707245084,9.99900009999e-05,0.00823747082508228,0.00719619070078759,1363,"tags=61%, list=26%, signal=46%","IGFBP7/PSAP/THBS1/SERPINA3/COL1A2/CTSB/LRIG1/CLU/SERPINE2/TIMP3/CTSD/SRPX/CHI3L1/SPARC/F3/FGF1/LGALS3BP/THBS2/LGALS3/ICAM1/SERPING1/LTBP1/APLP1/MATN2/CALR/FBLN1/A2M/LTBP3/BGN/SDC2/SPARCL1/NPNT/PLOD3/ACHE/LAMB2/HTRA1/ELN/PCOLCE/COL4A2/DAG1/LAMC1/EFEMP2/SDC3/TRIL/SERPINB6/ANGPTL4/SERPINH1/POSTN/ANXA5/AZGP1/DST/MMP2/NCAM1/GPC1/LOX/COL8A1/PTPRZ1/CRELD1/F12/BMP7/COL16A1/TNC/NAV2/LRRN2/COL28A1/SULF1/LAMB1/FN1/EMILIN1/EFEMP1/ABI3BP/COLQ/LMAN1/COLEC12/NDP/CDH13/ANXA2/SPOCK2/CD151/LAMA5/GPC4/TGFB1I1/GLG1/PLSCR1"
"GO:0010977","BP","GO:0010977","negative regulation of neuron projection development",55,0.649571464572406,1.63525976501008,9.99900009999e-05,0.00823747082508228,0.00719619070078759,917,"tags=49%, list=17%, signal=41%","MBP/SPP1/GFAP/ITM2C/GDI1/SPOCK1/EFNA1/SEMA6A/DENND5A/CRMP1/SEMA4B/TSKU/PMP22/LPAR1/NRP1/VIM/RGMA/LRP4/FLNA/THY1/SEMA5A/SEMA5B/SEMA3A/B2M/HDAC6/ARF6/PSEN1"
