"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0048193","Golgi vesicle transport","139/4446","294/18870",3.12620554638046e-19,1.96450756534548e-15,1.5176905242007e-15,"AP1AR/AP1G1/AP1G2/AP2A1/AP3D1/ARFGAP2/ARFGAP3/ARFGEF2/ARFRP1/ATP9A/ATP9B/BBS1/BBS2/BCAP29/BET1L/BLZF1/CCDC22/CNST/COG1/COG4/COG5/COG6/COG7/COPA/COPB2/COPG1/COPG2/COPZ1/COPZ2/CREB3L2/CSK/CSNK1D/CYTH3/DNM2/EHD3/EPS15/ERGIC1/ERGIC3/EXOC1/EXOC2/EXOC4/EXOC8/GAK/GAS1/GBF1/GCC2/GGA1/GGA2/GGA3/GOLGA7/GOLPH3/GOLPH3L/GOPC/HYOU1/KDELR1/KDELR2/KIF13A/KIF1C/KLHL20/LAMP1/LLGL1/LMAN1/LMAN2/LMAN2L/LYPLA1/MYO5A/NAPA/NAPG/OPTN/OSBPL5/P4HB/PEF1/PGAP1/PICK1/PITPNB/PREB/PREPL/PRKD1/RAB10/RAB13/RAB1B/RAB31/RAB34/RAB6A/RAB6B/RAB8A/RABEP1/RER1/RNF139/SCAMP1/SCAP/SCFD1/SCYL1/SEC22C/SEC23B/SEC24C/SGSM2/SNX1/SNX12/SNX3/SORL1/SORT1/SPAST/SPTBN1/STX17/STX6/SYS1/TAPBP/TBC1D20/TEX261/TMED1/TMED10/TMED4/TMED5/TMED7/TMED9/TMEM115/TRAPPC11/TRAPPC12/TRAPPC2/TRAPPC3/TRAPPC4/TRAPPC5/TRAPPC6A/USE1/UVRAG/VAMP3/VAMP5/VAPB/VPS13A/VPS52/VPS54/VTI1B/WIPI1/YIF1B/YIPF4/YIPF5/YKT6/ZW10",139
"2","Upregulated","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","191/4446","458/18870",2.62736557149637e-18,8.25518262564158e-15,6.37758421881118e-15,"ADRM1/AKIRIN2/AMBRA1/AMFR/ANAPC1/ANAPC4/ANKIB1/ANKRD9/APC/APPBP2/ARAF/ARIH1/ASCC2/ATXN3/AXIN1/BAG5/BFAR/CALR/CANX/CAV1/CBFA2T3/CDC16/CDC34/CLU/CSNK1D/CSNK1E/CTNNB1/CUL1/CUL4A/DCAF11/DCAF13/DDRGK1/DNAJB2/DNAJB9/DTX4/DVL1/EDEM1/EDEM2/ERCC8/ERLEC1/ERLIN1/ERLIN2/FAF1/FAM8A1/FBXL18/FBXL20/FBXL3/FBXL4/FBXL6/FBXO17/FBXO22/FBXO31/FBXO33/FBXO38/FBXO44/FBXO9/FBXW11/FBXW5/FEM1A/FOXRED2/FZR1/GCLC/GIPC1/GNA12/HECTD3/HSP90AB1/HSPA1B/HSPA5/HSPBP1/ITCH/JKAMP/KAT5/KCTD10/KCTD13/KCTD17/KCTD2/KCTD5/KEAP1/KLHDC10/KLHDC2/KLHDC3/KLHL15/KLHL20/MAEA/MAN1B1/MAN1C1/MAP1A/MDM2/MTM1/N4BP1/NAGLU/NEDD4L/NPLOC4/NSFL1C/NUB1/OGT/OS9/PCNP/PEX10/PJA2/PML/PPP2CB/PPP2R5C/PSEN1/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD13/PSMD2/PSMD3/PSMD4/PSMD8/PSMF1/RAD23A/RAD23B/RBCK1/RFFL/RHBDD2/RHOBTB3/RMND5A/RMND5B/RNF10/RNF103/RNF122/RNF126/RNF14/RNF180/RNF185/RNF187/RNF19A/RNF19B/RNF4/SEL1L/SGTA/SHARPIN/SIAH2/SIRT1/SIRT2/SIRT6/SKP2/SMARCC1/SMURF1/SOCS4/SPOP/SPSB1/SPSB2/STUB1/STYX/TAF1/TBL1XR1/TLK2/TMEM129/TMUB1/TNFAIP1/TRIB1/TRIM2/TRIM25/TRIM9/TRIP12/TRPC4AP/UBE2A/UBE2H/UBE2J1/UBE2J2/UBE2K/UBE2W/UBE3A/UBE4A/UBE4B/UBQLN1/UBQLN2/UBQLN4/UBR2/UBXN7/UBXN8/UFL1/USP19/USP38/USP5/VHL/WDR26/WFS1/WWP1/WWP2/WWTR1/ZER1/ZFAND2B/ZNRF1/ZYG11B",191
"3","Upregulated","BP","GO:0010975","regulation of neuron projection development","188/4446","453/18870",8.94418039684419e-18,1.8735076537923e-14,1.44738806983317e-14,"ABL1/ADCY6/ADNP/ANKRD27/AP2A1/ARC/ARF6/ARSB/ATP1B2/AVIL/B2M/BAG5/BAIAP2/BMP7/BMPR2/CAMK1/CAMK2B/CAMK2G/CAMSAP2/CAPRIN1/CARM1/CCDC88A/CDH2/CDH4/CERS2/CFLAR/CHN1/CNR1/COBL/CRK/CRKL/CRMP1/CTNNA2/CUX1/CX3CL1/CYFIP1/DBN1/DCC/DDR1/DDR2/DDX56/DENND5A/DGKG/DHX36/DIP2B/DNM3/DPYSL3/DPYSL5/DTNBP1/DVL1/EEF2K/EFNA1/EFNB2/EHD1/EPHB3/FBXO38/FEZ1/FLNA/FN1/FUT9/FYN/FZD1/GAK/GDI1/GFAP/GORASP1/GRN/HDAC6/IFRD1/IGF1R/INPP5F/ITGA3/ITGA6/ITM2C/KANK1/KAT2B/KATNB1/KIDINS220/KIF13B/KNDC1/LIMK1/LPAR1/LRP4/LRRC4C/LYN/LZTS1/MAP1B/MAP2K1/MAP2K2/MAP3K13/MAP6/MARK2/MBOAT1/MDM2/MEGF8/METRN/MFSD2A/MYLIP/NCKIPSD/NCS1/NDEL1/NDRG4/NEDD4/NEDD4L/NEO1/NIN/NLGN1/NPTN/NR2E1/NR2F1/NRCAM/NRP1/NTN1/NTNG1/NTRK2/NTRK3/PAFAH1B1/PAK2/PDLIM5/PLXNA1/PLXNA4/PLXNB1/PLXNB2/PLXND1/PMP22/POU3F2/PPFIA2/PPP2R5B/PQBP1/PREX1/PRKD1/PSEN1/PTK2B/PTPN9/PTPRF/PTPRG/PTPRO/PUM2/RAB21/RAP2A/RAPGEF1/RAPGEF2/RGMA/RND2/ROBO2/SCARB2/SDC2/SEMA3A/SEMA3B/SEMA4B/SEMA4C/SEMA5A/SEMA5B/SEMA6A/SEMA6D/SEZ6/SHOX2/SIPA1L1/SKIL/SMURF1/SNAP25/SNX3/SPOCK1/SPP1/SRF/SS18L1/STAU2/STK11/STK25/STMN2/SYNE1/TANC2/THY1/TIAM1/TIAM2/TMEM106B/TMEM30A/TNIK/TOX/TRAK1/TSKU/TUBB2B/TWF2/UST/VIM/YTHDF1/YWHAH/ZFYVE27",188
"4","Upregulated","BP","GO:0072659","protein localization to plasma membrane","131/4446","290/18870",3.40835208663052e-16,5.35452112809655e-13,4.13666311145789e-13,"ACTB/ACTN2/AKT2/ANK2/AP2M1/AR/ARF6/ARFRP1/ASB3/ATP2B4/ATP6AP1/BAG4/BBS1/BBS2/BCL2L1/BLZF1/BSG/CACNB2/CCDC88A/CD81/CDH2/CLIP3/CNPY4/CNST/CSK/DCHS1/EFR3A/EFR3B/EGFR/EHD1/EHD2/EHD3/EPHA2/EZR/FCHO2/FLNA/FLOT1/FLOT2/FRMD8/GAK/GBP1/GGA1/GGA2/GGA3/GOLGA7/GOLPH3/GOLPH3L/GORASP1/GORASP2/GPR158/IKBKB/INPP5K/ITGA3/ITGB1/ITGB1BP1/KIF13A/LAMA5/LGALS3/LRP1/LRP6/LYPLA1/MAP7/MMP14/MYL12A/MYO5A/NUMB/OPTN/P2RY1/PACS1/PGRMC1/PICALM/PIK3R1/PIK3R2/PIP5K1A/PLEKHF1/PPP1R9B/PPP2R5A/PREPL/PRKCE/PRNP/PTPN9/RAB10/RAB13/RAB31/RAB34/RAB3D/RAB40C/RAB8A/RAMP1/RAMP2/RAMP3/RAP2A/RAPGEF2/RDX/RER1/RHOG/SCN3B/SCRIB/SIRT6/SLMAP/SMURF1/SORBS1/SORL1/SPTBN1/SPTBN4/SQSTM1/STAC/STX3/STX4/STX7/STXBP1/SYS1/TMBIM1/TMEM150A/TNFRSF1A/TNIK/TSPAN33/TSPAN5/TTC7A/TTC7B/VAMP3/VAMP5/VPS35/VPS4A/VTI1B/WNK1/WNK3/ZDHHC3/ZDHHC7/ZDHHC8/ZFYVE27",131
"5","Upregulated","BP","GO:1990778","protein localization to cell periphery","150/4446","353/18870",1.74854129294102e-15,2.19756669696828e-12,1.69774156695663e-12,"ABCA2/ACTB/ACTN2/ADAM10/AKT2/ANK2/AP2M1/AR/ARF6/ARFRP1/ARL13B/ASB3/ATP2B4/ATP6AP1/BAG4/BBS1/BBS2/BCL2L1/BLZF1/BSG/CACNB2/CAV1/CCDC88A/CD81/CDH2/CLIP3/CLSTN1/CNPY4/CNST/CSK/DAG1/DCHS1/EFR3A/EFR3B/EGFR/EHD1/EHD2/EHD3/EIF4G1/EPB41L2/EPHA2/ERBB2/EZR/FCHO2/FLNA/FLOT1/FLOT2/FRMD8/GAK/GBP1/GGA1/GGA2/GGA3/GOLGA7/GOLPH3/GOLPH3L/GORASP1/GORASP2/GPC4/GPR158/HRAS/IFT80/IKBKB/INPP5K/ITGA3/ITGB1/ITGB1BP1/KIF13A/LAMA5/LGALS3/LRP1/LRP6/LYPLA1/MAP7/MMP14/MYADM/MYL12A/MYO5A/NETO2/NUMA1/NUMB/OGT/OPTN/P2RY1/PACS1/PGRMC1/PICALM/PIK3R1/PIK3R2/PIP5K1A/PLEKHF1/PPP1R9B/PPP2R5A/PREPL/PRKCE/PRNP/PTPN9/RAB10/RAB13/RAB31/RAB34/RAB3D/RAB40C/RAB8A/RABEP1/RAMP1/RAMP2/RAMP3/RAP2A/RAPGEF2/RDX/RER1/RHOG/SCN3B/SCRIB/SIRT6/SLMAP/SMURF1/SNAP25/SORBS1/SORL1/SPTBN1/SPTBN4/SQSTM1/STAC/STX3/STX4/STX7/STXBP1/SYS1/TMBIM1/TMEM150A/TNFRSF1A/TNIK/TSPAN33/TSPAN5/TTC7A/TTC7B/TUB/VAMP3/VAMP5/VPS35/VPS4A/VTI1B/WNK1/WNK3/ZDHHC3/ZDHHC7/ZDHHC8/ZFYVE27",150
"6","Upregulated","BP","GO:0016236","macroautophagy","141/4446","331/18870",9.67647430887702e-15,8.13589622610456e-12,6.28542889121817e-12,"AMBRA1/ARFIP2/ARL8B/ATG13/ATG16L2/ATG2A/ATG2B/ATG4B/ATG4C/ATG7/ATG9A/ATM/ATP2A2/ATP6V0A1/ATP6V0E2/ATP6V1B2/ATP6V1E1/C9orf72/CALM1/CALR/CAPN1/CASP3/CDC37/CERS1/CHMP1A/CHMP3/CHMP4A/CHMP6/CHMP7/CLEC16A/CTSD/DDRGK1/DNAJC16/EFNB1/EHMT2/EXOC1/EXOC4/EXOC8/FEZ1/FEZ2/FYCO1/GAA/GABARAPL1/HDAC6/HGS/HIF1A/HSPB8/HTRA2/HUWE1/IKBKG/LAMP2/LARP1/LGALS8/LIX1/LRSAM1/LZTS1/MAP1LC3A/MAP3K7/MAPK3/MCOLN1/MFN2/MFSD8/MOAP1/MTM1/MTMR14/MTMR3/MTOR/NBR1/NEDD4/NOD1/NSFL1C/NUPR1/OGT/OPTN/PAFAH1B2/PHF23/PIK3CA/PIK3R4/PIM2/PINK1/PIP4K2A/PIP4K2C/PLEKHM1/POLDIP2/PRKACA/PSEN1/QSOX1/RAB1B/RAB23/RAB3GAP2/RAB5A/RALB/RHEB/RIPK2/RNF213/RNF31/SCFD1/SESN1/SESN2/SIRT1/SMURF1/SNF8/SNX18/SNX5/SNX7/SPTLC2/SQSTM1/STAM/STAM2/STX12/STX17/SUPT5H/TBC1D25/TBK1/TCIRG1/TECPR1/TMEM41B/TOM1/TSC1/TSC2/UBA5/UBQLN1/UBQLN2/UBQLN4/UFL1/UVRAG/VHL/VPS16/VPS26B/VPS35/VPS36/VPS37C/VPS39/VPS4A/VTA1/VTI1B/WDFY3/WDR24/WDR45/WIPI1/WIPI2",141
"7","Upregulated","BP","GO:0022411","cellular component disassembly","193/4446","497/18870",1.0291010124184e-14,8.13589622610456e-12,6.28542889121817e-12,"ACTN2/ADAM10/ADAM15/ADD1/ADD2/AKAP8L/AMBRA1/APC/APEH/ARF6/ARFIP2/ARID1A/ASCC2/ASPH/ATG13/ATG2A/ATG2B/ATG4B/ATG7/ATG9A/ATP2A2/AVIL/BAX/BLCAP/C1QL1/C3/CALM1/CAMKK2/CAMSAP2/CAPN10/CAPZA1/CDC37/CDK5RAP3/CERS1/CHMP1A/CHMP3/CHMP4A/CHMP6/CHMP7/CKAP2/CKAP5/CLEC16A/CST3/CTSK/CX3CL1/DCTN1/DDIT4/DDR1/DDR2/DDRGK1/DEDD2/DFFA/DHX8/DICER1/DNAJC6/DNASE2/DSTN/EEF2K/EIF2D/EIF5A/ENDOG/EPS8/EXOC8/FBXL4/FIS1/FKBP8/FLOT1/FURIN/FYCO1/GABARAPL1/GAK/GBF1/GFM2/GRWD1/GSN/GSPT1/HBS1L/HDAC6/HIF1A/HMGA1/HSF1/HSPA2/HTRA2/HUWE1/IGF1R/ITGB1/JMJD4/KAT5/KATNB1/KLC1/LAMC1/LAMP2/LIX1/LRP1/MAP1A/MAP1B/MAP1LC3A/MAP1S/MAP4/MAPRE2/MARK2/MCOLN1/MFN2/MFSD8/MID1/MID1IP1/MMP14/MMP2/MTIF2/MTRF1L/MUL1/MYC/NAPA/NAPB/NCKAP5L/NEDD9/NEK6/NES/OGT/OPTN/PAFAH1B1/PARL/PBXIP1/PDPN/PDXP/PELO/PEX10/PHF23/PIK3CA/PIK3R1/PIK3R4/PINK1/PLIN2/PLIN3/PNPLA2/PPP1CA/PPP1R9B/PRKCA/RDX/RRP7A/SEMA5A/SET/SH3GL1/SHARPIN/SLC25A46/SMARCC1/SMARCD3/SNX7/SPAST/SPTAN1/SPTBN1/SPTBN4/SQSTM1/SREBF1/SREBF2/SSRP1/ST20/STMN2/STMN3/STMN4/STON1/STX17/SUPT16H/SWAP70/TAOK1/TBC1D25/TECPR1/TFIP11/TGFB3/TGFBR1/TMOD1/TMOD2/TMOD3/TOM1/TSC2/TSPO/TTBK2/TWF2/UBA5/UBQLN1/UBQLN4/UFL1/UPF1/UVRAG/VPS16/VPS4A/VPS54/VTA1/WDR1/WDR45/WIPI1/WIPI2/WNK1",193
"8","Upregulated","BP","GO:0007033","vacuole organization","108/4446","232/18870",1.11925340437417e-14,8.13589622610456e-12,6.28542889121817e-12,"ABCA1/ACP2/AKTIP/AMBRA1/ANXA2/AP3B1/ARFIP2/ARL8B/ARSB/ATG13/ATG16L2/ATG2A/ATG2B/ATG4B/ATG4C/ATG7/ATG9A/ATP2A2/ATP6AP1/ATP6AP2/ATP6V0A1/C9orf72/CCDC115/CHMP1A/CHMP3/CHMP4A/CHMP6/CHMP7/CLN8/CTSD/DNAJC16/EFNB1/EHMT2/EXT1/FEZ1/FEZ2/FIG4/FLCN/GAA/GABARAPL1/GNPTAB/GRN/HEXA/HPS1/HSD17B1/LAMTOR1/LRSAM1/MAN2A1/MAP1LC3A/MBTPS1/MCOLN1/MFN2/MFSD8/MOAP1/MTM1/MTMR3/MTOR/NAGLU/NDP/NPR2/NSFL1C/NUPR1/PHF23/PI4KB/PINK1/PIP4K2A/PIP4K2C/PLA2G5/PSEN1/RAB1B/RAB23/RAB34/RAB3GAP2/RAB5A/RALB/SCARB2/SCFD1/SMURF1/SNX18/SNX7/SPNS1/SRPX/STX12/STX17/TCIRG1/TFE3/TFEB/TMEM106B/TMEM165/TMEM175/TMEM199/TMEM41B/TMEM9/TOM1/TPP1/UBQLN1/UBQLN2/VPS11/VPS16/VPS18/VPS33B/VPS35/VPS4A/VPS54/WDR45/WIPI1/WIPI2/ZKSCAN3",108
"9","Upregulated","BP","GO:0007264","small GTPase mediated signal transduction","191/4446","491/18870",1.16523020424795e-14,8.13589622610456e-12,6.28542889121817e-12,"ABCA1/ABL1/ABR/ADCYAP1R1/AKAP13/ARAP1/ARF6/ARFGAP1/ARFGEF1/ARFGEF2/ARFIP2/ARHGAP12/ARHGAP17/ARHGAP21/ARHGAP23/ARHGAP26/ARHGAP31/ARHGAP39/ARHGAP42/ARHGAP5/ARHGEF1/ARHGEF10/ARHGEF10L/ARHGEF12/ARHGEF18/ARHGEF3/ARHGEF4/ARHGEF40/ARHGEF9/AUTS2/BCAR3/BCL6/CBL/CCDC125/CCDC88A/CDC42EP1/CDC42EP3/CDC42EP4/CDC42SE2/CDH13/CDKN1A/CDKN2A/CHM/CHML/CHN1/COL1A2/CRK/CRKL/CSF1/CYFIP1/CYTH2/CYTH3/DBNL/DENND1A/DENND4A/DENND4B/DIRAS3/DLC1/DNAJA3/DNMBP/DOCK3/DOCK4/DOCK7/DOK1/EPS8/F2R/FARP2/FBXO8/FGD1/FGD4/FLCN/FLOT1/G3BP1/G3BP2/GARNL3/GBF1/GDI1/GIT2/GNA12/GNA13/GNB1/GRB2/HEG1/HRAS/ITGA3/ITGAV/ITGB1/ITPKB/KANK1/KCTD10/KCTD13/KNDC1/LIMK1/LPAR1/LZTR1/MADD/MAPKAP1/MAPKAPK5/MAPRE2/MET/MFN2/MRAS/MYO9B/NCKAP1/NISCH/NOTCH1/NOTCH2/NRAS/NRP1/NTN1/NUCB1/NUP62/OGT/PDPN/PIK3CB/PLD2/PLEKHG1/PLK2/PPP2CB/PREX1/PSD2/RAB15/RAB21/RAB35/RAB4A/RABL3/RALB/RALGAPA1/RALGAPA2/RALGDS/RALGPS1/RAP1B/RAP1GAP/RAP2A/RAP2B/RAP2C/RAPGEF1/RAPGEF2/RAPGEF4/RASA3/RASA4/RASGRP1/RASSF1/RDX/RGL1/RGL2/RHEB/RHOB/RHOC/RHOG/RHOJ/RHOT1/RHOT2/RHOU/RIN2/RND1/RND2/RND3/RRAS/RRAS2/RTKN/RUFY1/SCAI/SGSM3/SIAH2/SIPA1/SIPA1L1/SIPA1L3/SOS1/SOS2/SPRY1/SPRY2/SPRY4/SQSTM1/SRGAP2/SRGAP3/SSX2IP/STAMBP/STK19/STMN3/SWAP70/SYDE1/SYNJ2BP/TAX1BP3/TIAM1/TIAM2/TNFAIP1/TRIO/TSC2/VAV2/VAV3",191
"10","Upregulated","BP","GO:0010506","regulation of autophagy","147/4446","355/18870",4.31759942418544e-14,2.71317947815813e-11,2.09608089940455e-11,"ABL1/AMBRA1/ATF6/ATG13/ATG2A/ATM/ATP6V0A1/ATP6V0E2/ATP6V1B2/ATP6V1E1/C9orf72/CAMKK2/CAPN1/CASP3/CDK16/CERS1/CLEC16A/CTSA/DAPK3/EEF1A2/EHMT2/EIF4G1/ENDOG/EXOC1/EXOC4/EXOC8/FEZ1/FEZ2/FKBP8/FLCN/FOXK1/FOXO1/FOXO3/FYCO1/GFAP/GPR137/HDAC6/HERC1/HGF/HIF1A/HSPB8/HTRA2/IFI16/IKBKG/ITPR1/KAT5/KAT8/KEAP1/LARP1/LRSAM1/LZTS1/MAP3K7/MAPK3/MCL1/MET/MFSD8/MID2/MLST8/MOAP1/MTM1/MTMR3/MTOR/NEDD4/NOD1/NPRL2/NPRL3/NUPR1/OPTN/PAFAH1B2/PARL/PHF23/PIK3C2A/PIK3CA/PIK3CB/PIK3R2/PIK3R4/PIM2/PINK1/PIP4K2A/PIP4K2C/PLEKHF1/PLK2/POLDIP2/PRKACA/PRKD1/PSAP/QSOX1/RAB3GAP2/RAB8A/RALB/RHEB/RIPK2/RNF31/RRAGD/SCFD1/SESN1/SESN2/SH3BP4/SIRT1/SIRT2/SLC7A5/SNRNP70/SNX18/SNX5/SNX7/SPTLC2/SQSTM1/SREBF1/SREBF2/STAT3/STK11/SUPT5H/TAB2/TAB3/TBC1D25/TBK1/TECPR1/TFEB/TICAM1/TLK2/TOM1/TPCN1/TRIM21/TRIM22/TRIM23/TRIM27/TRIM5/TRIM65/TRIM68/TRIM8/TSC1/TSC2/TSPO/UBQLN1/UBQLN2/UBQLN4/UFL1/UVRAG/VHL/VPS26B/VPS35/WDR24/WDR45/WDR6/WIPI1/WNK1/ZKSCAN3",147
