"","gene1","gene2","correlation","pvalue","status"
"1","PRNP","PMP22",0.232670451875551,1.26923441414913e-56,"Positive correlation"
"2","PRNP","DSTN",0.216476985401679,4.46397768194567e-49,"Positive correlation"
"3","PRNP","TRAM1",0.200782545667998,2.50961723633586e-42,"Positive correlation"
"4","PRNP","CLU",0.199422436370456,9.09539669493581e-42,"Positive correlation"
"5","PRNP","PRUNE2",0.199284863362136,1.03551963390732e-41,"Positive correlation"
"6","PRNP","TNC",0.197401342959841,6.05730969129044e-41,"Positive correlation"
"7","PRNP","EMP1",0.195701439349614,2.93715717481927e-40,"Positive correlation"
"8","PRNP","SQSTM1",0.192335491006753,6.41048966198526e-39,"Positive correlation"
"9","PRNP","TMEM66",0.18875231647871,1.603594775304e-37,"Positive correlation"
"10","PRNP","TAGLN2",0.18720932385699,6.28911566840622e-37,"Positive correlation"
"11","PRNP","CAPN2",0.186678500062626,1.00362303432952e-36,"Positive correlation"
"12","PRNP","EHD2",0.185787202562993,2.1929012043711e-36,"Positive correlation"
"13","PRNP","AQP4",0.18470375161308,5.64069065738277e-36,"Positive correlation"
"14","PRNP","GNG12",0.184069323226682,9.78177416820473e-36,"Positive correlation"
"15","PRNP","PDLIM4",0.183390698408936,1.75871579204785e-35,"Positive correlation"
"16","PRNP","ALDOA",0.179801033900209,3.77007569064663e-34,"Positive correlation"
"17","PRNP","CD9",0.179476254781589,4.95928700758559e-34,"Positive correlation"
"18","PRNP","TNFRSF12A",0.17914931635356,6.53207344837754e-34,"Positive correlation"
"19","PRNP","PYGB",0.178521086752144,1.10735119589551e-33,"Positive correlation"
"20","PRNP","CNN3",0.178322180197861,1.30824059221172e-33,"Positive correlation"
"21","PRNP","TNFRSF1A",0.177375501545013,2.88480334623565e-33,"Positive correlation"
"22","PRNP","MAP1LC3B",0.175794648342461,1.0698498592527e-32,"Positive correlation"
"23","PRNP","SLC1A3",0.174404096311807,3.35418377794502e-32,"Positive correlation"
"24","PRNP","CLIC4",0.173629459730768,6.31318847617546e-32,"Positive correlation"
"25","PRNP","NAMPT",0.17348463453034,7.10324919456946e-32,"Positive correlation"
"26","PRNP","TMBIM6",0.17300025550515,1.05293574439136e-31,"Positive correlation"
"27","PRNP","ACTN4",0.171119067067214,4.80349584149221e-31,"Positive correlation"
"28","PRNP","CANX",0.170954284168394,5.48197547365532e-31,"Positive correlation"
"29","PRNP","ADAM9",0.170020694805523,1.15593824730263e-30,"Positive correlation"
"30","PRNP","RGS6",0.169102989632655,2.39669772406593e-30,"Positive correlation"
"31","PRNP","SPARC",0.168159248126151,5.0513857499869e-30,"Positive correlation"
"32","PRNP","SLC3A2",0.168104974431338,5.27198690639881e-30,"Positive correlation"
"33","PRNP","CTSL1",0.167791939745807,6.74408143172162e-30,"Positive correlation"
"34","PRNP","VIM",0.167698482237256,7.25792242755199e-30,"Positive correlation"
"35","PRNP","LAMB2",0.167395544875018,9.20562107012596e-30,"Positive correlation"
"36","PRNP","ACTN1",0.167390325074927,9.24336902229562e-30,"Positive correlation"
"37","PRNP","SAT1",0.167320685953952,9.76191360968483e-30,"Positive correlation"
"38","PRNP","SMOX",0.167168860564242,1.09946045952291e-29,"Positive correlation"
"39","PRNP","SYPL1",0.166944597104008,1.31031370873543e-29,"Positive correlation"
"40","PRNP","LPL",0.166308914106351,2.15166940166528e-29,"Positive correlation"
"41","PRNP","CD164",0.1661798176901,2.37911323861139e-29,"Positive correlation"
"42","PRNP","RCAN1",0.164683643343772,7.57890642415308e-29,"Positive correlation"
"43","PRNP","SDCBP",0.163011684524901,2.73098299150234e-28,"Positive correlation"
"44","PRNP","ATP6AP2",0.162127103950655,5.35144707222682e-28,"Positive correlation"
"45","PRNP","MAGT1",0.162091801593355,5.49662837667484e-28,"Positive correlation"
"46","PRNP","GPM6B",0.162014517711155,5.82823360641741e-28,"Positive correlation"
"47","PRNP","EMP3",0.161823603963121,6.73486096431952e-28,"Positive correlation"
"48","PRNP","NDFIP1",0.161595753865656,8.00144034171769e-28,"Positive correlation"
"49","PRNP","ENDOD1",0.16124055141429,1.04621185293382e-27,"Positive correlation"
"50","PRNP","TMED2",0.159113321603287,5.1459376127366e-27,"Positive correlation"
"51","PRNP","REEP5",0.158881086825736,6.11531410837252e-27,"Positive correlation"
"52","PRNP","CD44",0.158307455064739,9.35565239713634e-27,"Positive correlation"
"53","PRNP","PTRF",0.157836586644914,1.32474703830273e-26,"Positive correlation"
"54","PRNP","TIMP3",0.156689733024234,3.0768606074963e-26,"Positive correlation"
"55","PRNP","CAMK2D",0.156152394432516,4.55649026944154e-26,"Positive correlation"
