"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"A1BG","PRNP_positive_cells",0.205502046417946,0.944324178390515,0.738822131972569,8.06696185613277e-06,0.105499727154504,"A1BG"
"A1BG-AS1","PRNP_positive_cells",0.0322719604630424,1.38676590449229,1.35449394402925,3.65190315211225e-06,0.047759589423324,"A1BG-AS1"
"A2M","PRNP_positive_cells",1.18921703767306,5.77189748555457,4.58268044788151,1.00907642845187e-06,0.0131967015312935,"A2M"
"A2ML1","PRNP_positive_cells",0.0537827674295932,0.371544358114655,0.317761590685062,0.904790786197524,1,"A2ML1"
"AAAS","PRNP_negative_cells",0.0633848537726767,5.23388849565544,5.17050364188276,2.94340677585083e-08,0.000384938738145771,"AAAS"
"AACS","PRNP_negative_cells",0.000120213093563581,3.26715020247432,3.26702998938076,2.51495570802165e-07,0.00328905907495071,"AACS"
"AADAT","PRNP_negative_cells",0.525457771405177,3.56539953526092,3.03994176385574,0.621802689452644,1,"AADAT"
"AAGAB","PRNP_positive_cells",0.0670839156219456,4.27722071366192,4.21013679803998,1.12611970914076e-09,1.47273935561429e-05,"AAGAB"
"AAK1","PRNP_negative_cells",0.130977898963633,1.94483430557452,1.81385640661089,0.846797118656029,1,"AAK1"
"AAMDC","PRNP_negative_cells",0.135963942478769,4.80272522250724,4.66676128002847,1.55176230172859e-06,0.0202939473820065,"AAMDC"
"AAMP","PRNP_positive_cells",0.000708875737075232,6.54435827101883,6.54364939528175,1.07463292889429e-07,0.00140540494440795,"AAMP"
"AAR2","PRNP_positive_cells",0.0591980803309191,4.88742167402961,4.82822359369869,3.19801567599003e-11,4.18236490105977e-07,"AAR2"
"AARD","PRNP_negative_cells",0.145213491927691,0.746070857209333,0.600857365281642,0.0675893188944733,1,"AARD"
"AARS","PRNP_positive_cells",0.214962019368325,5.47202932849744,5.25706730912912,1.91784492939246e-13,2.50815759865946e-09,"AARS"
"AARS2","PRNP_negative_cells",0.203386650063677,3.07324930456921,2.86986265450554,0.883269228724241,1,"AARS2"
"AARSD1","PRNP_negative_cells",0.347014331686534,5.25498366581783,4.90796933413129,0.000381834683574873,1,"AARSD1"
"AASDH","PRNP_negative_cells",0.836787360178016,4.45024473474977,3.61345737457175,0.32060568821569,1,"AASDH"
"AASDHPPT","PRNP_negative_cells",0.181205884062846,6.3372799746736,6.15607409061076,8.1879719514668e-06,0.107082297181283,"AASDHPPT"
"AASS","PRNP_negative_cells",0.296344708469838,5.47226121936959,5.17591651089976,0.164128625579929,1,"AASS"
"AATF","PRNP_negative_cells",0.360997127942394,5.79959426793064,5.43859713998825,0.00176651778867664,1,"AATF"
"AATK","PRNP_positive_cells",0.109118716570065,0.501983183379298,0.392864466809234,0.00013772524461917,1,"AATK"
"ABAT","PRNP_negative_cells",0.168325242596843,5.30240236957549,5.13407712697865,0.640225212310394,1,"ABAT"
"ABCA1","PRNP_positive_cells",0.185080825113042,4.34357856711577,4.15849774200273,0.000609213581574702,1,"ABCA1"
"ABCA10","PRNP_positive_cells",0.0310573529351332,0.302603834488858,0.271546481553724,0.0114658243305782,1,"ABCA10"
"ABCA11P","PRNP_negative_cells",0.19424128296887,3.39268419432703,3.19844291135816,3.08811568518013e-06,0.0403863769307858,"ABCA11P"
"ABCA13","PRNP_negative_cells",0.617945874612054,1.19743596240031,0.579490087788261,0.548111633892487,1,"ABCA13"
"ABCA2","PRNP_positive_cells",0.254967317174724,2.07141213045062,1.8164448132759,2.39326436414895e-14,3.129911135434e-10,"ABCA2"
"ABCA3","PRNP_positive_cells",0.121730951782668,2.44513805553077,2.3234071037481,3.0820787880036e-12,4.03074263895111e-08,"ABCA3"
"ABCA5","PRNP_negative_cells",0.396577981475747,2.24319250260272,1.84661452112698,0.178209884812304,1,"ABCA5"
"ABCA8","PRNP_positive_cells",0.317757149445018,2.41610036185167,2.09834321240665,7.57825996899671e-08,0.000991084838745389,"ABCA8"
"ABCA9","PRNP_negative_cells",0.478433122478857,1.53815318131421,1.05972005883535,6.27311319947359e-07,0.00820397744227156,"ABCA9"
"ABCB10","PRNP_negative_cells",0.0811856728943912,1.69366703208953,1.61248135919514,0.00715144175711586,1,"ABCB10"
"ABCB5","PRNP_negative_cells",0.163739013353823,0.68327486639495,0.519535853041128,0.0121101446235592,1,"ABCB5"
"ABCB6","PRNP_negative_cells",0.315154006970443,4.36838111110168,4.05322710413124,0.00170063987520218,1,"ABCB6"
"ABCB7","PRNP_positive_cells",0.0567793661904794,4.37000582401839,4.31322645782791,5.32574751440494e-07,0.00696501259933878,"ABCB7"
"ABCB8","PRNP_negative_cells",0.0617239897572155,2.87042403262312,2.8087000428659,3.31475636400205e-07,0.00433503837284188,"ABCB8"
"ABCB9","PRNP_positive_cells",0.244112053076246,1.61879576092355,1.3746837078473,4.28087160788748e-07,0.00559852388879524,"ABCB9"
"ABCC1","PRNP_negative_cells",0.405683861963847,1.49027695793155,1.08459309596771,0.0187124958706199,1,"ABCC1"
"ABCC10","PRNP_negative_cells",0.392737301484146,2.71510385137574,2.3223665498916,2.28982993084457e-05,0.299463958355853,"ABCC10"
"ABCC13","PRNP_negative_cells",0.0431693223309338,0.135112946036831,0.0919436237058968,0.47955567335999,1,"ABCC13"
"ABCC3","PRNP_positive_cells",0.238375938212773,2.28532331541661,2.04694737720384,8.66386907655517e-15,1.13306079783188e-10,"ABCC3"
"ABCC4","PRNP_positive_cells",0.130958392726112,1.68971401677941,1.5587556240533,5.82832711123989e-08,0.000762228619607953,"ABCC4"
"ABCC5","PRNP_negative_cells",0.372522273942119,4.94530388939292,4.5727816154508,0.507741570552055,1,"ABCC5"
"ABCC8","PRNP_negative_cells",0.148371603324138,1.51393246028549,1.36556085696135,0.802128133750502,1,"ABCC8"
"ABCC9","PRNP_negative_cells",1.08608737624893,5.62894838712797,4.54286101087904,6.74110372307663e-25,8.81601544903962e-21,"ABCC9"
"ABCD2","PRNP_negative_cells",0.32822637125845,2.14842410778617,1.82019773652772,0.00130015260445724,1,"ABCD2"
"ABCD3","PRNP_positive_cells",0.309721673805163,5.85423051766708,5.54450884386192,2.35800919228768e-22,3.08380442167383e-18,"ABCD3"
"ABCD4","PRNP_negative_cells",0.0711476865157912,4.05179414803234,3.98064646151655,7.31634252289276e-05,0.956831275143915,"ABCD4"
"ABCE1","PRNP_positive_cells",0.0266685154804938,5.07661855904931,5.04995004356881,5.80506330520666e-10,7.59186179054926e-06,"ABCE1"
"ABCF1","PRNP_negative_cells",0.119823218559989,4.30532108642038,4.18549786786039,5.624633859621e-07,0.00735589616161235,"ABCF1"
"ABCF2","PRNP_negative_cells",0.236504569096037,5.24113537221442,5.00463080311838,0.000224454142105112,1,"ABCF2"
"ABCF3","PRNP_negative_cells",0.158847434329068,4.36158656194046,4.20273912761139,4.95785534790916e-07,0.0064838832239956,"ABCF3"
"ABCG1","PRNP_negative_cells",0.502145972499005,3.25729901514989,2.75515304265089,0.185228622427184,1,"ABCG1"
