"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009954","BP","GO:0009954","proximal/distal pattern formation",10,0.864104089616348,2.01195464791838,0.000105988341282459,0.0180314356910102,0.0170838251465351,102,"tags=50%, list=2%, signal=49%","HOXA9/DLX1/HOXA10/DLL1/DLX2"
"GO:0003323","BP","GO:0003323","type B pancreatic cell development",10,0.853849057067359,1.98807713055742,0.000105988341282459,0.0180314356910102,0.0170838251465351,411,"tags=50%, list=6%, signal=47%","DLL1/INSM1/CDK6/AKT1/WNT5A"
"GO:0031018","BP","GO:0031018","endocrine pancreas development",17,0.771771747119973,1.97453677294629,0.000101812258195887,0.0180314356910102,0.0170838251465351,434,"tags=47%, list=7%, signal=44%","DLL1/SOX4/NEUROD1/INSM1/CDK6/AKT1/WNT5A/ONECUT2"
"GO:0002068","BP","GO:0002068","glandular epithelial cell development",13,0.798112098686369,1.95585940429891,0.00010353038616834,0.0180314356910102,0.0170838251465351,617,"tags=54%, list=9%, signal=49%","DLL1/INSM1/CDK6/AKT1/SLC9A4/WNT5A/FZD5"
"GO:0003229","BP","GO:0003229","ventricular cardiac muscle tissue development",18,0.753841015825499,1.94524549132876,0.000101450745662981,0.0180314356910102,0.0170838251465351,428,"tags=44%, list=6%, signal=42%","POU4F1/NRG1/PROX1/TBX5/CHD7/DSG2/ID2/RBPJ"
"GO:0002067","BP","GO:0002067","glandular epithelial cell differentiation",28,0.70980207210509,1.93841271247143,0.000100300902708124,0.0180314356910102,0.0170838251465351,909,"tags=50%, list=14%, signal=43%","DLL1/PROX1/NEUROD1/INSM1/CDK6/ASCL1/AKT1/NFIB/SLC9A4/WNT5A/FZD5/CLCN2/KLF4/RBM4"
"GO:0035883","BP","GO:0035883","enteroendocrine cell differentiation",14,0.778519910750492,1.93073924019328,0.000103060908997217,0.0180314356910102,0.0170838251465351,411,"tags=50%, list=6%, signal=47%","DLL1/NEUROD1/INSM1/CDK6/ASCL1/AKT1/WNT5A"
"GO:0003230","BP","GO:0003230","cardiac atrium development",11,0.808296256794449,1.91951332517336,0.000104975855553223,0.0180314356910102,0.0170838251465351,411,"tags=45%, list=6%, signal=43%","MDM2/SOX4/PROX1/TBX5/WNT5A"
"GO:0048663","BP","GO:0048663","neuron fate commitment",26,0.705838760330249,1.91043101228034,0.000100462125778581,0.0180314356910102,0.0170838251465351,471,"tags=46%, list=7%, signal=43%","POU4F1/DLX1/DLL1/DLX2/PROX1/ASCL1/MYT1L/EYA1/NFIB/ID2/RBPJ/NFIA"
"GO:0003309","BP","GO:0003309","type B pancreatic cell differentiation",11,0.80286150133476,1.9066070603772,0.000104975855553223,0.0180314356910102,0.0170838251465351,411,"tags=45%, list=6%, signal=43%","DLL1/INSM1/CDK6/AKT1/WNT5A"
"GO:0070841","BP","GO:0070841","inclusion body assembly",12,0.788424616223948,1.90164089551522,0.00010418837257762,0.0180314356910102,0.0170838251465351,210,"tags=42%, list=3%, signal=40%","HSPA1A/DNAJA4/SNCAIP/BAG3/DNAJB1"
"GO:0003283","BP","GO:0003283","atrial septum development",7,0.881611471212317,1.89434056892325,0.000111794298490777,0.0180314356910102,0.0170838251465351,411,"tags=57%, list=6%, signal=54%","MDM2/SOX4/TBX5/WNT5A"
"GO:0003208","BP","GO:0003208","cardiac ventricle morphogenesis",20,0.721009847993204,1.88662354312593,0.000101061141990904,0.0180314356910102,0.0170838251465351,428,"tags=35%, list=6%, signal=33%","POU4F1/NRG1/SOX4/PROX1/TBX5/CHD7/RBPJ"
"GO:0086091","BP","GO:0086091","regulation of heart rate by cardiac conduction",7,0.874343463277513,1.87872361889965,0.000111794298490777,0.0180314356910102,0.0170838251465351,248,"tags=57%, list=4%, signal=55%","CACNA2D1/CACNB2/KCNE4/DSG2"
"GO:0048665","BP","GO:0048665","neuron fate specification",14,0.755041466673125,1.87251240147934,0.000103060908997217,0.0180314356910102,0.0170838251465351,471,"tags=50%, list=7%, signal=47%","POU4F1/DLL1/ASCL1/MYT1L/EYA1/NFIB/NFIA"
"GO:0055008","BP","GO:0055008","cardiac muscle tissue morphogenesis",16,0.73800390405483,1.87132061625832,0.000102145045965271,0.0180314356910102,0.0170838251465351,428,"tags=38%, list=6%, signal=35%","POU4F1/NRG1/PROX1/CHD7/WNT5A/RBPJ"
"GO:0048934","BP","GO:0048934","peripheral nervous system neuron differentiation",6,0.900898390599543,1.86747565856623,0.000115008625646924,0.0180314356910102,0.0170838251465351,434,"tags=83%, list=7%, signal=78%","POU4F1/ETV1/ASCL1/TBCE/ONECUT2"
"GO:0048935","BP","GO:0048935","peripheral nervous system neuron development",6,0.900898390599543,1.86747565856623,0.000115008625646924,0.0180314356910102,0.0170838251465351,434,"tags=83%, list=7%, signal=78%","POU4F1/ETV1/ASCL1/TBCE/ONECUT2"
"GO:0098840","BP","GO:0098840","protein transport along microtubule",6,0.896467055435617,1.85828992725632,0.000115008625646924,0.0180314356910102,0.0170838251465351,306,"tags=67%, list=5%, signal=64%","KIF5A/NETO1/BAG3/HSPB1"
"GO:0099118","BP","GO:0099118","microtubule-based protein transport",6,0.896467055435617,1.85828992725632,0.000115008625646924,0.0180314356910102,0.0170838251465351,306,"tags=67%, list=5%, signal=64%","KIF5A/NETO1/BAG3/HSPB1"
"GO:0051899","BP","GO:0051899","membrane depolarization",15,0.738987268046463,1.85469306919252,0.000102522042239081,0.0180314356910102,0.0170838251465351,276,"tags=40%, list=4%, signal=38%","CACNA2D1/NEDD4L/TBX5/CACNB2/ANK3/MLLT11"
"GO:0045746","BP","GO:0045746","negative regulation of Notch signaling pathway",15,0.735557420922285,1.84608491859959,0.000102522042239081,0.0180314356910102,0.0170838251465351,513,"tags=40%, list=8%, signal=37%","DLX1/DLL1/CBFA2T2/DLX2/AKT1/DLL3"
"GO:0031016","BP","GO:0031016","pancreas development",28,0.675806260829664,1.84557286973663,0.000100300902708124,0.0180314356910102,0.0170838251465351,434,"tags=36%, list=7%, signal=34%","MEIS2/DLL1/SOX4/PROX1/NEUROD1/INSM1/CDK6/AKT1/WNT5A/ONECUT2"
"GO:0045664","BP","GO:0045664","regulation of neuron differentiation",66,0.618460578984182,1.82215110293176,9.99900009999e-05,0.0180314356910102,0.0170838251465351,516,"tags=32%, list=8%, signal=30%","HOXA2/BCL11A/DLX1/DLL1/SHOC2/CNTN4/DLX2/PROX1/NREP/NEUROD1/SOX11/TCF4/ASCL1/KDM4A/DIXDC1/EYA1/CSNK1E/ID2/MEIS1/TCF12/METTL14"
"GO:0045165","BP","GO:0045165","cell fate commitment",81,0.54008617199008,1.61186441192276,9.99900009999e-05,0.0180314356910102,0.0170838251465351,991,"tags=33%, list=15%, signal=29%","MIAT/HOXA2/POU4F1/DLX1/DLL1/DLX2/PROX1/NEUROD1/TBX5/ASCL1/MYT1L/EYA1/NFIB/ID2/WNT5A/RBPJ/ONECUT2/NFIA/SOX5/TNXB/HDAC2/KLF4/BRAF/POU3F2/POU5F1/CTR9/ERBB4"
"GO:0010001","BP","GO:0010001","glial cell differentiation",88,0.527784199944014,1.58442903854164,9.99900009999e-05,0.0180314356910102,0.0170838251465351,1077,"tags=36%, list=16%, signal=31%","DLX1/EGR2/DLL1/SOX4/DLX2/SOX11/CDK6/ASCL1/KDM4A/HAPLN1/TMEM98/CNTN1/AKT1/NFIB/ID2/CRB1/NFIA/VPS54/METTL14/CUL4B/CDK5/PPP3R1/MYD88/FGF5/HDAC2/CLCN2/PTEN/NAB1/POU3F2/PRDM8/NCSTN/EPHA4"
