"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0034470","ncRNA processing","233/5310","439/18870",9.63851818758325e-29,6.07997727272751e-25,5.20784356388051e-25,"ABT1/ADAR/AGO2/AGO3/AKT1/ALKBH1/ALKBH8/BCDIN3D/BOP1/BRIX1/BYSL/C2orf49/CHD7/CTU2/DALRD3/DCAF13/DDX1/DDX10/DDX17/DDX18/DDX21/DDX27/DDX3X/DDX49/DDX5/DDX51/DDX52/DDX54/DDX56/DGCR8/DICER1/DPH3/DROSHA/DTWD1/DTWD2/DUS1L/DUS3L/DUS4L/EBNA1BP2/ELAC1/ELAC2/ELP3/ELP5/EMG1/ERCC2/ERI3/ESF1/EXD1/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC7/EXOSC8/EXOSC9/FAM98B/FARS2/FBL/FRG1/FTSJ1/FTSJ3/GEMIN4/GRSF1/GTF2H5/HEATR1/HNRNPA2B1/IMP3/IMP4/INTS1/INTS10/INTS2/INTS3/INTS5/INTS6/INTS8/INTS9/KAT2B/KRI1/KRR1/KTI12/LARP7/LAS1L/LCMT2/LIN28A/MAK16/MECP2/METTL1/METTL15/METTL16/METTL18/METTL2B/METTL5/METTL8/MPHOSPH10/MRM1/MRTO4/MTFMT/MTO1/NAF1/NAT10/NCBP1/NGDN/NHP2/NOB1/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOP56/NOP58/NOP9/NSA2/NSUN2/NSUN3/NSUN4/NSUN5/NSUN5P2/NUDT16/NUP155/OSGEP/OSGEPL1/PARN/PDCD11/PELP1/PES1/PIH1D1/PIN4/PIWIL2/POP1/POP5/POP7/PPAN/PRKDC/PRKRA/PTCD1/PUM1/PUM2/PUS10/PUS7/PWP1/RBFA/RCL1/RIOK1/RIOK2/RIOK3/RNF113A/RPL10A/RPL14/RPL35/RPL35A/RPL7A/RPL7L1/RPP14/RPP21/RPP40/RPS15/RPS16/RPS21/RPS24/RPS25/RPUSD1/RRP12/RRP1B/RRP8/RRP9/RSL1D1/SART1/SDE2/SEPSECS/SHQ1/SIRT7/SMAD2/SRSF3/SSB/TARBP1/TFB2M/THADA/THG1L/THUMPD1/TOE1/TP53/TP53RK/TPRKB/TRIT1/TRMT10A/TRMT10C/TRMT11/TRMT13/TRMT1L/TRMT6/TRMT61B/TRMU/TRNT1/TRPT1/TRUB2/TSEN15/TSEN54/TSN/TSNAX/TSR1/TSR2/TYW1/TYW3/TYW5/URB1/URM1/USB1/USP36/UTP14A/UTP15/UTP18/UTP20/UTP3/UTP6/WBP11/WDR12/WDR36/WDR43/WDR46/WDR74/WDR75/YBEY/YRDC/ZBTB8OS/ZC3H10/ZC3H7A/ZC3H7B/ZNHIT3/ZNHIT6",233
"2","Upregulated","BP","GO:0042254","ribosome biogenesis","178/5310","325/18870",2.85722338677944e-24,9.01168256190235e-21,7.71901454965203e-21,"AATF/ABT1/BOP1/BRIX1/BYSL/C1orf131/CHD7/CINP/CUL4B/DCAF13/DDX10/DDX17/DDX18/DDX21/DDX27/DDX28/DDX3X/DDX49/DDX51/DDX52/DDX54/DDX56/DHX29/DNTTIP2/DROSHA/EBNA1BP2/EIF1AX/EIF2A/EMG1/ERAL1/ERCC2/ERI3/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC7/EXOSC8/EXOSC9/FASTKD2/FBL/FRG1/FTSJ3/GEMIN4/GNL2/GNL3L/GTF2H5/GTF3A/HABP4/HEATR1/HEATR3/IMP3/IMP4/ISG20L2/KAT2B/KRI1/KRR1/LAS1L/LSG1/LTV1/MAK16/MALSU1/METTL15/METTL16/METTL17/METTL18/METTL5/MPHOSPH10/MRM1/MRPL20/MRPS7/MRTO4/MYBBP1A/NAF1/NAT10/NGDN/NHP2/NIP7/NLE1/NOB1/NOC2L/NOC4L/NOL10/NOL11/NOL6/NOL7/NOL8/NOL9/NOP16/NOP56/NOP58/NOP9/NSA2/NSUN3/NSUN4/NSUN5/NSUN5P2/NUDT16/NUP88/PAK1IP1/PDCD11/PELP1/PES1/PIH1D1/PIN4/PNO1/POP5/POP7/PPAN/PRKDC/PWP1/RBFA/RCL1/RIOK1/RIOK2/RIOK3/RPL10A/RPL14/RPL26L1/RPL35/RPL35A/RPL6/RPL7A/RPL7L1/RPLP0/RPP40/RPS15/RPS16/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPUSD1/RRN3/RRP12/RRP1B/RRP8/RRP9/RSL1D1/SART1/SDAD1/SDE2/SHQ1/SIRT7/SURF6/TFB2M/TMA16/TRAF7/TRMT61B/TSR1/TSR2/URB1/URB2/USP16/USP36/UTP14A/UTP15/UTP18/UTP20/UTP3/UTP6/WBP11/WDR12/WDR36/WDR43/WDR46/WDR74/WDR75/XRCC5/YBEY/ZNF593/ZNF622/ZNHIT3/ZNHIT6",178
"3","Upregulated","BP","GO:0008380","RNA splicing","236/5310","478/18870",2.31770514026978e-23,4.87336134160725e-20,4.17430894210693e-20,"AKAP17A/AKAP8L/ALYREF/AQR/ARL6IP4/ARMC7/ARVCF/ATXN7/ATXN7L3/BCAS2/BUD31/C2orf49/C9orf78/CASC3/CCNL1/CD2BP2/CDC5L/CDK13/CELF2/CELF3/CELF5/CIR1/CLASRP/CLK1/CLK3/CLK4/COIL/CRNKL1/CTNNBL1/CWC15/CWC22/CWC27/CWF19L2/DCPS/DDX1/DDX17/DDX20/DDX23/DDX41/DDX46/DDX5/DHX16/DHX38/DHX8/DNAJC17/DYRK1A/ECD/EFTUD2/ELAVL4/ENY2/ERN1/FAM98B/FMR1/FRA10AC1/FRG1/FXR2/GEMIN2/GEMIN4/GEMIN5/GEMIN6/GEMIN7/GRSF1/HABP4/HNRNPA1/HNRNPA2B1/HNRNPF/HNRNPH1/HNRNPH2/HNRNPR/HSPA1A/HTATSF1/ILDR2/ISY1/IWS1/KAT2A/KAT2B/KHDRBS1/KHDRBS3/KHSRP/LARP7/LSM1/LSM2/LSM3/LSM4/LSM5/LSM7/LUC7L2/LUC7L3/MAGOH/MBNL1/MBNL3/METTL14/METTL16/METTL4/MFAP1/MPHOSPH10/NCBP1/NCL/NOL3/NONO/NRDE2/NUP98/PABPC1/PHF5A/PIK3R1/PLRG1/PNN/PPIG/PPIH/PPIL2/PPIL3/PPP1R8/PPP4R2/PRKRIP1/PRMT1/PRMT7/PRPF3/PRPF31/PRPF38A/PRPF39/PRPF4/PRPF40A/PRPF40B/PRPF4B/PRPF6/PRPF8/PSIP1/PTBP1/PUS7/QKI/RALY/RBFOX2/RBM10/RBM14/RBM17/RBM19/RBM22/RBM23/RBM38/RBM4/RBM42/RBM8A/RBMX2/RBMXL1/REST/RNF113A/RNPC3/RNPS1/RRAGC/RRP1B/RSRC1/SART1/SART3/SCAF11/SCNM1/SDE2/SETX/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SFSWAP/SLU7/SMN1/SMN2/SMU1/SNRNP25/SNRNP48/SNRPA/SNRPA1/SNRPB2/SNRPC/SNRPD2/SNRPG/SREK1/SRPK1/SRPK2/SRRM1/SRSF3/SRSF4/SRSF5/SRSF6/SUGP1/SUGP2/SUPT6H/SUPT7L/SYF2/SYNCRIP/TAF12/TAF15/TAF6L/TARDBP/TFIP11/TGS1/THOC1/THOC2/THOC3/THOC5/THOC6/THRAP3/TIA1/TRA2A/TRA2B/TRPT1/TRRAP/TSEN15/TSEN54/TSSC4/TTF2/TXNL4A/TXNL4B/U2AF1/U2AF1L4/U2AF2/UBL5/USB1/USP39/USP4/WBP11/WDR77/WDR83/WTAP/YBX1/YTHDC1/ZBTB7A/ZBTB8OS/ZC3H10/ZCRB1/ZMAT2/ZMAT5/ZNF326/ZNF830/ZRANB2/ZRSR2",236
"4","Upregulated","BP","GO:0016072","rRNA metabolic process","148/5310","264/18870",1.04070489674841e-21,1.64119162217224e-18,1.40577321973937e-18,"ABT1/BOP1/BRF1/BRIX1/BYSL/CHD7/DCAF13/DDX10/DDX11/DDX17/DDX18/DDX21/DDX27/DDX49/DDX51/DDX52/DDX54/DDX56/DEDD/DROSHA/EBNA1BP2/EMG1/ERCC2/ERI3/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC7/EXOSC8/EXOSC9/FBL/FRG1/FTSJ3/GEMIN4/GTF2H5/GTF3A/GTF3C1/GTF3C2/GTF3C3/GTF3C6/HEATR1/IMP3/IMP4/IPPK/KAT2B/KRI1/KRR1/LAS1L/MAK16/METTL15/METTL16/METTL18/METTL5/MPHOSPH10/MRM1/MRTO4/MTOR/NAF1/NAT10/NCL/NGDN/NHP2/NOB1/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOP56/NOP58/NOP9/NSA2/NSUN3/NSUN4/NSUN5/NSUN5P2/NUDT16/PDCD11/PELO/PELP1/PES1/PIH1D1/PIN4/POLR1B/POLR1E/POP5/POP7/PPAN/PRKDC/PWP1/RBFA/RCL1/RIOK1/RIOK2/RIOK3/RPL10A/RPL14/RPL35/RPL35A/RPL7A/RPL7L1/RPP40/RPS15/RPS16/RPS21/RPS24/RPS25/RPUSD1/RRP12/RRP1B/RRP8/RRP9/RSL1D1/SART1/SDE2/SHQ1/SIRT7/TAF1B/TCOF1/TFB2M/TP53/TRMT61B/TSR1/TSR2/URB1/USP36/UTP14A/UTP15/UTP18/UTP20/UTP3/UTP6/WBP11/WDR12/WDR36/WDR43/WDR46/WDR74/WDR75/YBEY/ZCCHC7/ZNHIT3/ZNHIT6",148
"5","Upregulated","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","224/5310","458/18870",1.43945935854755e-21,1.81602192674359e-18,1.55552523945781e-18,"ADRM1/AKIRIN2/AKT1/AMBRA1/AMFR/AMN1/ANAPC1/ANAPC13/ANAPC15/ANAPC2/ANAPC4/ANAPC5/ANKIB1/ANKZF1/APPBP2/ARIH1/ARIH2/ARMC8/ARRB2/ASCC2/ASCC3/AUP1/AXIN1/BAG5/BBS7/BIRC2/BTRC/CDC16/CDC26/CDC27/CDC34/CDK2/CHFR/COMMD1/CRBN/CSNK1D/CSNK1E/CTNNB1/CUL1/CUL5/DCAF11/DCAF12/DCAF13/DDA1/DDB1/DDIT3/DERL1/DERL2/DNAJC10/DVL1/EDEM3/EIF3H/ERCC8/ERLEC1/ERLIN1/FAF2/FAM8A1/FBXL12/FBXL14/FBXL17/FBXL18/FBXL2/FBXL5/FBXL6/FBXL7/FBXO27/FBXO3/FBXO38/FBXO44/FBXO7/FBXO9/FBXW5/FBXW8/FEM1A/FEM1B/FZR1/GLMN/GNA12/GSK3A/GSK3B/HECTD1/HECTD3/HSP90AB1/HSPA1A/HSPBP1/ITCH/JKAMP/KAT5/KBTBD7/KCTD10/KCTD17/KCTD2/KLHDC1/KLHDC10/KLHDC2/KLHDC3/KLHL20/KLHL22/LTN1/MAEA/MAN1A2/MAN1B1/MAP1A/MAPK9/MDM2/MTA1/N4BP1/NAGLU/NEDD4L/NEMF/NHLRC3/NPLOC4/NSFL1C/NUB1/OGT/OS9/PCBP2/PEX12/PHF20L1/PIAS1/PLK3/PML/PPP2R5C/PSEN1/PSMA1/PSMA3/PSMA4/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD1/PSMD11/PSMD12/PSMD13/PSMD2/PSMD3/PSMD4/PSMD6/PSMD7/RAD23B/RBCK1/RBX1/RCHY1/RHOBTB3/RMND5A/RMND5B/RNF10/RNF103/RNF121/RNF126/RNF14/RNF180/RNF185/RNF187/RNF216/RNF4/SH3RF1/SHARPIN/SIAH2/SIRT6/SOCS4/SOCS5/SPOP/STUB1/SUMO2/TAF1/TLK2/TMEM67/TMUB1/TMUB2/TRIB2/TRIM2/TRIM25/TRIM3/TRIM39/TRIP12/TRIP4/TRPC4AP/UBE2A/UBE2D1/UBE2D3/UBE2G1/UBE2G2/UBE2H/UBE2J1/UBE2J2/UBE2K/UBE2W/UBE3A/UBE4A/UBE4B/UBQLN1/UBQLN2/UBQLN4/UBR2/UBR3/UBXN11/UBXN2A/UBXN2B/UBXN4/UBXN8/UCHL5/USP14/USP19/USP38/USP7/VCP/WAC/WWP1/YOD1/ZER1/ZFAND2A/ZFAND2B/ZNF418/ZNF598/ZNRF2/ZSWIM8",224
"6","Upregulated","BP","GO:0032543","mitochondrial translation","88/5310","130/18870",7.00251163856978e-21,7.36197390268303e-18,6.30594600715416e-18,"ALKBH1/AURKAIP1/CHCHD1/COA3/DAP3/DARS2/EARS2/FASTKD2/FASTKD3/GATC/GFM2/IARS2/LRPPRC/MALSU1/METTL8/MRPL1/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL18/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL33/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL54/MRPL55/MRPL9/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS22/MRPS23/MRPS25/MRPS27/MRPS28/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS7/MRPS9/MTG1/MTIF2/MTIF3/MTRF1/MTRF1L/NDUFA7/NSUN3/PTCD1/PTCD3/QRSL1/RARS2/RMND1/RPUSD3/SARS2/TACO1/TRMT10C/TRUB2/YARS2",88
"7","Upregulated","BP","GO:0006364","rRNA processing","130/5310","225/18870",8.75067823234209e-21,7.88561118423056e-18,6.75447088219728e-18,"ABT1/BOP1/BRIX1/BYSL/CHD7/DCAF13/DDX10/DDX17/DDX18/DDX21/DDX27/DDX49/DDX51/DDX52/DDX54/DDX56/DROSHA/EBNA1BP2/EMG1/ERCC2/ERI3/ESF1/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/EXOSC5/EXOSC7/EXOSC8/EXOSC9/FBL/FRG1/FTSJ3/GEMIN4/GTF2H5/HEATR1/IMP3/IMP4/KAT2B/KRI1/KRR1/LAS1L/MAK16/METTL15/METTL16/METTL18/METTL5/MPHOSPH10/MRM1/MRTO4/NAF1/NAT10/NGDN/NHP2/NOB1/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOP56/NOP58/NOP9/NSA2/NSUN3/NSUN4/NSUN5/NSUN5P2/NUDT16/PDCD11/PELP1/PES1/PIH1D1/PIN4/POP5/POP7/PPAN/PRKDC/PWP1/RBFA/RCL1/RIOK1/RIOK2/RIOK3/RPL10A/RPL14/RPL35/RPL35A/RPL7A/RPL7L1/RPP40/RPS15/RPS16/RPS21/RPS24/RPS25/RPUSD1/RRP12/RRP1B/RRP8/RRP9/RSL1D1/SART1/SDE2/SHQ1/SIRT7/TFB2M/TRMT61B/TSR1/TSR2/URB1/USP36/UTP14A/UTP15/UTP18/UTP20/UTP3/UTP6/WBP11/WDR12/WDR36/WDR43/WDR46/WDR74/WDR75/YBEY/ZNHIT3/ZNHIT6",130
"8","Upregulated","BP","GO:0140053","mitochondrial gene expression","101/5310","163/18870",1.80748581227612e-19,1.42520256297972e-16,1.22076640452807e-16,"ALKBH1/AURKAIP1/CHCHD1/COA3/DAP3/DARS2/EARS2/ELAC2/FASTKD1/FASTKD2/FASTKD3/FOXO3/GATC/GFM2/IARS2/LRPPRC/MALSU1/METTL4/METTL8/MRPL1/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL18/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL33/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL54/MRPL55/MRPL9/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS22/MRPS23/MRPS25/MRPS27/MRPS28/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS7/MRPS9/MTG1/MTIF2/MTIF3/MTO1/MTRF1/MTRF1L/NDUFA7/NSUN3/PTCD1/PTCD3/QRSL1/RARS2/RMND1/RPUSD3/SARS2/SUPV3L1/TACO1/TBRG4/TEFM/TFAM/TFB2M/TRIT1/TRMT10C/TRMT61B/TRNT1/TRUB2/YARS2",101
"9","Upregulated","BP","GO:0006913","nucleocytoplasmic transport","169/5310","330/18870",4.30270811206747e-19,2.71414827709216e-16,2.32482113044656e-16,"AAAS/AGFG1/AHCTF1/AKAP8L/AKIRIN2/AKT1/ALKBH5/ALYREF/ANKRD54/ANP32B/APPL1/APPL2/ATF2/AXIN1/BACH2/BAG3/BARD1/CAMK1/CASC3/CDAN1/CDK5/CDKN1A/CHP2/CITED1/CPSF6/CRY2/CSE1L/CTDSPL2/DDX19A/DDX19B/DMAP1/E2F3/EFCAB7/EGR2/EIF4E/EIF4ENIF1/ELAVL1/ENY2/FAM53C/FMR1/FYTTD1/GLE1/GLI3/GSK3B/HDAC3/HEATR3/HNRNPA1/HNRNPA2B1/HSP90AA1/HTATIP2/HYAL2/ING1/IPO11/IPO7/IPO8/IWS1/KHDRBS1/KPNA1/KPNA3/KPNA4/KPNA5/KPNA6/KPNB1/LEP/LSG1/LTV1/MAGOH/MALT1/MAPK14/MCM3AP/MDM2/NCBP1/NEDD4/NEMF/NEUROD1/NF1/NFKBIA/NOL6/NOP9/NOTCH1/NRDE2/NSUN2/NUP107/NUP133/NUP153/NUP155/NUP160/NUP205/NUP214/NUP35/NUP54/NUP62/NUP85/NUP88/NUP93/NUP98/NUTF2/NXF1/NXT1/PABPN1/PCID2/PHB2/PIK3R1/PIK3R2/PKD1/PKIG/PML/POLA2/POLDIP3/POM121C/PPM1A/PPP1CC/PPP3CA/PPP3R1/PRKAG1/PRKD1/PSEN1/PTPN11/PTPN14/RAE1/RANBP1/RANBP2/RANBP3/RAPGEF3/RBM22/RBM4/RBM8A/RGPD5/RIOK2/RPS15/RSRC1/SDAD1/SETD2/SIRT6/SIRT7/SMG6/SMG7/SP100/SPG11/SRSF3/SSB/STRADA/SUPT6H/TARDBP/THOC1/THOC2/THOC3/THOC5/THOC6/TMCO6/TMEM53/TNPO1/TNPO2/TNPO3/TP53/TPR/TRAF3IP2/TRIM28/UBR5/UFM1/UHMK1/UPF1/UPF2/XPO5/XPO6/XPO7/YTHDC1/ZC3H11A/ZIC1",169
"10","Upregulated","BP","GO:0051169","nuclear transport","169/5310","330/18870",4.30270811206747e-19,2.71414827709216e-16,2.32482113044656e-16,"AAAS/AGFG1/AHCTF1/AKAP8L/AKIRIN2/AKT1/ALKBH5/ALYREF/ANKRD54/ANP32B/APPL1/APPL2/ATF2/AXIN1/BACH2/BAG3/BARD1/CAMK1/CASC3/CDAN1/CDK5/CDKN1A/CHP2/CITED1/CPSF6/CRY2/CSE1L/CTDSPL2/DDX19A/DDX19B/DMAP1/E2F3/EFCAB7/EGR2/EIF4E/EIF4ENIF1/ELAVL1/ENY2/FAM53C/FMR1/FYTTD1/GLE1/GLI3/GSK3B/HDAC3/HEATR3/HNRNPA1/HNRNPA2B1/HSP90AA1/HTATIP2/HYAL2/ING1/IPO11/IPO7/IPO8/IWS1/KHDRBS1/KPNA1/KPNA3/KPNA4/KPNA5/KPNA6/KPNB1/LEP/LSG1/LTV1/MAGOH/MALT1/MAPK14/MCM3AP/MDM2/NCBP1/NEDD4/NEMF/NEUROD1/NF1/NFKBIA/NOL6/NOP9/NOTCH1/NRDE2/NSUN2/NUP107/NUP133/NUP153/NUP155/NUP160/NUP205/NUP214/NUP35/NUP54/NUP62/NUP85/NUP88/NUP93/NUP98/NUTF2/NXF1/NXT1/PABPN1/PCID2/PHB2/PIK3R1/PIK3R2/PKD1/PKIG/PML/POLA2/POLDIP3/POM121C/PPM1A/PPP1CC/PPP3CA/PPP3R1/PRKAG1/PRKD1/PSEN1/PTPN11/PTPN14/RAE1/RANBP1/RANBP2/RANBP3/RAPGEF3/RBM22/RBM4/RBM8A/RGPD5/RIOK2/RPS15/RSRC1/SDAD1/SETD2/SIRT6/SIRT7/SMG6/SMG7/SP100/SPG11/SRSF3/SSB/STRADA/SUPT6H/TARDBP/THOC1/THOC2/THOC3/THOC5/THOC6/TMCO6/TMEM53/TNPO1/TNPO2/TNPO3/TP53/TPR/TRAF3IP2/TRIM28/UBR5/UFM1/UHMK1/UPF1/UPF2/XPO5/XPO6/XPO7/YTHDC1/ZC3H11A/ZIC1",169
