"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0048193","Golgi vesicle transport","90/2607","294/18870",5.79911576393288e-14,3.53572088126988e-10,3.00272109924061e-10,"ACSL3/AP2A1/ARCN1/ARF4/ARF5/ARFGEF2/ARFRP1/BCAP29/BCAP31/BET1L/CCDC22/CCDC91/COG6/COG7/COPB1/COPE/COPG1/CREB3L2/CUL3/CYTH3/DNM2/EHD3/EPS15/ERGIC3/GABARAPL2/GOLGA2/GOLGA5/GOLGA7/GOLT1B/HYOU1/INSIG1/KDELR1/KDELR2/LAMP1/LYPLA1/MACF1/MYO5A/NAPA/NSF/OPTN/P4HB/PEF1/PPP6C/PRKCI/RAB10/RAB12/RAB13/RAB14/RAB31/RAB34/RAB6A/RAB8A/RANGRF/RER1/RNF139/RP2/RSC1A1/SAR1B/SCAP/SCFD1/SEC13/SEC22C/SEC23B/SEC24A/SEC24B/SEC24D/SNX3/SORL1/SORT1/SPTBN1/STX5/TAPBP/TFG/TMED1/TMED10/TMED2/TMED5/TMED7/TMED9/TMEM115/USO1/VAMP3/VAMP5/VAMP7/VAPA/VAPB/VTI1B/WIPI1/YIF1A/YKT6",90
"2","Upregulated","BP","GO:0005996","monosaccharide metabolic process","81/2607","261/18870",4.67306221530956e-13,1.42458301633712e-09,1.20983121247935e-09,"ACACB/ADIPOR1/ALDOA/ALDOC/APOD/ARPP19/ATF3/B4GALT1/CRY1/DLAT/ENO1/FABP5/FGGY/FOXO1/FUCA1/FUCA2/FUT8/G6PC3/GALE/GALK1/GALK2/GALM/GAPDH/GCLC/GLB1/GPI/HEXA/HEXB/HK2/IDS/IGFBP3/IRS1/IRS2/KHK/LCMT1/LIPA/MAN2B1/MAN2B2/MPI/NLN/NNMT/OAS1/OMA1/PDK2/PDK3/PFKFB3/PFKFB4/PFKL/PFKM/PFKP/PGAM1/PGAM2/PGK1/PGM1/PGM2/PGM2L1/PHKG2/PKM/POFUT2/PPARA/PPARD/PPARGC1A/PPP1R3E/PRKAA1/PRKACA/RGN/RPIA/SERP1/SESN2/SLC23A2/SLC25A11/SLC2A1/SLC35A2/SLC39A14/SORD/STK11/TPI1/TSTD1/UST/WDTC1/ZMPSTE24",81
"3","Upregulated","BP","GO:0019318","hexose metabolic process","72/2607","233/18870",1.15402850374721e-11,2.34537059578225e-08,1.99181270523949e-08,"ACACB/ADIPOR1/ALDOA/ALDOC/APOD/ARPP19/ATF3/B4GALT1/CRY1/DLAT/ENO1/FABP5/FOXO1/FUCA1/FUCA2/FUT8/G6PC3/GALE/GALK1/GALK2/GALM/GAPDH/GLB1/GPI/HK2/IGFBP3/IRS1/IRS2/KHK/LCMT1/LIPA/MAN2B1/MAN2B2/MPI/NLN/NNMT/OAS1/OMA1/PDK2/PDK3/PFKFB3/PFKFB4/PFKL/PFKM/PFKP/PGAM1/PGAM2/PGK1/PGM1/PGM2/PGM2L1/PHKG2/PKM/POFUT2/PPARA/PPARD/PPARGC1A/PPP1R3E/PRKAA1/PRKACA/RGN/SERP1/SESN2/SLC25A11/SLC35A2/SLC39A14/SORD/STK11/TPI1/TSTD1/WDTC1/ZMPSTE24",72
"4","Upregulated","BP","GO:0072659","protein localization to plasma membrane","81/2607","290/18870",1.77769728343775e-10,2.49448708013282e-07,2.11845030725609e-07,"ACSL3/ANK2/AR/ARF6/ARFRP1/ATP2B4/ATP6AP1/BCL2L1/CD81/CIB1/CLTC/DENND4C/EFR3A/EGFR/EHD2/EHD3/EHD4/FCHO2/FLNA/FLOT1/GBP1/GOLGA7/GORASP1/ITGA3/LGALS3/LRP1/LYPD1/LYPLA1/MACF1/MMP14/MYL12A/MYO5A/NSF/NUMB/OPTN/P2RY1/PGRMC1/PPP2R5A/PRKCE/PRKCI/PRNP/PSMD10/PTCH1/RAB10/RAB11FIP2/RAB12/RAB13/RAB31/RAB34/RAB7A/RAB8A/RAMP1/RAMP2/RANGRF/RAP1A/RER1/RHOG/RILPL2/ROCK2/RSC1A1/S100A10/SLMAP/SORL1/SPTBN1/SPTBN4/SQSTM1/STAC/STX4/STX7/TMBIM1/TMED2/TMEM150A/TMEM59/TNFRSF1A/TSPAN5/TTC8/VAMP3/VAMP5/VTI1B/WNK1/ZDHHC2",81
"5","Upregulated","BP","GO:0034976","response to endoplasmic reticulum stress","76/2607","266/18870",2.04566760712877e-10,2.49448708013282e-07,2.11845030725609e-07,"AIFM1/AQP11/ATF3/ATF6B/BAG6/BCAP31/BCL2L1/BFAR/CALR/CANX/CCDC47/CEBPB/CLU/CREB3L1/CREB3L2/DDRGK1/DNAJB2/DNAJB9/EDEM2/EIF2AK3/EIF2S1/ERP44/FAF1/FBXO17/FLOT1/FOXRED2/GET4/HERPUD1/HERPUD2/HM13/HSP90B1/HSPA5/HYOU1/ITPR1/LPCAT3/MANF/MBTPS2/NCK1/NFE2L2/NR1H2/NRBF2/P4HB/PDIA3/PDIA4/PDIA6/PPP2CB/PSMC6/PTPN1/RCN3/RHBDD2/RNF139/SDF2L1/SEC61B/SEL1L/SERINC3/SERP1/SESN2/SGTA/SRPX/STC2/STT3B/SYVN1/TBL2/TMBIM6/TMED2/TMEM129/TMEM259/TMEM33/TMX1/TRIB3/TXNDC12/UBA5/UFL1/USP25/VAPB/WFS1",76
"6","Upregulated","BP","GO:1990778","protein localization to cell periphery","93/2607","353/18870",2.56200200320642e-10,2.60342103559159e-07,2.21096278136357e-07,"ABCA2/ACSL3/ANK2/AR/ARF6/ARFRP1/ARL13B/ATP2B4/ATP6AP1/BCL2L1/CD81/CIB1/CLSTN1/CLTC/DAG1/DENND4C/EFR3A/EGFR/EHD2/EHD3/EHD4/EPB41L2/FCHO2/FLNA/FLOT1/GBP1/GOLGA7/GORASP1/GPC4/IFT80/ITGA3/LGALS3/LIN7A/LRP1/LYPD1/LYPLA1/LZTFL1/MACF1/MMP14/MYADM/MYL12A/MYO5A/NSF/NUBP1/NUMB/OPTN/P2RY1/PGRMC1/PPP2R5A/PRKCE/PRKCI/PRNP/PSMD10/PTCH1/RAB10/RAB11FIP2/RAB12/RAB13/RAB31/RAB34/RAB7A/RAB8A/RAMP1/RAMP2/RANGRF/RAP1A/RER1/RHOG/RILPL2/ROCK2/RSC1A1/S100A10/SLMAP/SORL1/SPTBN1/SPTBN4/SQSTM1/STAC/STX4/STX7/TMBIM1/TMED2/TMEM150A/TMEM59/TNFRSF1A/TSPAN5/TTC8/VAMP3/VAMP5/VTI1B/WDR19/WNK1/ZDHHC2",93
"7","Upregulated","BP","GO:0016052","carbohydrate catabolic process","52/2607","163/18870",2.35404810993879e-09,2.05037590375669e-06,1.74128761696074e-06,"ALDOA/ALDOC/APP/CTBS/EIF6/ENO1/FLCN/FUT8/GABARAPL1/GALE/GALK1/GALM/GAPDH/GK/GLB1/GM2A/GPI/HEXA/HEXB/HIF1A/HK2/IDS/JMJD8/LDHA/LIPA/MAN2B1/MAN2B2/NEU1/P2RX7/PFKL/PFKM/PFKP/PGAM1/PGAM2/PGK1/PGM1/PGM2/PHKG2/PKM/PPARA/PPP1CB/PPP1R3B/PPP2CA/PRKAA1/PRKACA/PYGB/PYGL/SLC4A4/SORD/STAT3/TPI1/TREX1",52
"8","Upregulated","BP","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","45/2607","132/18870",2.70060493814931e-09,2.05819853848704e-06,1.74793101194164e-06,"ARCN1/ARF4/BCAP29/BCAP31/COPB1/COPE/COPG1/CREB3L2/CUL3/ERGIC3/GOLGA2/GOLT1B/HYOU1/INSIG1/KDELR1/KDELR2/P4HB/PEF1/PPP6C/RANGRF/RNF139/SAR1B/SCAP/SCFD1/SEC13/SEC22C/SEC23B/SEC24A/SEC24B/SEC24D/SORL1/STX5/TFG/TMED1/TMED10/TMED2/TMED5/TMED7/TMED9/USO1/VAMP7/VAPA/VAPB/YIF1A/YKT6",45
"9","Upregulated","BP","GO:0009100","glycoprotein metabolic process","93/2607","370/18870",3.51199881464287e-09,2.37918408587529e-06,2.02052890868167e-06,"ABCA2/AGA/ALG13/ALG2/ALG3/ALG5/ALG8/AQP11/ATP7A/B3GALNT1/B3GALT6/B3GAT1/B3GNT7/B4GALT1/B4GALT5/B4GALT7/CHPF/CHPF2/CHST3/CHST7/CHST9/CHSY1/COG7/CSGALNACT1/CST3/DAD1/DDOST/DOLK/DPM1/DPM2/DPY19L1/EDEM2/ERP44/EXTL3/FBXO17/FKTN/FUT8/GALNT7/GANAB/GLB1/GMPPB/GNPTG/GOLGA2/GPC1/GXYLT1/HBEGF/HEXA/HEXB/HGSNAT/HIF1A/HS2ST1/HS3ST1/HS3ST3B1/HS6ST1/IDS/IL33/ITM2A/ITM2B/MAGT1/MAN2B1/MGAT1/MGAT2/MGAT4B/MGAT5/MLEC/MPDU1/NECAB1/NECAB3/NPC1/NUS1/PGM3/PLOD3/POFUT2/POMGNT1/PORCN/PRKCSH/RAMP1/RFT1/RPN1/RPN2/SERP1/SLC2A10/SLC35D2/ST3GAL6/ST6GALNAC4/ST6GALNAC6/ST8SIA5/STT3A/STT3B/TMEM59/TMTC1/TREX1/UST",93
"10","Upregulated","BP","GO:0006066","alcohol metabolic process","93/2607","373/18870",5.42067337939834e-09,3.30498455941916e-06,2.80676761613267e-06,"ABCA1/ABCA2/ACADVL/ACER3/ACO2/ACSS2/ADCYAP1R1/ALDH2/ALG13/ALG2/ALG3/ALG8/APOE/APOL1/APP/ARV1/ASAH1/CAT/CLN8/COQ3/CYP46A1/CYP51A1/DHCR24/DHCR7/DHRS3/DHRS4/DKK3/DOLK/DPM1/DPM2/EBP/EDNRB/FDFT1/FECH/FGF1/FGF2/GALK1/GDE1/GK/HDLBP/HMGCR/HMGCS1/HSD17B7/IDH1/IDH3A/IDH3B/IDI1/INPP4A/INPP5A/INPP5B/INSIG1/INSIG2/ITPKB/LDLR/LIPA/LPCAT3/MBTPS2/MOXD1/MPDU1/MSMO1/MVD/NPC1/NPC2/NUDT10/NUDT11/NUS1/P2RY1/PECR/PLA2G4A/PNPLA2/PPARD/PRKAA1/PTK2B/QDPR/RDH10/RDH11/RDH14/RDH5/RFT1/SCAP/SEC14L2/SLC5A3/SNX17/SOD1/SORD/SPTLC2/SPTSSA/SQLE/SREBF2/SULT1A3/SULT1A4/TPI1/TSKU",93
