"","gene1","gene2","correlation","pvalue"
"1","PRNP","FO538757.2",0.0387212548394434,1.37496253392972e-05
"2","PRNP","AP006222.2",0.13866451037719,3.90365744699048e-55
"3","PRNP","RP4-669L17.10",0.0363778934388266,4.41685570172477e-05
"4","PRNP","RP11-206L10.9",0.00380083469065296,0.66965701629341
"5","PRNP","LINC00115",-0.0195915363189935,0.0278619524676402
"6","PRNP","FAM41C",0.0259999902002754,0.00351368829800413
"7","PRNP","NOC2L",0.0112369512400748,0.207197401431675
"8","PRNP","KLHL17",0.0134649005213847,0.130684054488293
"9","PRNP","HES4",-0.0304042294030402,0.000641454061953011
"10","PRNP","ISG15",-0.0656575714274938,1.61208854548758e-13
"11","PRNP","AGRN",-0.00840110131824957,0.345690217531984
"12","PRNP","C1orf159",0.0127655393715196,0.151886038735682
"13","PRNP","TTLL10",0.0990059283625973,8.0025555568365e-29
"14","PRNP","SDF4",0.103678619560246,1.8430356814318e-31
"15","PRNP","B3GALT6",0.0499608527317253,2.0085626154469e-08
"16","PRNP","UBE2J2",0.0989147996068535,8.98368914935091e-29
"17","PRNP","SCNN1D",0.0331385254689616,0.00019875740235064
"18","PRNP","ACAP3",-0.0500708680841218,1.86981822090332e-08
"19","PRNP","PUSL1",0.0764309233077035,8.5910146418834e-18
"20","PRNP","CPSF3L",0.0959693013511693,3.5635742585086e-27
"21","PRNP","CPTP",0.0573064631298739,1.21423725726292e-10
"22","PRNP","DVL1",0.0162175645501327,0.0686937827611364
"23","PRNP","MXRA8",0.0994905918502122,4.31840915307549e-29
"24","PRNP","AURKAIP1",0.172366938066949,1.25753759172541e-84
"25","PRNP","CCNL2",0.064857468771596,3.15823500929571e-13
"26","PRNP","MRPL20",0.159030985561314,3.69219311962766e-72
"27","PRNP","ANKRD65",-0.0218101651108587,0.0143519966854453
"28","PRNP","VWA1",0.0671476347689896,4.51001500071921e-14
"29","PRNP","ATAD3C",0.0402339157606561,6.24836300941024e-06
"30","PRNP","ATAD3B",0.0299884137534138,0.000760601967533369
"31","PRNP","ATAD3A",0.0381305547302684,1.85682544592168e-05
"32","PRNP","TMEM240",0.0185111379079277,0.0377163212472327
"33","PRNP","SSU72",0.12640162455884,4.82449724883402e-46
"34","PRNP","RP5-832C2.5",0.0211468623196547,0.017603531586733
"35","PRNP","RP11-345P4.9",0.0660629671218756,1.14308433160052e-13
"36","PRNP","MIB2",0.0574645092565863,1.07986525530737e-10
"37","PRNP","MMP23B",0.0594262534620738,2.45412053798255e-11
"38","PRNP","CDK11B",0.0220823556976809,0.0131790845137218
"39","PRNP","RP11-345P4.10",0.0429259071360166,1.43302225641154e-06
"40","PRNP","SLC35E2B",0.0316486731699281,0.000380526805558422
"41","PRNP","CDK11A",0.013768634127675,0.122223773235572
"42","PRNP","SLC35E2",-0.000585011341820687,0.947645766676833
"43","PRNP","NADK",0.0602582532581839,1.2903062050352e-11
"44","PRNP","GNB1",0.045379230131616,3.46670930219078e-07
"45","PRNP","TMEM52",0.0284360864693235,0.00141096622942137
"46","PRNP","CFAP74",0.000917286761061972,0.917995450748054
"47","PRNP","PRKCZ",-0.0121778292698259,0.171648107146813
"48","PRNP","FAAP20",0.0889273970590899,1.50409284484915e-23
"49","PRNP","SKI",0.0654163982967601,1.97601337370653e-13
"50","PRNP","MORN1",0.0211586250684819,0.0175406665166903
"51","PRNP","RER1",0.193070962906488,4.30143821417619e-106
"52","PRNP","PEX10",0.136589786497987,1.55061768203986e-53
"53","PRNP","PANK4",-0.0103849248948901,0.243749119909655
"54","PRNP","HES5",0.0137603330110024,0.12244916319276
"55","PRNP","RP3-395M20.8",0.00984157053746787,0.269300637395206
"56","PRNP","TNFRSF14",0.014348000779627,0.10727868580656
"57","PRNP","FAM213B",0.0586457075032337,4.45061852859617e-11
"58","PRNP","MMEL1",0.0512774063329621,8.44530896689201e-09
"59","PRNP","TTC34",0.023809741268722,0.0075208388293058
"60","PRNP","LINC00982",0.0526873823318394,3.26073591237921e-09
"61","PRNP","PRDM16",0.0685236156000988,1.35693390696317e-14
"62","PRNP","TPRG1L",0.0202488638775109,0.023024549271159
"63","PRNP","WRAP73",0.0513027941838847,8.30363445246664e-09
