"","gene1","gene2","correlation","pvalue","status"
"1","PRNP","ITM2B",0.382836230582863,0,"Positive correlation"
"2","PRNP","NMB",0.330449649257886,9.5963358523037e-319,"Positive correlation"
"3","PRNP","SUSD2",0.329473354158441,9.14925584938196e-317,"Positive correlation"
"4","PRNP","PSENEN",0.32652037762231,8.01447010011627e-311,"Positive correlation"
"5","PRNP","PLTP",0.325547852152167,7.02206977399145e-309,"Positive correlation"
"6","PRNP","TSPAN3",0.320489846094373,6.83264758963541e-299,"Positive correlation"
"7","PRNP","AQP4",0.318890632574103,8.96639099012223e-296,"Positive correlation"
"8","PRNP","EMP3",0.310782591479234,2.9412553839037e-280,"Positive correlation"
"9","PRNP","RPS4Y1",0.31006004934867,6.72463941044048e-279,"Positive correlation"
"10","PRNP","DSTN",0.307783412616828,1.21648891368882e-274,"Positive correlation"
"11","PRNP","TMEM147",0.306102274616929,1.60184549902339e-271,"Positive correlation"
"12","PRNP","SARAF",0.303063667294008,6.17847705932862e-266,"Positive correlation"
"13","PRNP","GATM",0.302955729572625,9.72938920859172e-266,"Positive correlation"
"14","PRNP","LAMP1",0.300715842714416,1.15184369151666e-261,"Positive correlation"
"15","PRNP","TMEM205",0.294312441440907,3.2155986220806e-250,"Positive correlation"
"16","PRNP","TSTD1",0.290311788598741,3.23488593164074e-243,"Positive correlation"
"17","PRNP","IFT22",0.288701542466551,1.97874612168446e-240,"Positive correlation"
"18","PRNP","POLR2I",0.287368073953297,3.89151932485646e-238,"Positive correlation"
"19","PRNP","TMEM230",0.28729931039413,5.10577440019415e-238,"Positive correlation"
"20","PRNP","UQCR11",0.286081148038055,6.19342636741375e-236,"Positive correlation"
"21","PRNP","NAA20",0.285773578081865,2.07220795571427e-235,"Positive correlation"
"22","PRNP","CNN3",0.28551829127504,5.63991857459379e-235,"Positive correlation"
"23","PRNP","CAPS",0.285274567163923,1.46551715579274e-234,"Positive correlation"
"24","PRNP","S100B",0.283168888514497,5.39109595113436e-231,"Positive correlation"
"25","PRNP","GADD45GIP1",0.282933274426276,1.34502590489927e-230,"Positive correlation"
"26","PRNP","PON2",0.28177106845409,1.20670020821387e-228,"Positive correlation"
"27","PRNP","IGFBP7-AS1",0.280964887460061,2.69593211797663e-227,"Positive correlation"
"28","PRNP","ID4",0.279945064689175,1.35165342984396e-225,"Positive correlation"
"29","PRNP","OTOS",0.278868480142615,8.27593731565505e-224,"Positive correlation"
"30","PRNP","ASNA1",0.278150813921317,1.27222112733023e-222,"Positive correlation"
"31","PRNP","DPP7",0.277086453293171,7.21185591544284e-221,"Positive correlation"
"32","PRNP","LHFP",0.276350864573158,1.16230963856329e-219,"Positive correlation"
"33","PRNP","GJA1",0.276296739543532,1.42562831657549e-219,"Positive correlation"
"34","PRNP","PGAM2",0.275693407258499,1.38422130265858e-218,"Positive correlation"
"35","PRNP","UBL5",0.27509720215106,1.30100524310507e-217,"Positive correlation"
"36","PRNP","OAZ1",0.274706514369441,5.63116334398436e-217,"Positive correlation"
"37","PRNP","VIM",0.274408151292507,1.72123211284993e-216,"Positive correlation"
"38","PRNP","COX7A1",0.274177308779608,4.08177493524874e-216,"Positive correlation"
"39","PRNP","ESD",0.273722462455975,2.23196336498082e-215,"Positive correlation"
"40","PRNP","COPE",0.273251130050495,1.29350887615728e-214,"Positive correlation"
"41","PRNP","ITM2C",0.273232008815347,1.38897463436642e-214,"Positive correlation"
"42","PRNP","ZFP36L1",0.272254349658432,5.2544531479275e-213,"Positive correlation"
"43","PRNP","ERGIC3",0.271731797879572,3.64067815269076e-212,"Positive correlation"
"44","PRNP","UBA52",0.270763876058424,1.29834511260871e-210,"Positive correlation"
"45","PRNP","LINC00998",0.270057865347643,1.74399817461564e-209,"Positive correlation"
"46","PRNP","CETN2",0.2681673134945,1.76106650118058e-206,"Positive correlation"
"47","PRNP","RHBDD2",0.267183070945938,6.3122136999023e-205,"Positive correlation"
"48","PRNP","C19orf70",0.265631028976423,1.72959391469119e-202,"Positive correlation"
"49","PRNP","PIFO",0.264606029335318,6.90146115973598e-201,"Positive correlation"
"50","PRNP","RAD23A",0.264252876014605,2.44851042485081e-200,"Positive correlation"
"51","PRNP","MORN2",0.263992274740725,6.22575764060048e-200,"Positive correlation"
"52","PRNP","MLF1",0.26389893800888,8.69438786861583e-200,"Positive correlation"
"53","PRNP","EIF3K",0.2636140542446,2.40762643636309e-199,"Positive correlation"
"54","PRNP","CD63",0.263429948613217,4.64692370794435e-199,"Positive correlation"
"55","PRNP","DNER",0.262334131710684,2.30258807418216e-197,"Positive correlation"
"56","PRNP","RPS27A",0.259417288434123,6.83445448488253e-193,"Positive correlation"
"57","PRNP","GDPD2",0.257500876947765,5.52231261061698e-190,"Positive correlation"
"58","PRNP","TTYH1",0.257191552809855,1.61844443000897e-189,"Positive correlation"
"59","PRNP","RPS16",0.256530621039165,1.60229730238743e-188,"Positive correlation"
"60","PRNP","PYURF",0.256269873349755,3.95128222145797e-188,"Positive correlation"
"61","PRNP","TPT1",0.256254141102008,4.17229113521194e-188,"Positive correlation"
"62","PRNP","CIRBP",0.255965449087071,1.13193143821556e-187,"Positive correlation"
"63","PRNP","CD99",0.2557785647836,2.15831065603884e-187,"Positive correlation"
"64","PRNP","S100A10",0.255146051003447,1.91005874092283e-186,"Positive correlation"
"65","PRNP","EEF1A1",0.255140732393203,1.94535059547421e-186,"Positive correlation"
"66","PRNP","NDUFB7",0.255096529154489,2.26502538728118e-186,"Positive correlation"
"67","PRNP","POLD2",0.254734463058354,7.86685675147803e-186,"Positive correlation"
"68","PRNP","COPRS",0.254560253219582,1.43108097559637e-185,"Positive correlation"
"69","PRNP","CD59",0.254543128133119,1.51774293840456e-185,"Positive correlation"
"70","PRNP","DHRS3",0.254210490087825,4.75099272562756e-185,"Positive correlation"
"71","PRNP","GADD45B",0.254017716331581,9.19717780044624e-185,"Positive correlation"
"72","PRNP","CLU",0.253709591279486,2.64039023250181e-184,"Positive correlation"
"73","PRNP","UQCRFS1",0.252314010512191,3.0777784059593e-182,"Positive correlation"
"74","PRNP","SDCBP",0.252245620777907,3.88307990343557e-182,"Positive correlation"
"75","PRNP","RPL18A",0.251606295218617,3.39845318729137e-181,"Positive correlation"
"76","PRNP","PLP2",0.251419873790209,6.38969929572345e-181,"Positive correlation"
"77","PRNP","SNX3",0.251378379176319,7.3532903844046e-181,"Positive correlation"
"78","PRNP","NPC2",0.250950998455552,3.11968996479158e-180,"Positive correlation"
"79","PRNP","COMMD6",0.250462417314664,1.62231919623071e-179,"Positive correlation"
"80","PRNP","FBXW9",0.24988978761076,1.1151335386402e-178,"Positive correlation"
"81","PRNP","CALM1",0.249843611830735,1.30239264081228e-178,"Positive correlation"
"82","PRNP","PEPD",0.249380956152823,6.15780509655567e-178,"Positive correlation"
"83","PRNP","ZFP36L2",0.249253318552429,9.447333634493e-178,"Positive correlation"
"84","PRNP","RPL21",0.24889355677886,3.15257128304334e-177,"Positive correlation"
"85","PRNP","YWHAB",0.248835816625388,3.82456136426672e-177,"Positive correlation"
"86","PRNP","CHMP2A",0.24880825366669,4.1940396974418e-177,"Positive correlation"
"87","PRNP","PI16",0.248362895613441,1.85812295993383e-176,"Positive correlation"
"88","PRNP","C19orf53",0.248307273271401,2.23727317242236e-176,"Positive correlation"
"89","PRNP","PRDX6",0.247752576761042,1.42179035176649e-175,"Positive correlation"
"90","PRNP","SRI",0.24771652676265,1.60309908086579e-175,"Positive correlation"
"91","PRNP","PMP22",0.247612365910278,2.26735111068199e-175,"Positive correlation"
"92","PRNP","FEZ1",0.24741201738173,4.41478980541483e-175,"Positive correlation"
"93","PRNP","DYNLL1",0.246638261223268,5.75538161622012e-174,"Positive correlation"
"94","PRNP","RPS28",0.245558198558986,2.04229126063668e-172,"Positive correlation"
"95","PRNP","RPS9",0.24490135659584,1.77433166032093e-171,"Positive correlation"
"96","PRNP","CRISPLD1",0.244569291509942,5.27990032877705e-171,"Positive correlation"
"97","PRNP","WDR83OS",0.244372332388623,1.00736583370907e-170,"Positive correlation"
"98","PRNP","MPC1",0.244225312406259,1.63097186360692e-170,"Positive correlation"
"99","PRNP","AGT",0.244097802436633,2.47640529574053e-170,"Positive correlation"
