"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"FO538757.2","PRNP_negative_cells",0.0959399693094706,0.520088265497999,0.424148296188528,5.73698499293634e-145,5.77255429989254e-141,"FO538757.2"
"AP006222.2","PRNP_positive_cells",0.157629303920025,0.578031945626107,0.420402641706081,0,0,"AP006222.2"
"NOC2L","PRNP_negative_cells",0.200056989262269,0.694466421442158,0.494409432179889,1.01980560659751e-93,1.02612840135842e-89,"NOC2L"
"HES4","PRNP_negative_cells",0.284107552079325,0.682648406871754,0.398540854792429,3.06163695518341e-13,3.08061910430554e-09,"HES4"
"ISG15","PRNP_negative_cells",0.775167803624436,1.69795307563299,0.922785272008551,6.97818347779912e-10,7.02144821536148e-06,"ISG15"
"AGRN","PRNP_negative_cells",0.163185821440765,0.415501278975224,0.252315457534459,5.99561810839334e-66,6.03279094066538e-62,"AGRN"
"SDF4","PRNP_positive_cells",0.0814321690395603,0.971558368187711,0.890126199148151,1.06757448893144e-276,1.07419345076281e-272,"SDF4"
"B3GALT6","PRNP_positive_cells",0.0095411821126164,0.269599849796689,0.260058667684073,7.02306589173609e-151,7.06660890026485e-147,"B3GALT6"
"UBE2J2","PRNP_positive_cells",0.0469431258559064,0.700641848150503,0.653698722294596,1.18652537120668e-258,1.19388182850816e-254,"UBE2J2"
"ACAP3","PRNP_negative_cells",0.444791385272136,0.770144759524056,0.32535337425192,8.18681968399423e-33,8.237577966035e-29,"ACAP3"
"PUSL1","PRNP_positive_cells",0.07000087152018,0.22242542552527,0.15242455400509,4.20847514696875e-148,4.23456769287995e-144,"PUSL1"
"CPSF3L","PRNP_negative_cells",0.0123848877566166,0.712498463629542,0.700113575872925,8.64590063799871e-261,8.6995052219543e-257,"CPSF3L"
"CPTP","PRNP_negative_cells",0.0151234602711664,0.291931867645172,0.276808407374006,1.42302308528304e-149,1.43184582841179e-145,"CPTP"
"DVL1","PRNP_negative_cells",0.079776185243573,0.228646935751926,0.148870750508353,1.55636689786847e-40,1.56601637263525e-36,"DVL1"
"MXRA8","PRNP_positive_cells",0.0799445737616996,0.180610036028722,0.100665462267022,1.00721719034252e-125,1.01346193692264e-121,"MXRA8"
"AURKAIP1","PRNP_positive_cells",0.140682214908817,1.67889579180948,1.53821357690066,1.94568314513125e-210,1.95774638063106e-206,"AURKAIP1"
"CCNL2","PRNP_negative_cells",0.0839130699607652,0.753324859950544,0.669411789989779,1.85213573481749e-178,1.86361897637336e-174,"CCNL2"
"MRPL20","PRNP_positive_cells",0.0586263401290632,1.70195035484103,1.64332401471197,1.3349143805041e-170,1.34319084966322e-166,"MRPL20"
"VWA1","PRNP_positive_cells",0.205966826542823,0.458401926117692,0.252435099574869,2.46453739501445e-232,2.47981752686354e-228,"VWA1"
"ATAD3B","PRNP_negative_cells",0.0285149085368285,0.158254135791816,0.129739227254987,2.85322601803656e-65,2.87091601934839e-61,"ATAD3B"
"ATAD3A","PRNP_negative_cells",0.0319760730493586,0.307923343463528,0.275947270414169,9.20749795335415e-134,9.26458444066495e-130,"ATAD3A"
"SSU72","PRNP_positive_cells",0.000795802484252484,1.30326432843503,1.30246852595078,4.87396576497832e-193,4.90418435272118e-189,"SSU72"
"RP11-345P4.9","PRNP_negative_cells",0.0206212775085755,0.388131017706031,0.367509740197456,3.12403886864774e-150,3.14340790963336e-146,"RP11-345P4.9"
"MIB2","PRNP_negative_cells",0.0494142172877171,0.426081986514022,0.376667769226305,4.94652152290939e-170,4.97718995635143e-166,"MIB2"
"CDK11B","PRNP_negative_cells",0.178384248034452,0.624289233463027,0.445904985428575,1.01054212846293e-123,1.0168074896594e-119,"CDK11B"
"SLC35E2B","PRNP_negative_cells",0.115472891019321,0.434631537006721,0.3191586459874,1.48833298733198e-102,1.49756065185344e-98,"SLC35E2B"
"CDK11A","PRNP_negative_cells",0.13723200184647,0.447028880175667,0.309796878329197,2.71399251069403e-86,2.73081926426033e-82,"CDK11A"
"NADK","PRNP_negative_cells",0.0174637582901519,0.326772008772539,0.309308250482388,5.76257725029341e-148,5.79830522924523e-144,"NADK"
"GNB1","PRNP_negative_cells",0.188564869325857,1.04081816236258,0.852253293036727,7.4807901704443e-154,7.52717106950105e-150,"GNB1"
"FAAP20","PRNP_negative_cells",0.0227838047627968,1.07959172407109,1.05680791930829,1.92298800669432e-210,1.93491053233583e-206,"FAAP20"
"SKI","PRNP_negative_cells",0.0514674553931538,0.401832305522167,0.350364850129013,1.69726459498591e-140,1.70778763547482e-136,"SKI"
"RER1","PRNP_positive_cells",0.201627903673264,1.20580362031898,1.00417571664571,0,0,"RER1"
"PEX10","PRNP_positive_cells",0.146006962587964,0.713833043941791,0.567826081353827,0,0,"PEX10"
