"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035194","BP","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene silencing",40,0.669368054211888,1.62120345231437,1e-04,0.0375666666666667,0.0345263157894737,649,"tags=45%, list=13%, signal=40%","XIST/NEAT1/KCNQ1OT1/EIF4G1/MIAT/MIRLET7BHG/DHX9/CELF1/TNRC6A/ADAR/CNOT1/TNRC6B/MEG3/PUM2/AGO2/RBM4/DDX6/AGO1"
"GO:0015631","MF","GO:0015631","tubulin binding",136,0.561496100686596,1.45297752206826,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1477,"tags=53%, list=29%, signal=39%","STMN1/STMN4/DST/MAP2/MACF1/CENPF/KIF5C/DDX3X/OFD1/BIRC5/CLASP2/KIF1A/KIF1B/MAP4K4/LRPPRC/KIF21A/KIF5A/TAOK1/ARL4C/MX1/HSPH1/NIN/ADNP/CRYAB/ARHGEF2/CLASP1/RCC2/MAP1B/NUSAP1/NUMA1/MAP4/HOOK3/CAMSAP1/GOLGA2/CCDC66/CACYBP/EML4/ATF5/CAMSAP2/NCALD/HTT/RABGAP1/TPPP/ZNF207/GABARAP/CLIP2/MAP1A/NISCH/KIFC2/SMC3/CCDC88A/CDK5R1/CKAP5/TBCD/PAFAH1B1/STRBP/GIT1/CCSAP/BRCA1/CETN3/RACGAP1/CFAP157/DIP2B/PHF6/SUN2/SETD2/CDK5RAP2/FMR1/REEP1/SPAST/CEP350/DAG1"
"GO:0051129","BP","GO:0051129","negative regulation of cellular component organization",234,0.506266070142938,1.3323799719437,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1581,"tags=49%, list=31%, signal=35%","MDM2/SPP1/APOC1/PIK3R1/STMN1/NR2F1/MAP2/RAB3IP/CENPF/DDX3X/BIRC5/TMSB15A/MAD2L1/CLASP2/IFRD1/MMP14/PTPRS/TAOK1/PPP3CA/CCP110/SUB1/HNRNPC/TFRC/ATM/DPYSL3/ATRX/MPHOSPH9/CORO1C/THY1/DENND5A/FAT3/SVIP/HNRNPU/PTPRG/SPTBN1/SORL1/THRA/CRYAB/PFN2/SPTAN1/SRGAP2C/CFLAR/FLNA/ARHGEF2/CLASP1/RUFY3/RCC2/MAP1B/ROBO2/BUB3/MAP4/TMEM67/ROCK2/RBM14/PARP1/CAPZA1/EVL/EPHA4/CAMSAP2/WASF2/YAP1/EHMT2/SMARCA5/HSPA1B/KANK1/JAM3/ZNF207/SLC35F6/CHEK1/NOTCH1/ADD1/PFDN2/DNAJB2/FNIP1/TBCD/SSH2/SEC22B/SYNGAP1/HUWE1/DNAJB6/PAFAH1B1/DPYSL5/MYLIP/RAF1/RAD21/TNKS/CCNB1/ITGAV/TRIM37/BRCA1/FLCN/CEP97/DCP2/KAT2A/ATXN7/BAG5/AKT1/ATXN2/DIP2B/XRCC5/DYRK1A/CDK5RAP2/PTPN13/KAT2B/PIK3CA/ROCK1/RAPGEF2/GSK3B/OPA1/WDR47/HDAC2/PLXNA3/RYK/ABCA2"
"GO:0042127","BP","GO:0042127","regulation of cell population proliferation",617,0.482491273698308,1.29579240349908,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1430,"tags=39%, list=28%, signal=32%","NEAT1/SOX11/CDKN2A/FBLN1/MDM2/SPP1/CD74/MALAT1/LIFR/CDK4/GPM6A/PIK3R1/NFIB/MEIS2/MDM4/NR2F1/HMGB2/LTBP3/ACAP3/MAP2/MACF1/TXNIP/ARHGAP5/RAB3IP/MYO10/EZH2/PHF14/NFKBIA/CCND2/BIRC5/POU3F3/MDK/PTPRZ1/PRKDC/KIF1A/CDKN2C/ASPH/IFRD1/SKAP2/TYROBP/SF1/PTPRS/HP1BP3/NF1/PPP3CA/HIPK1/SOX8/FSCN1/EIF4G2/DHX9/HLA-DPA1/AUTS2/PAXBP1/DLG1/CELF1/POU3F2/SCRIB/CCP110/MIF/BIRC6/ADGRG1/FZD3/PHIP/HMGN5/TFRC/ADAM17/AIF1/SYNE1/CD24/PTK2/ATM/DPYSL3/SYNE2/ZBTB16/KMT2A/ABI2/HLA-DPB1/TNC/HLA-E/RBBP4/KIDINS220/C1orf56/TOB1/LRRC4C/MPHOSPH9/CORO1C/CTBP1/FNBP1L/THY1/FOXJ1/SCARB2/PTPRK/BTG3/TANC2/NIN/DENND5A/FAT3/ASCL1/ADNP/HNRNPU/PTPRG/NEDD4L/PUM2/MAFG/RICTOR/PFN2/PTBP2/SKIL/NCKAP1/SRGAP2C/BMPR1B/VCAM1/LRP6/CFLAR/FLNA/ARHGEF2/CTNNB1/TSPAN31/RUFY3/ACTR2/BCL7A/RCC2/MAP1B/ROBO2/PROX1/MAP4/TP53INP1/NOTCH2/SMARCA2/NR4A1/HIF1A/SSBP3/KLF9/GNA12/ABL1/MARCKSL1/EMP2/MEF2C/VCAN/EVL/CROCC/SCG2/SUZ12/EPHA4/BCL6/UHRF1/COBL/ATF5/CAMSAP2/ARID2/SMARCD1/WASF2/MAZ/NLGN2/YAP1/HTT/RBM5/ZMYND8/EPS15/AGO3/PLXNB2/CYLD/PTPRD/PBX1/VIPR2/ROBO1/TRIM24/RBPJ/HSPA1B/MECP2/WDR6/SNAP25/IER5/KANK1/PTGDS/DHX36/DLG5/ENC1/FZD1/TNIK/CDK6/SLC35F6/CHEK1/AGRN/NOTCH1/STAT2/PTPRF/ZEB1/INPPL1/CCDC88A/FOXG1/DNAJB2/CDK5R1/SETX/HIPK2/FNIP1/IST1/SYNGAP1/TMEM30A/VHL/PAFAH1B1/SIPA1L1/DPYSL5/MYLIP/RAF1/STAT1/PTK7/ABL2/TMEM106B/FXR2/CCNB1/RPA3/MTSS1/ITGAV/STK4/MFN2/PLXNB1/COPS8/PBRM1/PRKCA/TFDP1/DBN1/UFL1/PLAU/FLCN/AKT3/CEP97/RBFOX2/KAT2A/BAG5/AKT1/JARID2/PLCG1/IL6ST/DIP2B/PBXIP1/XRCC5/CD46/OSMR/FMR1/MAPK1/ZNF703/IFT80"
"GO:0022008","BP","GO:0022008","neurogenesis",569,0.480269225573528,1.28829538226364,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1581,"tags=43%, list=31%, signal=33%","SOX11/HES6/MDM2/SPP1/TCF4/GPM6A/GPC1/NFIB/STMN1/STMN4/PCP4/WEE1/NR2F1/HMGB2/ACAP3/MAP2/NRXN1/MACF1/DDIT4/EZH2/C1QA/KIF5C/UBA6/MARCKS/MDK/PTPRZ1/NCAM1/ADGRV1/EIF4G1/RERE/KIF1A/MAP4K4/CDKN2C/IFRD1/MMP14/SUN1/ZEB2/YWHAG/KIF5A/PTPRS/TAOK1/NF1/PPP3CA/HIPK1/SOX8/SPAG9/EIF4G2/AUTS2/ETV1/TRIO/PLP1/POU3F2/SCRIB/NAV2/PHACTR1/OLIG1/NFIA/RORB/ADGRG1/CTTN/FZD3/ADAM17/PCM1/DYNC2H1/SYNE1/PTK2/ARHGEF40/DPYSL3/SYNE2/ABI2/TNC/NTM/KIDINS220/LRRC4C/HDAC9/RTN1/ASTN2/THY1/SCARB2/ECE1/TANC2/NIN/DENND5A/FAT3/ASCL1/CRB1/ADNP/PTPRG/TOP2B/PLEC/APLP2/NEDD4L/FRYL/SORL1/PUM2/ASAP1/ENAH/P2RY1/SKIL/NCKAP1/SRGAP2C/BMPR1B/VCAM1/LRP6/CFLAR/FLNA/ARHGEF2/IGSF10/CTNNB1/SOX6/ARHGEF25/MIB1/CCL3/RUFY3/ITGB4/MAP1B/ROBO2/PROX1/DDX6/MAP4/CHD7/DIP2A/NOTCH2/B4GALT5/HOOK3/HIF1A/ALCAM/NR3C1/PEX13/ABL1/CAMSAP1/MEF2C/VCAN/SUZ12/TTL/EPHA4/BCL6/COBL/ATF5/CAMSAP2/SLC4A7/UHMK1/C9orf72/LAMB2/THOC2/NLGN2/YAP1/EMX2/EHMT2/USP33/ZMYND8/PLXNB2/KIAA0319L/DOCK7/PTPRD/PBX1/ROBO1/RBPJ/MECP2/SNAP25/KANK1/DHX36/CSPG4/DLG5/TPPP/ENC1/FZD1/TNIK/CDK6/AGRN/NOTCH1/HLTF/NCOA1/MAP1A/PTPRF/ZEB1/CCDC88A/UPF3B/GIGYF2/C1QL1/FOXG1/CDK5R1/SETX/HIPK2/TBCD/IST1/SYNGAP1/NKX2-2/TMEM30A/VHL/PAFAH1B1/SIPA1L1/DPYSL5/MYLIP/PTK7/ABL2/TMEM106B/WNK1/GIT1/CXCR4/SPEN/PLXNB1/ZDHHC17/DBN1/UFL1/AHI1/MMD/CELSR2/BAG5/RACGAP1/AKNA/AKT1/OGDH/SMARCA1/IL6ST/CSNK1E/DIP2B/XRCC5/SUN2/SRGAP2/CDK5RAP2/TAOK2/FMR1/MAPK1/SPAST/YTHDF2/KAT2B/RPS6KA5/DAG1/ROCK1/RAPGEF2/RAP2A/CSPG5/GSK3B/GAS7/WDR47/DICER1/HDAC2/PLXNA3/MOV10/NSMF/RYK/DAGLB/ABCA2"
"GO:0031175","BP","GO:0031175","neuron projection development",343,0.484092916850434,1.28676486116297,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1578,"tags=44%, list=31%, signal=33%","MDM2/SPP1/GPM6A/NFIB/STMN1/STMN4/WEE1/NR2F1/ACAP3/MAP2/NRXN1/MACF1/EZH2/KIF5C/UBA6/MDK/PTPRZ1/NCAM1/ADGRV1/RERE/KIF1A/MAP4K4/IFRD1/KIF5A/PTPRS/PPP3CA/SPAG9/EIF4G2/AUTS2/ETV1/TRIO/PLP1/POU3F2/SCRIB/PHACTR1/OLIG1/CTTN/FZD3/ADAM17/SYNE1/PTK2/ARHGEF40/DPYSL3/ABI2/TNC/KIDINS220/LRRC4C/THY1/SCARB2/ECE1/TANC2/NIN/DENND5A/FAT3/ADNP/PTPRG/TOP2B/APLP2/NEDD4L/FRYL/PUM2/ASAP1/ENAH/SKIL/NCKAP1/SRGAP2C/BMPR1B/CFLAR/FLNA/CTNNB1/ARHGEF25/RUFY3/MAP1B/ROBO2/MAP4/DIP2A/NOTCH2/B4GALT5/ALCAM/ABL1/CAMSAP1/MEF2C/TTL/EPHA4/COBL/CAMSAP2/UHMK1/C9orf72/LAMB2/NLGN2/USP33/ZMYND8/PLXNB2/DOCK7/PTPRD/ROBO1/MECP2/SNAP25/KANK1/DHX36/DLG5/ENC1/FZD1/TNIK/NOTCH1/MAP1A/PTPRF/CCDC88A/UPF3B/FOXG1/CDK5R1/SETX/IST1/SYNGAP1/TMEM30A/PAFAH1B1/SIPA1L1/DPYSL5/MYLIP/PTK7/ABL2/TMEM106B/CXCR4/PLXNB1/ZDHHC17/DBN1/CELSR2/BAG5/AKT1/DIP2B/SRGAP2/TAOK2/FMR1/SPAST/KAT2B/RPS6KA5/DAG1/ROCK1/RAPGEF2/RAP2A/CSPG5/GSK3B/GAS7/WDR47/DICER1/HDAC2/PLXNA3/MOV10/NSMF/RYK"
"GO:0008284","BP","GO:0008284","positive regulation of cell population proliferation",348,0.481271952604119,1.27965627318117,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1461,"tags=41%, list=28%, signal=31%","NEAT1/SOX11/MDM2/CD74/MALAT1/LIFR/CDK4/GPM6A/PIK3R1/MEIS2/HMGB2/LTBP3/MACF1/ARHGAP5/EZH2/CCND2/BIRC5/POU3F3/MDK/NF1/PPP3CA/HIPK1/SOX8/FSCN1/EIF4G2/DHX9/HLA-DPA1/AUTS2/PAXBP1/DLG1/POU3F2/CCP110/MIF/BIRC6/ADGRG1/FZD3/PHIP/HMGN5/TFRC/ADAM17/AIF1/SYNE1/CD24/PTK2/DPYSL3/ABI2/HLA-DPB1/TNC/HLA-E/KIDINS220/CORO1C/FNBP1L/SCARB2/NIN/ASCL1/ADNP/HNRNPU/PUM2/RICTOR/SKIL/NCKAP1/VCAM1/CFLAR/FLNA/CTNNB1/TSPAN31/RUFY3/ACTR2/BCL7A/MAP1B/ROBO2/PROX1/NOTCH2/SMARCA2/NR4A1/HIF1A/SSBP3/ABL1/MARCKSL1/EMP2/MEF2C/VCAN/CROCC/SCG2/SUZ12/EPHA4/BCL6/COBL/SMARCD1/WASF2/MAZ/NLGN2/YAP1/HTT/ZMYND8/PLXNB2/PTPRD/PBX1/ROBO1/RBPJ/MECP2/DHX36/ENC1/FZD1/CDK6/SLC35F6/AGRN/NOTCH1/CCDC88A/FOXG1/SETX/HIPK2/IST1/TMEM30A/VHL/PAFAH1B1/STAT1/PTK7/ABL2/TMEM106B/CCNB1/ITGAV/MFN2/PLXNB1/PRKCA/DBN1/UFL1/AKT3/KAT2A/AKT1/PLCG1/IL6ST/PBXIP1/CD46/OSMR/FMR1/MAPK1/ZNF703/RPRD1B/KAT2B/PIK3CA"
"GO:0007017","BP","GO:0007017","microtubule-based process",340,0.481253984648453,1.27893578460928,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1575,"tags=45%, list=30%, signal=33%","DCTN2/STMN1/STMN4/WEE1/IQCA1/DST/PDE4DIP/MAP2/MACF1/XPO1/KIF5C/OFD1/DNAH11/BIRC5/MAD2L1/CLASP2/KIF1A/KIF1B/DDB1/LRPPRC/KIF21A/SMC1A/SUN1/KIF5A/TAOK1/RFX3/DLG1/ARHGAP21/CFAP73/CCP110/PCM1/DYNC2H1/SYNE2/DYNC1H1/ATRX/KPNB1/FOXJ1/NIN/SON/FIGN/HNRNPU/RANBP1/FMN2/CRYAB/AKAP9/SRGAP2C/ASH1L/FLNA/ARHGEF2/CTNNB1/CLASP1/ACTR2/DYNC1LI2/MAP1B/NUSAP1/HYDIN/NUMA1/TUBB/MAP4/TMEM67/BBS2/CHMP4A/ROCK2/HOOK3/HIF1A/STAG2/PEX13/ABL1/RBM14/GPSM2/CAMSAP1/GOLGA2/STAG1/CCDC66/PKD1/DNAH7/CROCC/EML4/TTL/CLTC/ATF5/CAMSAP2/RNF19A/RANBP9/HTT/USP33/DOCK7/CYLD/HSPA1B/MECP2/DNAJA1/TPPP/SSX2IP/ZNF207/CHEK1/CHD3/GABARAP/CLIP2/MAP1A/NISCH/KIFC2/SMC3/CCDC88A/CNTLN/DNAAF1/SPG7/CDK5R1/CKAP5/TBCD/PLK2/PAFAH1B1/TNKS/CENPH/GIT1/CCNB1/CCSAP/TRIM37/CFAP54/MAP3K11/BRCA1/CETN3/BICD1/CEP97/CFAP70/DYNLL2/KAT2A/CELSR2/ATXN7/RACGAP1/CFAP157/DYRK1A/SUN2/SRGAP2/SETD2/CDK5RAP2/SYBU/KLC1/IFT80/UBXN2B/SPAST/KAT2B/CEP350/DAG1/ROCK1/DIAPH1/VCP/GSK3B/OPA1/SS18/WDR47/CCNL1/VPS13A"
"GO:0007417","BP","GO:0007417","central nervous system development",337,0.480981571157788,1.27803891968402,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1417,"tags=40%, list=27%, signal=31%","SOX11/NFIB/MEIS2/PGAP1/MSI2/MAP2/DDIT4/EZH2/C1QA/CKB/CENPF/NNAT/UBA6/POU3F3/MARCKS/MDK/PTPRZ1/PRKDC/RERE/ABAT/CCDC14/CDKN2C/SUN1/TYROBP/ZEB2/PTPRS/TAOK1/NF1/SOX8/PLP1/POU3F2/SCRIB/NAV2/PHACTR1/OLIG1/ADGRG1/TRA2B/FZD3/PCM1/DYNC2H1/ATM/SYNE2/ZBTB16/RBBP4/SLC38A2/ATRX/CORO1C/RTN1/FOXJ1/NIN/ASCL1/TOP2B/APLP2/SPTBN1/RRM1/ATXN1/NCOR2/NCKAP1/SRGAP2C/BMPR1B/LRP6/FLNA/CTNNB1/SOX6/KDM6B/ROBO2/PROX1/HYDIN/BBS2/CHD7/B4GALT5/HOOK3/HIF1A/SSBP3/NR3C1/PEX13/ABL1/MARCKSL1/VCAN/PKD1/SUZ12/EPHA4/ATF5/LAMB2/EMX2/SEC16A/DHX30/TMEM14B/PLXNB2/DOCK7/PBX1/ROBO1/RBPJ/MECP2/RAB3GAP1/DLG5/TPPP/FZD1/CDK6/CHD8/NOTCH1/NCOA1/SOX12/GART/ANKLE2/ZEB1/UPF3B/GIGYF2/FOXG1/CDK5R1/GNB4/NKX2-2/PAFAH1B1/FXR2/ATN1/GIT1/CXCR4/STK4/MAFB/RFX4/AKT3/AHI1/KAT2A/CELSR2/AKNA/OGDH/JARID2/SMARCA1/IL6ST/CSNK1E/TAF1/SUN2/SRGAP2/SETD2/CDK5RAP2/MAPK1"
"GO:0030182","BP","GO:0030182","neuron differentiation",471,0.477911788480126,1.27798840816169,9.99900009999e-05,0.0375666666666667,0.0345263157894737,1220,"tags=35%, list=24%, signal=30%","SOX11/MDM2/SPP1/TCF4/GPM6A/NFIB/STMN1/STMN4/PCP4/WEE1/NR2F1/ACAP3/MAP2/NRXN1/MACF1/DDIT4/EZH2/C1QA/KIF5C/UBA6/MDK/PTPRZ1/NCAM1/ADGRV1/EIF4G1/RERE/KIF1A/MAP4K4/IFRD1/YWHAG/KIF5A/PTPRS/TAOK1/PPP3CA/HIPK1/SOX8/SPAG9/EIF4G2/AUTS2/ETV1/TRIO/PLP1/POU3F2/SCRIB/PHACTR1/OLIG1/NFIA/RORB/CTTN/FZD3/ADAM17/DYNC2H1/SYNE1/PTK2/ARHGEF40/DPYSL3/ABI2/TNC/NTM/KIDINS220/LRRC4C/HDAC9/RTN1/THY1/SCARB2/ECE1/TANC2/NIN/DENND5A/FAT3/ASCL1/CRB1/ADNP/PTPRG/TOP2B/APLP2/NEDD4L/FRYL/PUM2/ASAP1/ENAH/SKIL/NCKAP1/SRGAP2C/BMPR1B/VCAM1/LRP6/CFLAR/FLNA/ARHGEF2/CTNNB1/ARHGEF25/MIB1/RUFY3/MAP1B/ROBO2/PROX1/DDX6/MAP4/DIP2A/NOTCH2/B4GALT5/HIF1A/ALCAM/ABL1/CAMSAP1/MEF2C/TTL/EPHA4/BCL6/COBL/ATF5/CAMSAP2/SLC4A7/UHMK1/C9orf72/LAMB2/THOC2/NLGN2/EMX2/EHMT2/USP33/ZMYND8/PLXNB2/DOCK7/PTPRD/PBX1/ROBO1/RBPJ/MECP2/SNAP25/KANK1/DHX36/DLG5/ENC1/FZD1/TNIK/AGRN/NOTCH1/NCOA1/MAP1A/PTPRF/ZEB1/CCDC88A/UPF3B/GIGYF2/C1QL1/FOXG1/CDK5R1/SETX/HIPK2/TBCD/IST1/SYNGAP1/NKX2-2/TMEM30A/VHL/PAFAH1B1/SIPA1L1/DPYSL5/MYLIP/PTK7/ABL2/TMEM106B/WNK1/GIT1/CXCR4"
