"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0008380","RNA splicing","212/4418","478/18870",1.53047597485757e-24,7.05426320302812e-21,5.58368364896416e-21,"CCNL2/TARDBP/KDM1A/HNRNPR/SRSF10/SRRM1/PPP1R8/TAF12/SRSF4/ZBTB8OS/SFPQ/THRAP3/SNIP1/PRPF38A/SRSF11/ZRANB2/RBMXL1/ZNF326/PTBP2/RNPC3/PRPF38B/WDR77/DDX20/RBM8A/PRPF3/SCNM1/ILDR2/DHX9/IVNS1ABP/SNRPE/SDE2/HNRNPU/SUPT7L/HNRNPLL/TIA1/SNRPG/ZNF638/SNRNP200/C2orf49/IWS1/HNRNPA3/SF3B1/CLK1/TSEN2/KAT2B/RBM6/RBM5/RBM15B/PCBP4/ATXN7/PPP4R2/ISY1/DBR1/MBNL1/CCNL1/FXR1/TRA2B/DHX15/RBM47/METTL14/SREK1IP1/PPWD1/SREK1/PIK3R1/TAF9/DDX46/TCERG1/THOC3/CLK4/HNRNPH1/PRPF4B/SNRNP48/DHX16/DDX39B/SRPK1/CDC5L/SYNCRIP/SRSF12/CDC40/WTAP/QKI/TRA2A/HNRNPA2B1/CDK13/TRRAP/LSM8/RBM28/LUC7L2/AKAP17A/ZRSR2/RBM10/NONO/RBM41/THOC2/HTATSF1/RBMX/FMR1/CCAR2/RBM12B/ENY2/PSIP1/SMU1/HNRNPK/NCBP1/PTBP3/PRPF4/SETX/CELF1/PRPF19/AHNAK/SF1/SART1/SF3B2/RBM14/RBM4/RBM4B/CWF19L2/BUD13/DCPS/RBM17/CELF2/HNRNPH3/ECD/FRA10AC1/SMNDC1/SCAF11/SLC38A2/DDX23/PRPF40B/RPS26/ZC3H10/SNRPF/SART3/RBM19/ZCCHC8/SFSWAP/PUS1/SUPT20H/HNRNPC/METTL3/RBM23/PRMT5/ACIN1/NOVA1/GEMIN2/PNN/PRPF39/RBM25/NRDE2/AQR/PDCD7/SNRPA1/LUC7L/RNPS1/SRRM2/SGF29/CD2BP2/FUS/SF3B3/TXNL4B/DHX38/PRPF8/METTL16/POLR2A/FXR2/USP22/SUPT6H/NSRP1/ZNF830/TAF15/CWC25/CDK12/CASC3/KAT2A/DHX8/EFTUD2/PPP1R9B/LUC7L3/COIL/SRSF1/DDX5/TSEN54/JMJD6/SRSF2/THOC1/METTL4/SNRPD1/CRNKL1/RBM12/RBM38/KHSRP/HNRNPM/SUGP2/HNRNPL/CLASRP/NOVA2/SNRNP70/SCAF1/U2AF2/ARVCF/PPIL2/SNRPD3/TFIP11/ZMAT5/RBFOX2/DDX17/SNU13/PAXBP1/SON/DYRK1A/U2AF1/RRP1B",212
"2","Upregulated","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","205/4418","458/18870",2.25339824405945e-24,7.05426320302812e-21,5.58368364896416e-21,"DVL1/UBE4B/CDC20/FAF1/ZYG11B/GLMN/UBQLN4/EDEM3/UCHL5/WDR26/UBXN2A/SOCS5/XPO1/PELI1/RNF103/RMND5A/ANAPC1/UBXN4/UBR3/DNAJC10/SUMO1/ZFAND2B/ANKZF1/DNAJB2/CUL3/TRIP12/VHL/STT3B/CTNNB1/SMARCC1/ARIH2/USP19/FHIT/RYBP/GSK3B/ANAPC13/ARMC8/WWTR1/SIAH2/TBL1XR1/PSMD2/UBXN7/FBXO45/TMEM129/RNF4/WFS1/UBE2K/CLOCK/USP38/FBXW7/TRIM2/SH3RF1/FBXL7/SKP2/FBXO4/RNF180/TAF9/RHOBTB3/FBXL17/PJA2/APC/FEM1C/UBE2B/CDC23/CSNK1A1/FBXW11/FAF2/MAPK9/FAM8A1/TRIM39/BAG6/HSPA1B/UBR2/FBXO9/GCLC/UBE3D/AKIRIN2/UBE2J1/UFL1/FBXL4/ASCC3/ZFAND2A/GNA12/RNF216/ANKIB1/SMURF1/UBE2H/KLHDC10/TMUB1/AGAP3/TBL1X/USP9X/UBQLN2/TAF1/OGT/SH3BGRL/PSMD10/MTM1/CCAR2/PBK/PPP2CB/ERLIN2/UBXN2B/UBE2W/WWP1/TMEM67/RNF19A/DCAF13/PHF20L1/FBXL6/IL33/VCP/MAN1B1/ANAPC2/PSMA1/SVIP/DDB1/SYVN1/CUL5/UBE4A/WAC/CUL2/UBE2D1/ZSWIM8/FBXL15/USP5/SPSB2/KLHL42/PCBP2/CDK2/DDIT3/OS9/MDM2/KCTD10/ANAPC7/CHFR/KBTBD6/KBTBD7/TRIM13/PSMB5/DCAF11/HECTD1/PSMA6/FBXO33/TRIM9/PSMC6/STYX/SOCS4/JKAMP/SEL1L/ATXN3/PPP2R5C/ANKRD9/BAG5/AKT1/MTA1/HERC2/UBR1/MAP1A/PIAS1/FEM1B/ARIH1/PML/AXIN1/ZNF598/KCTD5/USP7/KCTD13/N4BP1/AMFR/WWP2/ZNRF1/FBXO31/UBE2G1/ARRB2/GABARAP/GID4/RFFL/FBXL20/PSMD3/CDC27/TRIM25/APPBP2/TLK2/SMURF2/PSMD12/KCTD2/NPLOC4/CSNK1D/USP14/NEDD4L/ITCH/UBE2C/HSPBP1/UBE2S/KLHL22/ASCC2/RNF185/FOXRED2/KCTD17/CSNK1E/RBX1/DESI1/LTN1/UBE2G2",205
"3","Upregulated","BP","GO:0006913","nucleocytoplasmic transport","160/4418","330/18870",1.13883761404764e-23,1.78256557538807e-20,1.41095986498323e-20,"TARDBP/KPNA6/ZC3H12A/IPO13/EFCAB7/AHCYL1/RBM8A/TXNIP/SMG5/UHMK1/DHX9/SMG7/TPR/IPO9/ZC3H11A/PTPN14/NUP133/AHCTF1/DNAJC27/XPO1/RANBP2/IWS1/ATF2/NUP35/SUMO1/BARD1/AGFG1/SP100/NUP210/SETD2/RBM15B/APPL1/GSK3B/KPNA1/KPNA4/NMD3/LSG1/FYTTD1/NUP54/EIF4E/PPP3CA/ABCE1/NSUN2/NUP155/IPO11/PIK3R1/TNPO1/RIOK2/FAM53C/THOC3/ATXN1/NUP153/E2F3/PPP1R10/IER3/CCHCR1/DDX39B/MAPK14/XPO5/AKIRIN2/KPNA5/NUP43/HNRNPA2B1/GLI3/POM121/POM121C/SMURF1/MDFIC/SMO/NUP205/THOC2/FMR1/FLNA/XPO7/PKIA/STK3/UBR5/ENY2/RANBP6/IL33/NCBP1/ANP32B/GLE1/NUP188/NUP214/TSC1/NOTCH1/IPO7/HTATIP2/CRY2/NUP160/NXF1/RBM4/UPF2/WNK1/DUSP16/CDKN1B/IPO8/AAAS/SARNP/XPOT/NUP107/MDM2/CPSF6/PPP1R12A/PTPN11/XPO4/NUP58/IPO5/PABPN1/PRKD1/NFKBIA/STYX/PPM1A/NRDE2/AKT1/CTDSPL2/SPG11/PML/AXIN1/UBE2I/TSC2/PKD1/SMG1/XPO6/NUTF2/DDX19A/SMG6/NCBP3/NUP88/RPAIN/TP53/ALKBH5/SUPT6H/NF1/MED1/CASC3/STAT3/KPNB1/KPNA2/NUP85/SIRT7/THOC1/SEH1L/MALT1/MAVS/FERMT1/STK4/CSE1L/PRKACA/UPF1/TRIM28/RANBP1/ANKRD54/EP300/RANGAP1/DESI1/POLDIP3/NUP50/MCM3AP",160
"4","Upregulated","BP","GO:0051169","nuclear transport","160/4418","330/18870",1.13883761404764e-23,1.78256557538807e-20,1.41095986498323e-20,"TARDBP/KPNA6/ZC3H12A/IPO13/EFCAB7/AHCYL1/RBM8A/TXNIP/SMG5/UHMK1/DHX9/SMG7/TPR/IPO9/ZC3H11A/PTPN14/NUP133/AHCTF1/DNAJC27/XPO1/RANBP2/IWS1/ATF2/NUP35/SUMO1/BARD1/AGFG1/SP100/NUP210/SETD2/RBM15B/APPL1/GSK3B/KPNA1/KPNA4/NMD3/LSG1/FYTTD1/NUP54/EIF4E/PPP3CA/ABCE1/NSUN2/NUP155/IPO11/PIK3R1/TNPO1/RIOK2/FAM53C/THOC3/ATXN1/NUP153/E2F3/PPP1R10/IER3/CCHCR1/DDX39B/MAPK14/XPO5/AKIRIN2/KPNA5/NUP43/HNRNPA2B1/GLI3/POM121/POM121C/SMURF1/MDFIC/SMO/NUP205/THOC2/FMR1/FLNA/XPO7/PKIA/STK3/UBR5/ENY2/RANBP6/IL33/NCBP1/ANP32B/GLE1/NUP188/NUP214/TSC1/NOTCH1/IPO7/HTATIP2/CRY2/NUP160/NXF1/RBM4/UPF2/WNK1/DUSP16/CDKN1B/IPO8/AAAS/SARNP/XPOT/NUP107/MDM2/CPSF6/PPP1R12A/PTPN11/XPO4/NUP58/IPO5/PABPN1/PRKD1/NFKBIA/STYX/PPM1A/NRDE2/AKT1/CTDSPL2/SPG11/PML/AXIN1/UBE2I/TSC2/PKD1/SMG1/XPO6/NUTF2/DDX19A/SMG6/NCBP3/NUP88/RPAIN/TP53/ALKBH5/SUPT6H/NF1/MED1/CASC3/STAT3/KPNB1/KPNA2/NUP85/SIRT7/THOC1/SEH1L/MALT1/MAVS/FERMT1/STK4/CSE1L/PRKACA/UPF1/TRIM28/RANBP1/ANKRD54/EP300/RANGAP1/DESI1/POLDIP3/NUP50/MCM3AP",160
"5","Upregulated","BP","GO:0040029","epigenetic regulation of gene expression","119/4418","229/18870",4.65340833256489e-21,5.63826421332322e-18,4.46287341291129e-18,"NOC2L/EXOSC10/KDM1A/ARID1A/SCMH1/GLMN/MTF2/LRIF1/SETDB1/IFI16/TPR/RBBP5/ARID4B/HNRNPU/DNMT3A/SMYD5/RIF1/HAT1/ATF2/TRIP12/KAT2B/ZNF445/RBM15B/CGGBP1/PIK3CA/BCL6/RNF168/PCGF3/SMARCA5/ING2/LMNB1/CDYL/JARID2/KDM1B/TRIM27/UBR2/HDAC2/ARID1B/HDAC9/CBX3/HIPK2/EZH2/MSL3/HDAC6/OGT/RLIM/ATRX/HCFC1/MECP2/UBR5/DCAF13/PHF2/PHF19/WDR5/EHMT1/KCNQ1OT1/RRP8/CTR9/SPTY2D1/SPI1/DDB1/MEN1/RBM14/CREBZF/KMT2A/CHEK1/SUV39H2/BMI1/EPC1/TET1/PCGF5/HELLS/KDM5A/ATF7IP/SMARCD1/CDK2/BAZ2A/TDG/RB1/METTL3/BAZ1A/ARID4A/NRDE2/MTA1/SIN3A/AXIN1/GLYR1/USP7/SGF29/KAT8/BRD7/CTCF/TP53/SUZ12/MSL1/EZH1/BRCA1/HDAC5/KANSL1/KAT7/TRIM37/PPM1D/SIRT7/SMCHD1/MBD2/ZNF335/ZNFX1/MBD3/DOT1L/LMNB2/UHRF1/DNMT1/SAMD1/SPHK2/TRIM28/PICK1/EP300/DYRK1A/XIST",119
"6","Upregulated","BP","GO:0006403","RNA localization","107/4418","197/18870",5.40322397060203e-21,5.63826421332322e-18,4.46287341291129e-18,"EXOSC10/ZNHIT6/RBM8A/SMG5/CCT3/DHX9/SMG7/TPR/ZC3H11A/NUP133/HNRNPU/AHCTF1/PUM2/LRPPRC/PNPT1/XPO1/RANBP2/IWS1/KIF5C/NUP35/NOP58/AGFG1/NUP210/SETD2/RBM15B/DHX36/SENP2/FYTTD1/SLBP/G3BP2/NUP54/NAF1/NSUN2/NUP155/CETN3/DCP2/THOC3/NUP153/DDX39B/XPO5/NUP43/TCP1/QKI/HNRNPA2B1/CCT6A/POM121/POM121C/PEG10/NUP205/UPF3B/THOC2/FMR1/DKC1/TNKS/TERF1/STAU2/ENY2/ZC3H3/HSF1/BICD2/NCBP1/GLE1/NUP188/FUBP3/NUP214/TSC1/CKAP5/NUP160/NXF1/ATM/UPF2/WNK1/PARP11/BICD1/AAAS/SARNP/XPOT/NUP107/CPSF6/ATXN2/NUP58/PABPN1/NRDE2/PARN/NPIPA1/SMG1/NUTF2/DDX19A/SMG6/NCBP3/NUP88/ALKBH5/SUPT6H/ZNHIT3/CASC3/KPNB1/SRSF1/NUP85/THOC1/SEH1L/KHSRP/UPF1/TST/POLDIP3/NUP50/CCT8/MCM3AP",107
"7","Upregulated","BP","GO:0033044","regulation of chromosome organization","124/4418","247/18870",3.10538313660981e-20,2.77754340261629e-17,2.19851786573819e-17,"EXOSC10/MAD2L2/ARID1A/CDC20/SETDB1/SMG5/CCT3/TPR/UCHL5/NEK7/CENPF/PARP1/HNRNPU/SMC6/ANAPC1/INO80D/XRCC5/CUL3/SETMAR/KAT2B/DYNC1LI1/CTNNB1/SMARCC1/PBRM1/GNL3/XRN1/DHX36/SMC4/RNF4/HNRNPD/MAD2L1/SMARCA5/NAF1/SUB1/FBXO4/CCNB1/GTF2H2/SLF1/RIOK2/APC/DCP2/CDC23/PPP1R10/SENP6/PKIB/FBXO5/ARID1B/TCP1/PHF10/MAD1L1/HNRNPA2B1/CCT6A/BAZ1B/POT1/NCAPG2/HDAC8/ATRX/DKC1/MCPH1/TNKS/PINX1/HMBOX1/TERF1/RAD21/SMARCA2/SMC5/SMC2/CDK5RAP2/ANAPC2/NAT10/FEN1/DPF2/NUMA1/ATM/NFRKB/WAPL/TNKS2/SLF2/NSMCE4A/BUB3/ATF7IP/ARID2/SMARCD1/CDK2/SMARCC2/EID3/ANAPC7/MAPKAPK5/BCL7A/CHFR/RB1/HNRNPC/YLPM1/INO80/ZWILCH/PML/USP7/ERCC4/PARN/SMG1/MAPK3/BCL7C/BRD7/CTCF/TERF2/TERF2IP/SMG6/ZNF207/MAPT/CDC27/BIRC5/PSMG2/INO80C/SRC/UBE2C/MAP2K7/UPF1/PNKP/TFPT/TRIM28/KLHL22/MAPK1/NCAPH2/CCT8",124
"8","Upregulated","BP","GO:0051028","mRNA transport","77/4418","127/18870",2.75768780747463e-19,2.15823542032484e-16,1.70831502599876e-16,"RBM8A/SMG5/DHX9/SMG7/TPR/ZC3H11A/NUP133/AHCTF1/LRPPRC/XPO1/RANBP2/IWS1/KIF5C/NUP35/AGFG1/NUP210/SETD2/RBM15B/SENP2/FYTTD1/SLBP/G3BP2/NUP54/NSUN2/NUP155/CETN3/THOC3/NUP153/DDX39B/NUP43/QKI/HNRNPA2B1/POM121/POM121C/PEG10/NUP205/UPF3B/THOC2/FMR1/TNKS/ENY2/ZC3H3/HSF1/BICD2/NCBP1/GLE1/NUP188/NUP214/NUP160/NXF1/UPF2/WNK1/PARP11/AAAS/SARNP/NUP107/NUP58/PABPN1/NPIPA1/SMG1/NUTF2/DDX19A/SMG6/NCBP3/NUP88/ALKBH5/SUPT6H/CASC3/SRSF1/NUP85/THOC1/SEH1L/KHSRP/UPF1/POLDIP3/NUP50/MCM3AP",77
"9","Upregulated","BP","GO:0051236","establishment of RNA localization","89/4418","161/18870",2.33134409971906e-18,1.62183837870456e-15,1.28373894988039e-15,"RBM8A/SMG5/DHX9/SMG7/TPR/ZC3H11A/NUP133/AHCTF1/LRPPRC/PNPT1/XPO1/RANBP2/IWS1/KIF5C/NUP35/AGFG1/NUP210/SETD2/RBM15B/SENP2/FYTTD1/SLBP/G3BP2/NUP54/NSUN2/NUP155/CETN3/THOC3/NUP153/DDX39B/XPO5/NUP43/QKI/HNRNPA2B1/POM121/POM121C/PEG10/NUP205/UPF3B/THOC2/FMR1/TNKS/TERF1/ENY2/ZC3H3/HSF1/BICD2/NCBP1/GLE1/NUP188/NUP214/TSC1/CKAP5/NUP160/NXF1/ATM/UPF2/WNK1/PARP11/AAAS/SARNP/XPOT/NUP107/CPSF6/ATXN2/NUP58/PABPN1/NRDE2/NPIPA1/SMG1/NUTF2/DDX19A/SMG6/NCBP3/NUP88/ALKBH5/SUPT6H/CASC3/KPNB1/SRSF1/NUP85/THOC1/SEH1L/KHSRP/UPF1/TST/POLDIP3/NUP50/MCM3AP",89
"10","Upregulated","BP","GO:0050657","nucleic acid transport","87/4418","158/18870",7.81774601586366e-18,4.44971889139294e-15,3.52210031030489e-15,"RBM8A/SMG5/DHX9/SMG7/TPR/ZC3H11A/NUP133/AHCTF1/LRPPRC/PNPT1/XPO1/RANBP2/IWS1/KIF5C/NUP35/AGFG1/NUP210/SETD2/RBM15B/SENP2/FYTTD1/SLBP/G3BP2/NUP54/NSUN2/NUP155/CETN3/THOC3/NUP153/DDX39B/XPO5/NUP43/QKI/HNRNPA2B1/POM121/POM121C/PEG10/NUP205/UPF3B/THOC2/FMR1/TNKS/ENY2/ZC3H3/HSF1/BICD2/NCBP1/GLE1/NUP188/NUP214/TSC1/CKAP5/NUP160/NXF1/UPF2/WNK1/PARP11/AAAS/SARNP/XPOT/NUP107/CPSF6/ATXN2/NUP58/PABPN1/NRDE2/NPIPA1/SMG1/NUTF2/DDX19A/SMG6/NCBP3/NUP88/ALKBH5/SUPT6H/CASC3/KPNB1/SRSF1/NUP85/THOC1/SEH1L/KHSRP/UPF1/TST/POLDIP3/NUP50/MCM3AP",87
