"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",90,0.82134649046833,1.89187337107903,9.99900009999e-05,0.00690782292754857,0.00603968433581015,750,"tags=84%, list=15%, signal=73%","RPS4Y1/EEF1A1/RPL18A/RPS16/RPS28/RPS2/UBA52/RPS27A/RPL28/RPL21/RPL36/RPS15/RPL13A/RPL10/RPS6/RPS14/RPS5/RPS23/RPS19/RPS9/RPL13/RPL7/RPL7A/RPS27/RPL41/RPL27/RPL19/RPL4/RPS3A/RPSA/RPL6/RPLP0/RPL5/RPL15/RPLP1/RPL9/RPL23A/RPL3/RPL10A/RPS8/RPS21/RPL11/RPS12/RPL26/RPL18/RPS27L/RPL37A/RPL23/RPS13/RPL29/RPS17/RPL8/RPS10/RPL32/RPS4X/RPS24/RPL12/RPL30/RPL39/RPS15A/RPS29/RPL22/RPS18/RPL38/RPL35A/RPS3/RPLP2/RPL34/RPS20/RPS7/RPL31/RPL24/RPS11/FAU/RPL35/RPS25"
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit",35,0.848310172589227,1.86843401044974,0.000100030009002701,0.00690782292754857,0.00603968433581015,750,"tags=97%, list=15%, signal=83%","RPS4Y1/RPS16/RPS28/RPS2/UBA52/RPS27A/RPS15/RPS6/RPS14/RPS5/RPS23/RPS19/RPS9/RPS27/RPS3A/RPSA/RPS8/RPS21/RPS12/RPS27L/RPS13/RPS17/RPS10/RPS4X/RPS24/RPS15A/RPS29/RPS18/RPS3/RPS20/RPS7/RPS11/FAU/RPS25"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",108,0.782283800518975,1.81411313916056,9.99900009999e-05,0.00690782292754857,0.00603968433581015,845,"tags=78%, list=17%, signal=66%","RPL18A/RPS16/RPS28/RPS2/UBA52/RPS27A/RPL28/RPL21/RPL36/RPS15/RPL13A/RPL10/RPS6/EIF3K/RPS14/RPS5/RPS23/RPS19/RPS9/RPL13/RPL7/RPL7A/RPS27/RPL41/RPL27/RPL19/RPL4/PKM/RPS3A/YBX1/EIF3G/RPSA/RPL6/RPLP0/RPL5/RPL15/RPLP1/RPL9/RPL23A/RPL3/RPL10A/RPS8/RPS21/RPL11/RPS12/RPL26/RPL18/RPL37A/RPL23/RPS13/RPL29/EIF5/RPS17/RPL8/RPS10/RPL32/RPS4X/RPS24/RPL12/RPL30/RPL39/RPS15A/RPS29/RPL22/RPS18/RPL38/RPL35A/RPS3/RPLP2/RPL34/EIF2S2/EIF3I/RPS20/RPS7/RPL31/RPL24/RPS11/FAU/RPL35/RPS25/RWDD1/CNBP/RPL14/EIF3H"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",49,0.807156608525092,1.8123680129182,9.99900009999e-05,0.00690782292754857,0.00603968433581015,781,"tags=88%, list=16%, signal=74%","RPL18A/UBA52/RPL28/RPL21/RPL36/RPL13A/RPL10/RPL13/RPL7/RPL7A/RPL41/RPL27/RPL19/RPL4/RPL6/RPLP0/RPL5/RPL15/RPLP1/RPL9/RPL23A/RPL3/RPL10A/RPL11/RPL26/RPL18/RPL37A/RPL23/RPL29/RPL8/RPL32/RPL12/RPL30/RPL39/RPL22/RPL38/RPL35A/RPLP2/RPL34/RPL31/RPL24/RPL35/RPL36AL"
"GO:0005844","CC","GO:0005844","polysome",37,0.818259223713819,1.80891227783542,0.0001000100010001,0.00690782292754857,0.00603968433581015,677,"tags=78%, list=14%, signal=68%","RPS4Y1/VIM/CALR/EEF2/RPL18A/RPS28/RPL36/RPS6/RPS23/RPL7A/RPL41/RPL19/RPL6/RPL10A/RPS21/BTF3/RPL11/RPL18/RPL8/RPL32/RPS4X/RPL30/RPL39/RPS29/RPL38/RPS3/EIF4H/RPL31/RPL24"
"GO:0042788","CC","GO:0042788","polysomal ribosome",22,0.843140578938349,1.80203660116568,0.000100220485067148,0.00690782292754857,0.00603968433581015,677,"tags=95%, list=14%, signal=83%","RPL18A/RPS28/RPL36/RPS23/RPL7A/RPL41/RPL19/RPL6/RPL10A/RPS21/BTF3/RPL11/RPL18/RPL8/RPL32/RPL30/RPL39/RPS29/RPL38/RPL31/RPL24"
"GO:0042255","BP","GO:0042255","ribosome assembly",37,0.776892267884408,1.71746302541286,0.0001000100010001,0.00690782292754857,0.00603968433581015,502,"tags=51%, list=10%, signal=46%","RPS28/RPS15/RPL10/RPS14/RPS5/RPS19/RPS27/RPSA/RPL6/RPLP0/RPL5/RPL23A/RPL11/RPS27L/SBDS/EIF5/EIF6/RPL38/NPM1"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",138,0.731189905260915,1.70823392857386,9.99900009999e-05,0.00690782292754857,0.00603968433581015,781,"tags=62%, list=16%, signal=54%","RPS4Y1/RPL18A/RPS16/RPS28/RPS2/UBA52/RPS27A/RPL28/RPL21/RPL36/RPS15/RPL13A/RPL10/RPS6/RPS14/RPS5/RPS23/RPS19/RPS9/RPL13/RPL7/RPL7A/RPS27/RPL41/RPL27/RPL19/RPL4/RPS3A/RPSA/RPL6/RPLP0/RPL5/RPL15/RPLP1/RPL9/RPL23A/RPL3/RPL10A/RPS8/RPS21/RPL11/RPS12/RPL26/RPL18/MRPS12/RPS27L/RPL37A/RPL23/RPS13/RPL29/RPS17/RPL8/RPS10/RPL32/RPS4X/MRPL4/RPS24/RPL12/RPL30/RPL39/RPS15A/RPS29/RPL22/MRPL54/RPS18/RPL38/MRPL34/RPL35A/RPS3/RPLP2/RPL34/RPS20/RPS7/MRPL13/RPL31/RPL24/MRPS21/MRPL57/RPS11/FAU/MRPL51/RPL35/RPS25/MRPS18A/MRPL36/RPL36AL"
"GO:0032040","CC","GO:0032040","small-subunit processome",42,0.764322409604664,1.70259767373292,9.99900009999e-05,0.00690782292754857,0.00603968433581015,395,"tags=45%, list=8%, signal=42%","RPS16/RPS28/RPS27A/RPS6/RPS14/RPS5/RPS23/RPS19/RPS9/RPS27/RPS3A/RPS8/RPS12/FBL/RPS13/RPS17/RPS4X/RPS24/RPS15A"
"GO:0070849","BP","GO:0070849","response to epidermal growth factor",16,0.81940877467306,1.70201080020263,0.00010120433154539,0.00690782292754857,0.00603968433581015,198,"tags=38%, list=4%, signal=36%","ZFP36/ZFP36L2/EEF1A1/FOS/ZFP36L1/EGFR"
