"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0002181","cytoplasmic translation","108/4048","156/18870",1.25013009307581e-37,7.6958008529747e-34,6.86387217419309e-34,"RPL22/RPL11/EIF3I/YBX1/RPS8/EIF2B3/RPL5/CSDE1/RPS27/EIF2D/RPS7/RPS27A/RPL31/ZC3H15/RPL37A/RPL32/RPL15/RPSA/RPL14/RPL29/RPL24/CNBP/RPL22L1/EIF4A2/NCBP2/RPL35A/RPL9/RPL34/RPS3A/RPL37/PAIP1/RPS23/ETF1/RPS14/RPL26L1/RPS18/RPS10/RPL10A/RWDD1/RPS12/FTSJ1/RPS4X/RPL39/MCTS1/RPL10/RPS20/RPL7/RPL30/PABPC1/EIF3E/EIF3H/RPL8/RPS6/RPL35/RPL12/RPL7A/RPLP2/RPS13/EIF3M/FAU/RPS3/RPS25/RPS24/ZNF385A/RPL41/RPL6/RPLP0/RPL21/RPS29/NEMF/EIF5/EIF2AK4/EIF3J/RPL4/RPLP1/PKM/RPS17/RPS2/RPS15A/RPL13/RPL26/DRG2/RPL23A/RPL23/RPL19/RPL27/RPL38/EIF2S2/RPS21/RPS15/RPL36/RPS28/EIF3G/RPL18A/UBA52/EIF3K/RPS16/RPS19/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/DRG1/EIF3D/EIF3L/RPL3",108
"2","Upregulated","BP","GO:0042254","ribosome biogenesis","170/4048","325/18870",7.06642652469463e-35,2.17504608430101e-31,1.93992003962143e-31,"MRPL20/MRTO4/RPL11/ZNF593/GNL2/EBNA1BP2/ERI3/RPS8/SERBP1/RPF1/RPL5/DNTTIP2/RPS27/METTL18/GLUL/RRP15/NVL/C1orf131/TFB2M/RPS7/NOL10/TRMT61B/C1D/PNO1/MPHOSPH10/NIFK/IMP4/METTL5/WDR12/MRPL44/RPSA/RPL14/RRP9/RPL24/NUDT16/EIF2A/RPL35A/LYAR/NOA1/UTP3/SDAD1/GAR1/EXOSC9/LSM6/RPS3A/FRG1/ZNF622/DIMT1/NSA2/RPS23/SRFBP1/WDR55/RPS14/NPM1/RPL26L1/NOP16/NHP2/RPP40/RIOK1/PAK1IP1/NOL7/ABT1/WDR46/RPL10A/RPL7L1/RRP36/RPF2/RPS12/LTV1/GTF2H5/MALSU1/SBDS/GTPBP10/POP7/TSR2/RPS4X/TRMT2B/UTP14A/RPL10/RRS1/RPL7/MTERF3/UTP23/EXOSC4/RCL1/RPS6/EXOSC3/NOL8/HABP4/RPL35/RPL7A/REXO4/MRPS2/RPS13/TRMT112/DDX10/FDXACB1/PIH1D2/RPS25/RPUSD4/RPP38/RPS24/NPM3/NOP2/EMG1/WBP11/PA2G4/PWP1/RPL6/RPLP0/POP5/RAN/NOC4L/GTF3A/EXOSC8/CUL4A/CINP/EIF5/NOP10/RPUSD2/RSL24D1/RPS27L/IMP3/RPS17/ISG20/RPUSD1/TSR3/TBL3/RSL1D1/RPS15A/DDX28/UTP4/NIP7/NOB1/GEMIN4/C1QBP/RPL26/RPL23A/ERAL1/AATF/RPL27/UTP18/RPL38/MRPS7/EIF4A3/RIOK3/ESF1/XRN2/EIF6/DDX27/MTG2/RPS21/WDR18/RPS15/RPS28/PPAN/KRI1/MPV17L2/DDX49/POP4/RPS16/FBL/RPS19/ERCC2/GRWD1/PIH1D1/RPS11/RPS9/RPS5/RRP1",170
"3","Upregulated","BP","GO:0140053","mitochondrial gene expression","102/4048","163/18870",6.23411848499186e-30,1.27924111312033e-26,1.14095305325325e-26,"AURKAIP1/MRPL20/SLC25A33/MRPS15/MRPL37/WARS2/MRPS21/MRPL9/DAP3/MRPL24/MRPS14/MRPL55/TFB2M/MRPL33/TRMT61B/MTIF2/MRPL19/MRPL35/MRPS5/MRPS9/MRPL44/RPUSD3/TRMT10C/MRPL3/MRPS22/MRPL47/MRPL1/MRPS18C/GATB/MRPL36/MRPS30/MRPL22/MRPL2/MRPS18A/MTO1/RARS2/QRSL1/MRPL18/MALSU1/TBRG4/MRPS33/FASTK/HSD17B10/MRPL15/MRPS28/MTERF3/MRPL13/MRPS2/MRPL41/MRPL23/MRPL16/MRPL49/MRPL11/MRPL21/MRPL48/RPUSD4/TFAM/CHCHD1/MRPL43/MRPL51/MRPS35/YARS2/MTERF2/GATC/MRPL57/MTIF3/MRPS31/MTRF1/TRMT5/ALKBH1/MRPL46/MRPS11/MRPL28/MRPS34/EARS2/TUFM/THAP11/C1QBP/TEFM/MRPL45/COA3/MRPL10/MRPL27/MRPS23/TACO1/MRPS7/MRPL12/MRPS26/FASTKD5/CDK5RAP1/MTG2/POLRMT/MRPL54/NDUFA7/MRPL4/GADD45GIP1/MRPL34/MPV17L2/SARS2/MRPS12/MRPL39/MRPS6",102
"4","Upregulated","BP","GO:0032543","mitochondrial translation","87/4048","130/18870",7.20460384339246e-29,1.1087885314981e-25,9.88926674924607e-26,"AURKAIP1/MRPL20/MRPS15/MRPL37/WARS2/MRPS21/MRPL9/DAP3/MRPL24/MRPS14/MRPL55/MRPL33/MTIF2/MRPL19/MRPL35/MRPS5/MRPS9/MRPL44/RPUSD3/TRMT10C/MRPL3/MRPS22/MRPL47/MRPL1/MRPS18C/GATB/MRPL36/MRPS30/MRPL22/MRPL2/MRPS18A/RARS2/QRSL1/MRPL18/MALSU1/MRPS33/MRPL15/MRPS28/MRPL13/MRPS2/MRPL41/MRPL23/MRPL16/MRPL49/MRPL11/MRPL21/MRPL48/RPUSD4/CHCHD1/MRPL43/MRPL51/MRPS35/YARS2/GATC/MRPL57/MTIF3/MRPS31/MTRF1/ALKBH1/MRPL46/MRPS11/MRPL28/MRPS34/EARS2/TUFM/C1QBP/MRPL45/COA3/MRPL10/MRPL27/MRPS23/TACO1/MRPS7/MRPL12/MRPS26/CDK5RAP1/MTG2/MRPL54/NDUFA7/MRPL4/GADD45GIP1/MRPL34/MPV17L2/SARS2/MRPS12/MRPL39/MRPS6",87
"5","Upregulated","BP","GO:0006364","rRNA processing","115/4048","225/18870",6.90438496372334e-23,8.50067876733618e-20,7.58174146753284e-20,"MRTO4/RPL11/EBNA1BP2/ERI3/RPS8/RPF1/RPL5/RPS27/METTL18/RRP15/NVL/TFB2M/RPS7/NOL10/TRMT61B/C1D/MPHOSPH10/NIFK/IMP4/METTL5/WDR12/MRPL44/RPL14/RRP9/NUDT16/RPL35A/LYAR/UTP3/GAR1/EXOSC9/LSM6/FRG1/DIMT1/NSA2/SRFBP1/WDR55/RPS14/NHP2/RPP40/RIOK1/ABT1/WDR46/RPL10A/RPL7L1/RRP36/RPF2/GTF2H5/SBDS/POP7/TSR2/TRMT2B/UTP14A/RRS1/RPL7/UTP23/EXOSC4/RCL1/RPS6/EXOSC3/NOL8/RPL35/RPL7A/REXO4/TRMT112/DDX10/FDXACB1/PIH1D2/RPS25/RPUSD4/RPP38/RPS24/NPM3/NOP2/EMG1/WBP11/PA2G4/PWP1/POP5/NOC4L/EXOSC8/NOP10/RPUSD2/IMP3/RPS17/ISG20/RPUSD1/TSR3/TBL3/RSL1D1/UTP4/NOB1/GEMIN4/RPL26/RPL27/UTP18/EIF4A3/RIOK3/ESF1/XRN2/EIF6/DDX27/RPS21/WDR18/RPS15/RPS28/PPAN/KRI1/DDX49/POP4/RPS16/FBL/RPS19/ERCC2/PIH1D1/RRP1",115
"6","Upregulated","BP","GO:0034470","ncRNA processing","184/4048","439/18870",1.3221178213206e-22,1.35649288467494e-19,1.20985378175583e-19,"PUSL1/MRTO4/RPL11/YRDC/ZMPSTE24/EBNA1BP2/ERI3/RPS8/TOE1/RPF1/RPL5/RPS27/METTL18/TSEN15/RRP15/NVL/TSNAX/TFB2M/RPS7/NOL10/DDX1/TRMT61B/FAM98A/PUS10/C1D/MPHOSPH10/TPRKB/NIFK/IMP4/SSB/METTL5/PRKRA/WDR12/MRPL44/THUMPD3/METTL6/DPH3/RPL14/DALRD3/RRP9/TRMT10C/NUDT16/NCBP2/RPL35A/LYAR/UTP3/GRSF1/TRMT10A/INTS12/GAR1/LARP7/EXOSC9/SMAD1/LSM6/FRG1/DIMT1/NSA2/SRFBP1/WDR55/RPS14/THG1L/NHP2/RPP40/FARS2/RIOK1/ABT1/WDR46/RPL10A/SRSF3/RPL7L1/RRP36/MTO1/RPF2/GTF2H5/SBDS/TYW1/POP7/PUS7/DUS4L/FTSJ1/HSD17B10/TSR2/TRMT2B/RNF113A/UTP14A/LAGE3/ELP3/RRS1/RPL7/UTP23/TRMT12/EXOSC4/RCL1/RPS6/RPP25L/TRMT10B/EXOSC3/NOL8/TRMO/RPL35/URM1/RPL7A/REXO4/ELP4/CLP1/INTS5/TRPT1/TRMT112/DDX10/FDXACB1/PIH1D2/RPS25/PUS3/RPUSD4/RPP38/RPS24/NPM3/NOP2/EMG1/WBP11/BCDIN3D/PA2G4/PWP1/POP5/NOC4L/EXOSC8/TRMT5/ALKBH1/NOP10/FAM98B/RPUSD2/DTWD1/MTFMT/SMAD3/IMP3/RPS17/ISG20/RPUSD1/TSR3/TBL3/RSL1D1/USB1/DUS2/UTP4/NOB1/CTU2/GEMIN4/ELP5/RPL26/RPL27/UTP18/METTL2A/EIF4A3/RIOK3/ELAC1/TRMT6/ESF1/XRN2/CDK5RAP1/EIF6/TP53RK/DDX27/MOCS3/RPS21/WDR18/RPS15/DUS3L/RPS28/PPAN/KRI1/QTRT1/TRMT1/GTPBP3/DDX49/POP4/RPS16/FBL/RPS19/ERCC2/PIH1D1/CTU1/TSEN34/RTCB/RRP1",184
"7","Upregulated","BP","GO:0009060","aerobic respiration","103/4048","197/18870",1.32066094122076e-21,1.16142696487929e-18,1.0358748074297e-18,"PARK7/SLC25A33/SDHB/PINK1/MTFR1L/UQCRH/SDHC/COA6/FH/COX7A2L/DGUOK/SUCLG1/COX5B/NDUFB3/MDH1B/IDH1/UQCRC1/RHOA/PDHB/SUCLG2/NDUFB4/NDUFB5/NDUFC1/NDUFS6/NDUFS4/MRPS36/COX7C/UQCRQ/NDUFA2/NDUFA4/CYCS/DNAJC30/MDH2/DLD/NDUFA5/NDUFB2/NDP/NDUFB11/COX7B/NDUFA1/SLC25A14/IDH3G/UQCRB/COX6C/NDUFB6/STOML2/FXN/NDUFA8/SURF1/SIRT3/CAT/NDUFS3/SDHAF2/UQCC3/COX8A/ARL2/NDUFV1/NDUFS8/NDUFC2/ME3/TMEM135/DLAT/SDHD/DHTKD1/PPIF/GHITM/BNIP3/NDUFA9/BLOC1S1/NDUFA12/ISCU/DNAJC15/SUCLA2/DLST/NDUFB1/NDUFAF1/COX5A/IDH3A/IDH2/NDUFB10/UQCRC2/NDUFAB1/NUPR1/COQ9/COX4I1/TEFM/ACLY/NDUFV2/IDH3B/NDUFS7/UQCR11/NDUFA11/SLC25A23/NDUFA7/NDUFB7/NDUFA13/UQCRFS1/COX6B1/COX7A1/NDUFA3/BID/ADSL/ACO2",103
"8","Upregulated","BP","GO:0016072","rRNA metabolic process","125/4048","264/18870",4.90353799819542e-21,3.77327248961138e-18,3.3653755524457e-18,"MRTO4/RPL11/EBNA1BP2/ERI3/RPS8/RPF1/RPL5/RPS27/DEDD/METTL18/RRP15/NVL/TFB2M/RPS7/NOL10/TRMT61B/C1D/MPHOSPH10/NIFK/IMP4/METTL5/WDR12/MRPL44/NCL/RPL14/RRP9/NUDT16/RPL35A/LYAR/UTP3/GAR1/EXOSC9/LSM6/FRG1/DIMT1/NSA2/SRFBP1/WDR55/RPS14/NHP2/RPP40/RIOK1/ABT1/WDR46/RPL10A/RPL7L1/RRP36/GTF3C6/RPF2/GTF2H5/SBDS/POP7/TSR2/TRMT2B/UTP14A/RRS1/RPL7/UTP23/EXOSC4/RCL1/RPS6/ZCCHC7/POLR1E/EXOSC3/NOL8/RPL35/RPL7A/REXO4/TRMT112/DDX10/FDXACB1/PIH1D2/RPS25/RPUSD4/RPP38/RPS24/NPM3/NOP2/EMG1/WBP11/PA2G4/PWP1/POP5/NOC4L/GTF3A/EXOSC8/NOP10/RPUSD2/DIS3L/IMP3/RPS17/ISG20/RPUSD1/TSR3/TBL3/RSL1D1/UTP4/NOB1/GEMIN4/RPL26/RPL27/UTP18/EIF4A3/RIOK3/ESF1/XRN2/EIF6/DDX27/RPS21/WDR18/RPS15/RPS28/PPAN/KRI1/SMARCA4/DDX49/POP4/RPS16/FBL/RPS19/DEDD2/ERCC2/PIH1D1/SMARCB1/RRP1",125
"9","Upregulated","BP","GO:0033108","mitochondrial respiratory chain complex assembly","65/4048","101/18870",1.58437978717278e-20,1.08371577442618e-17,9.6656432396412e-18,"SLC25A33/OMA1/COA5/NDUFB3/CHCHD4/NDUFAF3/NDUFB4/ACAD9/NDUFB5/SMIM20/NDUFC1/NDUFS4/NDUFAF2/NDUFA2/SDHAF4/LYRM2/NDUFAF4/IMMP2L/NDUFA5/NDUFB2/NDUFB11/NDUFA1/AIFM1/NDUFAF6/NDUFB6/NDUFA8/SURF1/NDUFS3/SDHAF2/UQCC3/TMEM223/NDUFS8/COA4/NDUFC2/TMEM126B/TMEM126A/TFAM/NDUFA9/COX14/NDUFA12/COX16/NDUFB1/NDUFAF1/NDUFB10/TMEM186/NDUFAB1/SCO1/TTC19/COA3/TACO1/TIMM21/NDUFAF5/PET117/UQCC1/NDUFS7/NDUFA11/PET100/ECSIT/NDUFB7/NDUFA13/UQCRFS1/SDHAF1/NDUFA3/SAMM50/SCO2",65
"10","Upregulated","BP","GO:0045333","cellular respiration","116/4048","243/18870",5.67019086567758e-20,3.49056949691112e-17,3.11323321635518e-17,"PARK7/SLC25A33/SDHB/PINK1/MTFR1L/UQCRH/SDHC/COA6/FH/OPN3/COX7A2L/DGUOK/SUCLG1/COX5B/CHCHD5/COQ10B/NDUFB3/MDH1B/IDH1/UQCRC1/RHOA/PDHB/SUCLG2/NDUFB4/NDUFB5/NDUFC1/NDUFS6/NDUFS4/MRPS36/COX7C/UQCRQ/NDUFA2/PRELID1/SDHAF4/NDUFA4/CYCS/DNAJC30/MDH2/DLD/IMMP2L/NDUFA5/NDUFB2/NDP/NDUFB11/COX7B/NDUFA1/SLC25A14/IDH3G/UQCRB/COX6C/NDUFB6/STOML2/FXN/NDUFA8/SURF1/SIRT3/CAT/NDUFS3/SDHAF2/UQCC3/COX8A/ARL2/NDUFV1/NDUFS8/NDUFC2/ME3/TMEM135/DLAT/SDHD/DHTKD1/PPIF/GHITM/BNIP3/NDUFA9/GPD1/BLOC1S1/NDUFA12/ISCU/DNAJC15/SUCLA2/DLST/NDUFB1/NDUFAF1/COX5A/ETFA/IDH3A/IDH2/NDUFB10/TRAP1/UQCRC2/NDUFAB1/NUPR1/COQ9/COX4I1/TEFM/ACLY/NDUFV2/IDH3B/NDUFS7/UQCR11/NDUFA11/SLC25A23/NDUFA7/NDUFB7/NDUFA13/UQCRFS1/COX6B1/COX7A1/ETFB/NDUFA3/SLC25A18/BID/ADSL/ACO2/SCO2/IL10RB",116
